Wetland,Location,Date,Watertemp_c,Waterlevel,ppm_NOTcorrected,Flux_mean,Flux_stdev,Time_Baro,AirPress_kpa,AirTemp_C,AirPress_hpa,CO2_ppm,AirPress_atm,VaporPressure_atm,TotalAir_atm,Total_air_MolperL,CO2_air_MolesPerLiter,CO2_air_gCO2asCPerLiter,Watertemp_K,KH_mol.L.atm,CO2_water_gCO2asCPerLiter,deltaCO2_gCO2asCperM3,Flux_gCO2asCperM2perDay,k_m.d,Sc,K600,Average Wind veolcity per day,Solar radiation (W/m^2),Average wetland wind,Average wetland solar radiation ,average wetland water temp ,average wetland air  temp ,Average wetland of flux ,average area ,average precip,average_co2,Wetland
2,2,7/7/2022,4.5814,0.6275017,224.2373,0.0125,0.022519833,12:07,61.7099,8.465256,617.099,335.5080754,0.609029382,0.01106437,0.597965011,0.025876291,1.06E-05,0.000127311,277.7314,0.063253559,0.000254665,0.008055569,0.01296,1.60882492,1438.487014,2.491071151,5.289925778,182.097222,3.086637093,124.386821,6.9792,11.00011267,0.036952381,30.68353852,3.4,587.4818695,11
2,3,7/7/2022,4.5814,0.6275017,NA,0.0125,0.022519833,12:07,61.7099,8.465256,617.099,NA,0.609029382,0.01106437,0.597965011,0.025876291,1.06E-05,0.000127311,277.7314,0.063253559,NA,NA,0.01296,NA,1438.487014,NA,5.289925778,182.097222,3.509736731,86.42964467,6.4988,8.951338667,0.121071429,,9.5,1921.331734,12
2,1,7/14/2022,7.0384,0.6649834,261.3559,0.035555556,0.064247784,11:32,61.92754,7.014243,619.2754,393.3088599,0.611177321,0.010021863,0.601155458,0.026149086,1.07E-05,0.000128654,280.1884,0.058637459,0.000276752,0.008684095,0.036864,4.245001874,1236.430854,6.09378571,1.634740033,126.711806,,,,,,,,,
2,2,7/14/2022,7.0384,0.6649834,316.7627,0.035555556,0.064247784,11:32,61.92754,7.014243,619.2754,476.6893588,0.611177321,0.010021863,0.601155458,0.026149086,1.07E-05,0.000128654,280.1884,0.058637459,0.000335422,0.012124393,0.036864,3.040482174,1236.430854,4.364673414,1.634740033,126.711806,,,,,,,,,
2,3,7/14/2022,7.0384,0.6649834,342.0169,0.035555556,0.064247784,11:32,61.92754,7.014243,619.2754,514.69386,0.611177321,0.010021863,0.601155458,0.026149086,1.07E-05,0.000128654,280.1884,0.058637459,0.000362164,0.013692467,0.036864,2.692283326,1236.430854,3.864826953,1.634740033,126.711806,,,,,,,,,
2,1,7/25/2022,7.1794,0.6605638,290.4068,0.011428571,0.029113898,11:12,61.90392,17.12641,619.0392,437.3197144,0.61094421,0.019517832,0.591426378,0.024829694,1.02E-05,0.000122162,280.3294,0.058385371,0.000306397,0.010756617,0.011849143,1.101567837,1225.815682,1.574520098,1.756241397,1428.219,,,,,,,,,
2,2,7/25/2022,7.1794,0.6605638,330.9153,0.011428571,0.029113898,11:12,61.90392,17.12641,619.0392,498.3209225,0.61094421,0.019517832,0.591426378,0.024829694,1.02E-05,0.000122162,280.3294,0.058385371,0.000349136,0.013251945,0.011849143,0.894143656,1225.815682,1.278039453,1.756241397,1428.219,,,,,,,,,
2,3,7/25/2022,7.1794,0.6605638,292.1864,0.011428571,0.029113898,11:12,61.90392,17.12641,619.0392,439.9995902,0.61094421,0.019517832,0.591426378,0.024829694,1.02E-05,0.000122162,280.3294,0.058385371,0.000308274,0.01086624,0.011849143,1.090454718,1225.815682,1.558635621,1.756241397,1428.219,,,,,,,,,
3,1,7/7/2022,4.2688,0.1804397,NA,0.004285714,0.032071349,12:56,61.66913,11.88605,616.6913,NA,0.608627013,0.013909132,0.594717881,0.025426913,1.04E-05,0.0001251,277.4188,0.063872487,NA,NA,0.004443429,NA,1466.615152,NA,5.289925778,182.097222,,,,,,,,,
3,2,7/7/2022,4.2688,0.1804397,263.2203,0.004285714,0.032071349,12:56,61.66913,11.88605,616.6913,393.5926968,0.608627013,0.013909132,0.594717881,0.025426913,1.04E-05,0.0001251,277.4188,0.063872487,0.000301677,0.011278382,0.004443429,0.393977492,1466.615152,0.615961927,5.289925778,182.097222,,,,,,,,,
3,3,7/7/2022,4.2688,0.1804397,275.5085,0.004285714,0.032071349,12:56,61.66913,11.88605,616.6913,411.9672134,0.608627013,0.013909132,0.594717881,0.025426913,1.04E-05,0.0001251,277.4188,0.063872487,0.00031576,0.012177931,0.004443429,0.364875498,1466.615152,0.570462577,5.289925778,182.097222,,,,,,,,,
3,1,7/14/2022,6.0436,0.1835193,342.9115,0.045,0.032710854,12:36,61.90788,9.848541,619.0788,514.507715,0.610983292,0.012146095,0.598837197,0.025787367,1.06E-05,0.000126874,279.1936,0.060454693,0.000373253,0.014894768,0.046656,3.132375024,1314.279515,4.635984728,1.634740033,126.711806,,,,,,,,,
3,2,7/14/2022,6.0436,0.1835193,401.7627,0.045,0.032710854,12:36,61.90788,9.848541,619.0788,602.8086219,0.610983292,0.012146095,0.598837197,0.025787367,1.06E-05,0.000126874,279.1936,0.060454693,0.000437311,0.018767402,0.046656,2.486012693,1314.279515,3.679354098,1.634740033,126.711806,,,,,,,,,
3,3,7/14/2022,6.0436,0.1835193,401.5932,0.045,0.032710854,12:36,61.90788,9.848541,619.0788,602.5543025,0.610983292,0.012146095,0.598837197,0.025787367,1.06E-05,0.000126874,279.1936,0.060454693,0.000437127,0.018756248,0.046656,2.487491046,1314.279515,3.681542093,1.634740033,126.711806,,,,,,,,,
3,1,7/25/2022,6.8564,0.1738215,487.6102,0.096,0.040331956,12:04,61.81431,11.20151,618.1431,734.1537114,0.610059828,0.013293204,0.596766624,0.025575929,1.05E-05,0.000125834,280.0064,0.058964837,0.000519471,0.023210769,0.0995328,4.288216333,1250.284487,6.19021143,1.756241397,1428.219,,,,,,,,,
3,2,7/25/2022,6.8564,0.1738215,536.339,0.096,0.040331956,12:04,61.81431,11.20151,618.1431,807.5205715,0.610059828,0.013293204,0.596766624,0.025575929,1.05E-05,0.000125834,280.0064,0.058964837,0.000571384,0.026271798,0.0995328,3.788579703,1250.284487,5.468966012,1.756241397,1428.219,,,,,,,,,
3,3,7/25/2022,6.8564,0.1738215,538.5543,0.096,0.040331956,12:04,61.81431,11.20151,618.1431,810.8559626,0.610059828,0.013293204,0.596766624,0.025575929,1.05E-05,0.000125834,280.0064,0.058964837,0.000573744,0.026410958,0.0995328,3.768617591,1250.284487,5.440149907,1.756241397,1428.219,,,,,,,,,
4,1,6/29/2022,6.3494,0.4427526,588.9661,0.155714286,0.026992062,9:45,62.18753,5.3432,621.8753,882.2176534,0.613743223,0.008929493,0.60481373,0.026466071,1.09E-05,0.000130213,279.4994,0.059888777,0.000634019,0.030172335,0.161444571,5.3507483,1289.790654,7.845100469,3.016646568,1400,,,,,,,,,
4,2,6/29/2022,6.3494,0.4427526,NA,0.155714286,0.026992062,9:45,62.18753,5.3432,621.8753,NA,0.613743223,0.008929493,0.60481373,0.026466071,1.09E-05,0.000130213,279.4994,0.059888777,NA,NA,0.161444571,NA,1289.790654,NA,3.016646568,1400,,,,,,,,,
4,3,6/29/2022,6.3494,0.4427526,NA,0.155714286,0.026992062,9:45,62.18753,5.3432,621.8753,NA,0.613743223,0.008929493,0.60481373,0.026466071,1.09E-05,0.000130213,279.4994,0.059888777,NA,NA,0.161444571,NA,1289.790654,NA,3.016646568,1400,,,,,,,,,
4,1,7/15/2022,7.5214,0.4606246,593.6271,0.068,0.021679483,12:53,62.4924,20.84094,624.924,889.9387898,0.616752056,0.024612847,0.592139209,0.024545524,1.01E-05,0.000120764,280.6714,0.057779457,0.000617042,0.028674684,0.0705024,2.458698428,1200.490201,3.477834794,1.365206437,1392,,,,,,,,,
4,2,7/15/2022,7.5214,0.4606246,664.7288,0.068,0.021679483,12:53,62.4924,20.84094,624.924,996.5312294,0.616752056,0.024612847,0.592139209,0.024545524,1.01E-05,0.000120764,280.6714,0.057779457,0.000690948,0.032944946,0.0705024,2.140006533,1200.490201,3.027044348,1.365206437,1392,,,,,,,,,
4,3,7/15/2022,7.5214,0.4606246,653.7966,0.068,0.021679483,12:53,62.4924,20.84094,624.924,980.1421717,0.616752056,0.024612847,0.592139209,0.024545524,1.01E-05,0.000120764,280.6714,0.057779457,0.000679585,0.032288374,0.0705024,2.183522742,1200.490201,3.08859813,1.365206437,1392,,,,,,,,,
4,1,7/22/2022,5.9416,"0.4609856	",395.8305,0.0625,0.031509636,10:50,62.41354,8.4494,624.1354,590.8845221,0.615973769,0.01105248,0.604921288,0.02617879,1.07E-05,0.0001288,279.0916,0.060644919,0.00043001,0.018266861,0.0648,3.547407458,1322.559913,5.266755131,2.543917408,1287.292,,,,,,,,,
4,2,7/22/2022,5.9416,"0.4609856	",492.6102,0.0625,0.031509636,10:50,62.41354,8.4494,624.1354,735.3545081,0.615973769,0.01105248,0.604921288,0.02617879,1.07E-05,0.0001288,279.0916,0.060644919,0.000535146,0.024642853,0.0648,2.629565689,1322.559913,3.904056342,2.543917408,1287.292,,,,,,,,,
4,3,7/22/2022,5.9416,"0.4609856	",492.3559,0.0625,0.031509636,10:50,62.41354,8.4494,624.1354,734.9748963,0.615973769,0.01105248,0.604921288,0.02617879,1.07E-05,0.0001288,279.0916,0.060644919,0.00053487,0.024626099,0.0648,2.631354639,1322.559913,3.906712355,2.543917408,1287.292,,,,,,,,,
5,1,6/28/2022,6.9982,0.4781866,756.207,0.008,0.019888579,10:30,62.6334,19.50581,626.334,1130.280311,0.618143618,0.022661366,0.595482252,0.024796712,1.02E-05,0.000122,280.1482,0.058709576,0.000796299,0.039587839,0.0082944,0.209518888,1239.476072,0.30113874,2.25001044,1294,,,,,,,,,
5,2,6/28/2022,6.9982,0.4781866,681.6663,0.008,0.019888579,10:30,62.6334,19.50581,626.334,1018.866524,0.618143618,0.022661366,0.595482252,0.024796712,1.02E-05,0.000122,280.1482,0.058709576,0.000717807,0.034979567,0.0082944,0.237121287,1239.476072,0.340811304,2.25001044,1294,,,,,,,,,
5,3,6/28/2022,6.9982,0.4781866,669.4746,0.008,0.019888579,10:30,62.6334,19.50581,626.334,1000.64395,0.618143618,0.022661366,0.595482252,0.024796712,1.02E-05,0.000122,280.1482,0.058709576,0.000704969,0.034225849,0.0082944,0.242343146,1239.476072,0.348316614,2.25001044,1294,,,,,,,,,
5,1,7/19/2022,6.8972,0.6035418,459.2203,0.086666667,0.011547005,10:12,62.8534,11.40702,628.534,684.730072,0.620314849,0.013475542,0.606839308,0.025988836,1.07E-05,0.000127865,280.0472,0.058891251,0.000483895,0.020967067,0.089856,4.285577989,1247.163896,6.178677715,4.196084444,90.711806,,,,,,,,,
5,2,7/19/2022,6.8972,0.6035418,NA,0.086666667,0.011547005,10:12,62.8534,11.40702,628.534,NA,0.620314849,0.013475542,0.606839308,0.025988836,1.07E-05,0.000127865,280.0472,0.058891251,NA,NA,0.089856,NA,1247.163896,NA,4.196084444,90.711806,,,,,,,,,
5,3,7/19/2022,6.8972,0.6035418,NA,0.086666667,0.011547005,10:12,62.8534,11.40702,628.534,NA,0.620314849,0.013475542,0.606839308,0.025988836,1.07E-05,0.000127865,280.0472,0.058891251,NA,NA,0.089856,NA,1247.163896,NA,4.196084444,90.711806,,,,,,,,,
5,1,7/27/2022,8.6206,0.6126563,843.4407,NA,NA,11:18,62.87624,9.110594,628.7624,1264.230806,0.620540263,0.011557963,0.608982299,0.0262928,1.08E-05,0.000129361,281.7706,0.055883868,0.000847801,0.040149245,NA,NA,1123.036303,NA,2.356118102,78.892361,,,,,,,,,
5,2,7/27/2022,8.6206,0.6126563,694.8136,NA,NA,11:18,62.87624,9.110594,628.7624,1041.454079,0.620540263,0.011557963,0.608982299,0.0262928,1.08E-05,0.000129361,281.7706,0.055883868,0.000698406,0.031800447,NA,NA,1123.036303,NA,2.356118102,78.892361,,,,,,,,,
5,3,7/27/2022,8.6206,0.6126563,642.0169,NA,NA,11:18,62.87624,9.110594,628.7624,962.3172593,0.620540263,0.011557963,0.608982299,0.0262928,1.08E-05,0.000129361,281.7706,0.055883868,0.000645336,0.028834709,NA,NA,1123.036303,NA,2.356118102,78.892361,,,,,,,,,
6,1,6/30/2022,7.0788,0.3758655,442.4407,0.0825,0.029154759,9:33,62.31554,6.731376,623.1554,663.4682017,0.615006584,0.00982905,0.605177534,0.026350643,1.08E-05,0.000129645,280.2288,0.058565092,0.000466273,0.019714635,0.085536,4.338705635,1233.378887,6.220607729,2.597150306,141.482639,,,,,,,,,
6,2,6/30/2022,7.0788,0.3758655,NA,0.0825,0.029154759,9:33,62.31554,6.731376,623.1554,NA,0.615006584,0.00982905,0.605177534,0.026350643,1.08E-05,0.000129645,280.2288,0.058565092,NA,NA,0.085536,NA,1233.378887,NA,2.597150306,141.482639,,,,,,,,,
6,3,6/30/2022,7.0788,0.3758655,NA,0.0825,0.029154759,9:33,62.31554,6.731376,623.1554,NA,0.615006584,0.00982905,0.605177534,0.026350643,1.08E-05,0.000129645,280.2288,0.058565092,NA,NA,0.085536,NA,1233.378887,NA,2.597150306,141.482639,,,,,,,,,
6,1,7/11/2022,6.2272,0.4020817,430.7458,0.068333333,0.02786874,9:44,62.67683,12.1597,626.7683,641.9840671,0.618572239,0.014162296,0.604409943,0.025816508,1.06E-05,0.000127017,279.3772,0.060114135,0.000463108,0.020203794,0.070848,3.506668028,1299.516386,5.160715388,2.519909426,196.024306,,,,,,,,,
6,2,7/11/2022,6.2272,0.4020817,NA,0.068333333,0.02786874,9:44,62.67683,12.1597,626.7683,NA,0.618572239,0.014162296,0.604409943,0.025816508,1.06E-05,0.000127017,279.3772,0.060114135,NA,NA,0.070848,NA,1299.516386,NA,2.519909426,196.024306,,,,,,,,,
6,3,7/11/2022,6.2272,0.4020817,NA,0.068333333,0.02786874,9:44,62.67683,12.1597,626.7683,NA,0.618572239,0.014162296,0.604409943,0.025816508,1.06E-05,0.000127017,279.3772,0.060114135,NA,NA,0.070848,NA,1299.516386,NA,2.519909426,196.024306,,,,,,,,,
6,1,7/19/2022,5.5728,0.4002211,394.0508,0.04,0.02,12:34,62.60229,8.528594,626.0229,586.4869201,0.617836586,0.011111978,0.606724609,0.026249449,1.08E-05,0.000129147,278.7228,0.061338905,0.000431694,0.018557859,0.041472,2.234740599,1352.972759,3.355799616,4.196084444,90.711806,,,,,,,,,
6,2,7/19/2022,5.5728,0.4002211,434.8983,0.04,0.02,12:34,62.60229,8.528594,626.0229,647.2824431,0.617836586,0.011111978,0.606724609,0.026249449,1.08E-05,0.000129147,278.7228,0.061338905,0.000476443,0.021302748,0.041472,1.946791072,1352.972759,2.923400029,4.196084444,90.711806,,,,,,,,,
6,3,7/19/2022,5.5728,0.4002211,393.1186,0.04,0.02,12:34,62.60229,8.528594,626.0229,585.0994769,0.617836586,0.011111978,0.606724609,0.026249449,1.08E-05,0.000129147,278.7228,0.061338905,0.000430672,0.018495216,0.041472,2.242309559,1352.972759,3.367165549,4.196084444,90.711806,,,,,,,,,
7,1,6/30/2022,6.7146,0.3521116,728.7119,0.044444444,0.029627315,10:51,62.57962,9.880264,625.7962,1088.76022,0.617612851,0.012171959,0.605440892,0.026068816,1.07E-05,0.000128259,279.8646,0.059221467,0.000773736,0.038226104,0.04608,1.205458972,1261.197572,1.747705977,2.597150306,141.482639,,,,,,,,,
7,2,6/30/2022,6.7146,0.3521116,779.3898,0.044444444,0.029627315,10:51,62.57962,9.880264,625.7962,1164.477498,0.617612851,0.012171959,0.605440892,0.026068816,1.07E-05,0.000128259,279.8646,0.059221467,0.000827545,0.041412755,0.04608,1.112700653,1261.197572,1.613222538,2.597150306,141.482639,,,,,,,,,
7,3,6/30/2022,6.7146,0.3521116,253.8136,0.044444444,0.029627315,10:51,62.57962,9.880264,625.7962,379.2200333,0.617612851,0.012171959,0.605440892,0.026068816,1.07E-05,0.000128259,279.8646,0.059221467,0.000269496,0.008364264,0.04608,5.509151852,1261.197572,7.987312587,2.597150306,141.482639,,,,,,,,,
7,1,7/11/2022,6.451,0.3808888,268.9831,0.04,0.05,12:09,62.76471,21.31306,627.6471,400.8431213,0.619439547,0.025337324,0.594102223,0.02458741,1.01E-05,0.00012097,279.601,0.059702202,0.000287175,0.009922777,0.041472,4.179474972,1281.765079,6.108721436,2.519909426,196.024306,,,,,,,,,
7,2,7/11/2022,6.451,0.3808888,225.1695,0.04,0.05,12:09,62.76471,21.31306,627.6471,335.5513607,0.619439547,0.025337324,0.594102223,0.02458741,1.01E-05,0.00012097,279.601,0.059702202,0.000240398,0.007130103,0.041472,5.816465842,1281.765079,8.501347611,2.519909426,196.024306,,,,,,,,,
7,3,7/11/2022,6.451,0.3808888,240.8475,0.04,0.05,12:09,62.76471,21.31306,627.6471,358.9149789,0.619439547,0.025337324,0.594102223,0.02458741,1.01E-05,0.00012097,279.601,0.059702202,0.000257136,0.008129417,0.041472,5.101472787,1281.765079,7.456313621,2.519909426,196.024306,,,,,,,,,
7,1,7/19/2022,5.5318,0.3842009,452.1017,0.09,0.052599113,11:38,62.74971,10.54945,627.4971,671.8579543,0.619291509,0.01272897,0.606562539,0.026055506,1.07E-05,0.000128193,278.6818,0.06141666,0.000495159,0.022537836,0.093312,4.140237795,1356.399974,6.225060072,4.196084444,90.711806,,,,,,,,,
7,2,7/19/2022,5.5318,0.3842009,491.1695,0.09,0.052599113,11:38,62.74971,10.54945,627.4971,729.9157147,0.619291509,0.01272897,0.606562539,0.026055506,1.07E-05,0.000128193,278.6818,0.06141666,0.000537948,0.025165767,0.093312,3.707894201,1356.399974,5.575009283,4.196084444,90.711806,,,,,,,,,
7,3,7/19/2022,5.5318,0.3842009,452.1864,0.09,0.052599113,11:38,62.74971,10.54945,627.4971,671.983825,0.619291509,0.01272897,0.606562539,0.026055506,1.07E-05,0.000128193,278.6818,0.06141666,0.000495252,0.022543533,0.093312,4.139191434,1356.399974,6.223486814,4.196084444,90.711806,,,,,,,,,
8,1,7/5/2022,6.978,0.4748195,9397.932,1.5275,0.928358767,9:44,63.75624,5.008009,637.5624,13896.18436,0.629225188,0.008723508,0.62050168,0.027185281,1.11E-05,0.000133752,280.128,0.058745856,0.009796119,0.56762404,1.583712,2.790072106,1241.009409,4.012613584,4.766883357,67.774306,,,,,,,,,
8,2,7/5/2022,6.978,0.4748195,7530.305,1.5275,0.928358767,9:44,63.75624,5.008009,637.5624,11134.63117,0.629225188,0.008723508,0.62050168,0.027185281,1.11E-05,0.000133752,280.128,0.058745856,0.007849361,0.453260094,1.583712,3.49404684,1241.009409,5.02505286,4.766883357,67.774306,,,,,,,,,
8,3,7/5/2022,6.978,0.4748195,3354.39,1.5275,0.928358767,9:44,63.75624,5.008009,637.5624,4959.944575,0.629225188,0.008723508,0.62050168,0.027185281,1.11E-05,0.000133752,280.128,0.058745856,0.003496514,0.197548373,1.583712,8.016831421,1241.009409,11.52961122,4.766883357,67.774306,,,,,,,,,
8,1,7/8/2022,7.079,0.4653909,10517.98,1.04,0.383822876,10:07,63.84128,7.988405,638.4128,15544.62154,0.630064467,0.010711685,0.619352782,0.026847283,1.10E-05,0.000132089,280.229,0.058564734,0.0109244,0.632048825,1.078272,1.705994785,1233.3638,2.445950551,4.677323739,64.694444,,,,,,,,,
8,2,7/8/2022,7.079,0.4653909,7493.119,1.04,0.383822876,10:07,63.84128,7.988405,638.4128,11074.15102,0.630064467,0.010711685,0.619352782,0.026847283,1.10E-05,0.000132089,280.229,0.058564734,0.007782657,0.44805348,1.078272,2.406569861,1233.3638,3.450392069,4.677323739,64.694444,,,,,,,,,
8,3,7/8/2022,7.079,0.4653909,6369.29,1.04,0.383822876,10:07,63.84128,7.988405,638.4128,9413.233579,0.630064467,0.010711685,0.619352782,0.026847283,1.10E-05,0.000132089,280.229,0.058564734,0.006615402,0.379693543,1.078272,2.839848134,1233.3638,4.071599848,4.677323739,64.694444,,,,,,,,,
8,1,7/18/2022,7.079,0.6151322,5026.119,0.95,0.354870869,10:08,63.78435,8.677213,637.8435,7432.209829,0.629502612,0.011224397,0.618278215,0.026735201,1.10E-05,0.000131537,280.229,0.058564734,0.005223185,0.298190987,0.98496,3.303117945,1233.3638,4.735807652,5.392093784,54.069444,,,,,,,,,
8,2,7/18/2022,7.079,0.6151322,5242.559,0.95,0.354870869,10:08,63.78435,8.677213,637.8435,7752.263432,0.629502612,0.011224397,0.618278215,0.026735201,1.10E-05,0.000131537,280.229,0.058564734,0.005448111,0.311363733,0.98496,3.1633742,1233.3638,4.535451652,5.392093784,54.069444,,,,,,,,,
8,3,7/18/2022,7.079,0.6151322,4312.153,0.95,0.354870869,10:08,63.78435,8.677213,637.8435,6376.455852,0.629502612,0.011224397,0.618278215,0.026735201,1.10E-05,0.000131537,280.229,0.058564734,0.004481225,0.254738331,0.98496,3.866555917,1233.3638,5.543630412,5.392093784,54.069444,,,,,,,,,
8,1,7/28/2022,7.8822,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.0322,0.057148622,NA,NA,NA,NA,1174.411447,NA,2.043713865,151.256944,,,,,,,,,
8,2,7/28/2022,7.8822,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.0322,0.057148622,NA,NA,NA,NA,1174.411447,NA,2.043713865,151.256944,,,,,,,,,
8,3,7/28/2022,7.8822,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.0322,0.057148622,NA,NA,NA,NA,1174.411447,NA,2.043713865,151.256944,,,,,,,,,
9,1,7/5/2022,7.36585,0.6305777,4119.288,0.658,0.232099117,10:37,63.72989,5.397598,637.2989,6099.989705,0.628965133,0.008963325,0.620001809,0.027125388,1.11E-05,0.000133457,280.51585,0.058054075,0.004249551,0.238956041,0.6822144,2.854978668,1211.93516,4.05757854,4.766883357,67.774306,,,,,,,,,
9,2,7/5/2022,7.36585,0.6305777,NA,0.658,0.232099117,10:37,63.72989,5.397598,637.2989,NA,0.628965133,0.008963325,0.620001809,0.027125388,1.11E-05,0.000133457,280.51585,0.058054075,NA,NA,0.6822144,NA,1211.93516,NA,4.766883357,67.774306,,,,,,,,,
9,3,7/5/2022,7.36585,0.6305777,NA,0.658,0.232099117,10:37,63.72989,5.397598,637.2989,NA,0.628965133,0.008963325,0.620001809,0.027125388,1.11E-05,0.000133457,280.51585,0.058054075,NA,NA,0.6822144,NA,1211.93516,NA,4.766883357,67.774306,,,,,,,,,
9,1,7/8/2022,7.28,"0.6314629	",2890.763,0.3125,0.164595464,11:29,63.80642,8.629661,638.0642,4276.439604,0.629720426,0.011188319,0.618532107,0.026750693,1.10E-05,0.000131613,280.43,0.05820633,0.00298699,0.166201006,0.324,1.949446683,1218.304348,2.777880978,4.677323739,64.694444,,,,,,,,,
9,2,7/8/2022,7.28,"0.6314629	",NA,0.3125,0.164595464,11:29,63.80642,8.629661,638.0642,NA,0.629720426,0.011188319,0.618532107,0.026750693,1.10E-05,0.000131613,280.43,0.05820633,NA,NA,0.324,NA,1218.304348,NA,4.677323739,64.694444,,,,,,,,,
