Wetland,Location,Date,CO2/NO3 time,CH4 Time,Mehane bottle,Watertemp_mean,Time picked for watertemp,water level,Time picked water level,Issues with water level,
8,3,7/5/2022,10:11,10:16,129,6.978,,0.4748195,,,
8,1,7/8/2022,10:07,10:22,53,7.079,8:40-9:40,0.4653909,8:40-9:40,,
8,1,7/8/2022,,10:25,11,7.079,,0.4653909,,,
8,2,7/8/2022,10:17,10:32,16,7.079,,0.4653909,,,
8,3,7/8/2022,10:33,10:37,14,7.079,,0.4653909,,,
8,1,7/18/2022,10:08,10:05,244,7.079,12:15-13:15,0.6151322,12:15-13:15,,
8,2,7/18/2022,10:18,10:10,278,7.079,,0.6151322,,,
8,2,7/18/2022,,10:12,45,7.079,,0.6151322,,,
8,3,7/18/2022,10:35,10:14,277,7.079,,0.6151322,,,
8,1,7/28/2022,,,,7.8822,01:15-02:16,x,Water level unavailable ,,
8,2,7/28/2022,,,,7.8822,,x,Water level unavailable ,,
8,2,7/28/2022,,,,7.8822,,x,Water level unavailable ,,
8,3,7/28/2022,,,,7.8822,,x,Water level unavailable ,,
9,1,7/5/2022,10:37,10:42,70,7.36585,13:45-14:45,0.6305777,13:45-14:45,,
9,2,7/5/2022,,10:50,119,7.36585,,0.6305777,,,
9,2,7/5/2022,,10:53,112,7.36585,,0.6305777,,,
9,3,7/5/2022,,10:57,132,7.36585,,0.6305777,,,
9,1,7/8/2022,,,,7.28,08:40-09:40,"0.6314629	",08:40-09:40,,
9,2,7/8/2022,,,,7.28,,"0.6314629	",,,
9,3,7/8/2022,,,,7.28,,"0.6314629	",,,
9,1,7/18/2022,9:27,9:33,226,7.582,7:30-8:30,0.6193947,7:30-8:30,,
9,1,7/18/2022,,9:35,13,7.582,,0.6193947,,,
9,2,7/18/2022,,9:39,279,7.582,,0.6193947,,,
9,3,7/18/2022,,9:42,223,7.582,,0.6193947,,,
9,1,7/28/2022,,,,7.682,8:50-9:50,x,,Water level unavailable and the temperature os a single line,
9,2,7/28/2022,,,,7.682,,x,,Water level unavailable and the temperature os a single line,
9,3,7/28/2022,,,,7.682,,x,,Water level unavailable and the temperature os a single line,
10,1,7/5/2022,11:25,11:43,46,7.179,15:00-16:00,0.6548553,15:00-16:00,,
10,2,7/5/2022,11:36,11:48,80,7.179,,0.6548553,,,
10,2,7/5/2022,,11:51,102,7.179,,0.6548553,,,
10,3,7/5/2022,11:52,11:55,67,7.179,,0.6548553,,,
10,1,7/8/2022,11:40,11:54,54,7.381,11:15-12:15,0.6480597,11:15-12:15,,
10,2,7/8/2022,11:51,12:05,25,7.381,,0.6480597,,,
10,2,7/8/2022,,12:08,26,7.381,,0.6480597,,,
10,3,7/8/2022,12:06,12:13,40,7.381,,0.6480597,,,
10,1,7/18/2022,10:53,11:16,247,8.282,8:15-9:15,0.6151322,8:15-9:15,,
10,2,7/18/2022,11:04,11:09,255,8.282,,0.6151322,,,
10,2,7/18/2022,,11:11,27,8.282,,0.6151322,,,
10,3,7/18/2022,11:20,11:19,42,8.282,,0.6151322,,,
10,1,7/28/2022,,,,8.182,9:00-10:00,x,,Water level unavailable and the temperature os a single line,
10,2,7/28/2022,,,,8.182,,x,,Water level unavailable and the temperature os a single line,
10,3,7/28/2022,,,,8.182,,x,,Water level unavailable and the temperature os a single line,
11,1,7/11/2022,10:56,11:45,81,8.4016,14:15-15:15,0.3165531,14:15-15:15,"Straight line, Outliers before 12:30 ",
11,1,7/11/2022,,11:45,68,8.4016,,0.3165531,,,
11,2,7/11/2022,,12:00,61,8.4016,,0.3165531,,,
11,3,7/11/2022,,12:05,15,8.4016,,0.3165531,,,
11,1,7/19/2022,11:01,11:06,234,6.166,9:55-10:55,0.3210512,9:55-10:55,,
11,1,7/19/2022,,11:08,50,6.166,,0.3210512,,,
11,2,7/19/2022,,11:20,58,6.166,,0.3210512,,,
11,3,7/19/2022,,11:25,62,6.166,,0.3210512,,,
11,1,7/22/2022,12:02,12:04,9,6.37,11:00-12:00,0.3324407,11:00-12:00,,
11,1,7/22/2022,,12:07,19,6.37,,0.3324407,,,
11,2,7/22/2022,,12:15,12,6.37,,0.3324407,,,
11,3,7/22/2022,,12:16,20,6.37,,0.3324407,,,
12,1,7/6/2022,12:24,12:31,121,6.0454,12:00-13:00,0.3967293,12:00-13:00,,
12,2,7/6/2022,12:39,12:42,117,6.0454,,0.3967293,,,
12,2,7/6/2022,,12:45,118,6.0454,,0.3967293,,,
12,3,7/6/2022,12:56,13:00,107,6.0454,,0.3967293,,,
12,1,7/22/2022,9:30,9:34,145,6.1658,15:30-16:30,"0.3674041	",15:30-16:30,,
12,2,7/22/2022,9:43,9:46,144,6.1658,,"0.3674041	",,,
12,2,7/22/2022,,9:48,142,6.1658,,"0.3674041	",,,
12,3,7/22/2022,10:01,10:02,154,6.1658,,"0.3674041	",,,
12,1,7/27/2022,9:34,9:38,39,7.2852,4:45-5:45,0.383843,Cut off is 9 am for WL,,
12,2,7/27/2022,9:52,9:54,43,7.2852,,0.383843,,,
12,2,7/27/2022,,9:56,44,7.2852,,0.383843,,,
12,3,7/27/2022,10:10,10:11,41,7.2852,,0.383843,,,
