"Vial_no","Glass_weight_g","Filles_with_water","Water_Weight","Zinc_Chloride","Wetland","Location","Time","Date","Rep","Exsist","Sample_Collected","Sample","CH4.ppm.NOT.CORRECTED","N20.ppm.NOT.CORRECTED","Sample.ID","Date.headspace.introduced","Time.headspace.introduced","Notes1","Extract.Headspace.Date","Extract.Headspace.time","headspace_ml","Time_Baro","AirPress_kpa","AirTemp_C"
13,69.06,140.68,71.62,0.3744,9,1,"9:35",2022-07-18,"C","YES","YES",13,484.9687,0.222627507,"13","7/29/21","11:19","","7/31/22","6:25",15,"9:27",63.80909,11.34625
14,69.93,140.59,70.66,0.3833,8,3,"10:37",2022-07-08,"B","YES","YES",14,84.3163,0.300769139,"14","7/30/21","4:39","","","",15,"10:07",63.84128,7.988405
15,70.23,141.31,71.08,0.3842,11,3,"12:05",2022-07-11,"A","YES","YES",15,14.8699,0.353635597,"15","7/30/21","4:35","","7/31/22","7:22",15,"10:56",62.78498,14.99531
16,69.31,140.25,70.94,0.3695,8,2,"10:32",2022-07-08,"B","YES","YES",16,34.8931,0.347540199,"16","7/30/21","4:32","","","",15,"10:07",63.84128,7.988405
17,69.29,140.39,71.1,0.3606,3,1,"12:40",2022-07-14,"B","YES","YES",17,3.414,0.295037277,"17","7/30/21","4:28","","7/31/22","7:01",15,"12:36",61.90788,9.848541
18,69.13,140.4,71.27,0.4008,1,3,"10:52",2022-07-07,"A","YES","YES",18,1.5277,0.288144001,"18","7/30/21","4:24","","7/31/22","6:58",15,"10:07",61.64864,3.662639
19,69.43,140.46,71.03,0.3748,11,1,"12:07",2022-07-22,"C","YES","YES",19,32.2183,0.241448999,"19","7/30/21","4:20","","7/31/22","6:55",15,"12:02",62.68232,7.519318
20,69.19,140.69,71.5,0.389,1,2,"10:35",2022-07-07,"A","YES","YES",20,1.8163,0.278398919,"20","7/30/21","4:16","","7/31/22","6:53",15,"10:07",61.64864,3.662639
21,69.27,140.53,71.26,0.3733,4,1,"13:00",2022-07-15,"B","YES","YES",21,87.2179,0.216330099,"21","7/30/21","4:43","","7/31/22","6:50",15,"12:53",62.4924,20.84094
22,69.52,140.56,71.04,0.3805,2,2,"11:30",2022-07-25,"C","YES","",22,3.1436,0.219058269,"22","7/30/21","4:09","","","",15,"11:12",61.90392,17.12641
23,69.04,140.36,71.32,0.4068,2,1,"11:17",2022-07-25,"C","YES","",23,2.7523,0.242923233,"23","7/30/21","4:04","","","",15,"11:12",61.90392,17.12641
24,69.46,140.91,71.45,0.3632,2,2,"12:22",2022-07-07,"A","YES","YES",24,1.7097,0.299494989,"24","7/30/21","4:01","","7/31/22","6:41",15,"12:07",61.7099,8.465256
25,69.62,140.38,70.76,0.3922,10,2,"12:05",2022-07-08,"B","YES","YES",25,21.4807,0.249350339,"25","7/30/21","3:57","","7/31/22","6:35",15,"11:40",63.79533,8.826833
26,69.18,140.44,71.26,0.3653,10,2,"12:08",2022-07-08,"B","YES","YES",26,332.3431,0.22651378,"26","7/30/21","3:51","","7/31/22","6:32",15,"11:40",63.79533,8.826833
27,69.33,140.57,71.24,0.3742,10,2,"11:11",2022-07-18,"C","YES","YES",27,472.6219,0.178249293,"27","7/30/21","3:54","","7/31/22","6:30",15,"10:53",63.77594,9.472281
29,69.97,140.77,70.8,0.3784,2,2,"11:28",2022-07-25,"C","YES","",29,3.1956,0.272368,"29","7/30/21","3:45","","7/31/22","6:24",15,"11:12",61.90392,17.12641
30,69.88,140.45,70.57,0.3736,5,1,"9:42",2022-07-19,"B","YES","YES",30,49.1827,0.278293069,"30","7/30/21","3:26","","","",15,"10:12",62.8534,11.40702
31,69.19,140.35,71.16,0.38,4,3,"13:23",2022-07-15,"B","YES","YES",31,86.8951,0.243555143,"31","7/30/21","3:22","","7/31/22","6:06",15,"12:53",62.4924,20.84094
32,69.71,140.49,70.78,0.3767,5,2,"9:46",2022-07-19,"B","YES","YES",32,54.0199,0.291112583,"32","7/30/21","1:36","Some algea got stuck in the needle, but I think did not affect sample","7/31/22","4:40",15,"10:12",62.8534,11.40702
35,69.48,140.51,71.03,0.3787,4,1,"10:53",2022-07-22,"C","YES","YES",35,44.3455,0.220842657,"35","7/30/21","3:12","","7/31/22","5:53",15,"10:50",62.41354,8.4494
36,69.4,140.54,71.14,0.3726,4,3,"11:18",2022-07-22,"C","YES","YES",36,36.6823,0.255255875,"36","7/30/21","3:01","","","",15,"10:50",62.41354,8.4494
37,69.77,140.52,70.75,0.3798,4,2,"11:12",2022-07-22,"C","YES","YES",37,37.2163,0.221892513,"37","7/30/21","3:05","","7/31/22","5:47",15,"10:50",62.41354,8.4494
38,69.32,140.8,71.48,0.3836,4,1,"10:54",2022-07-22,"C","YES","YES",38,40.3567,0.261377613,"38","7/30/21","2:57","","7/31/22","5:40",15,"10:50",62.41354,8.4494
39,69.52,140.73,71.21,0.3771,12,1,"9:38",2022-07-27,"C","YES","",39,16.2199,0.238711969,"39","7/30/21","3:09","","7/31/22","5:45",15,"9:34",62.96565,8.647367
40,70.04,140.8,70.76,0.371,10,3,"12:13",2022-07-08,"B","YES","YES",40,256.4851,0.228405191,"40","7/30/21","2:48","","7/31/22","5:19",15,"11:40",63.79533,8.826833
41,69.2,140.74,71.54,0.3869,12,3,"10:11",2022-07-27,"C","YES","",41,21.2935,0.251880669,"41","7/30/21","2:53","","7/31/22","5:22",15,"9:34",62.96565,8.647367
42,69.33,140.97,71.64,0.376,10,3,"11:19",2022-07-18,"C","YES","YES",42,372.9703,0.174911667,"42","7/29/21","22:05","","7/31/22","5:00",15,"10:53",63.77594,9.472281
43,69.95,141.21,71.26,0.3832,12,2,"9:54",2022-07-27,"C","YES","",43,12.9295,0.264863073,"43","7/30/21","2:42","","","",15,"9:34",62.96565,8.647367
44,69.49,140.52,71.03,0.3809,12,2,"9:56",2022-07-27,"C","YES","",44,23.3935,0.246715559,"44","7/30/21","2:46","","7/31/22","5:16",15,"9:34",62.96565,8.647367
45,69.17,140.75,71.58,0.3856,8,2,"10:12",2022-07-18,"C","YES","YES",45,103.7839,0.283057921,"45","7/30/21","2:10","","7/31/22","5:04",15,"10:08",63.78435,8.677213
46,70.05,140.79,70.74,0.3784,1,1,"10:11",2022-07-07,"A","YES","YES",46,1.7747,0.278822337,"46","7/30/21","1:55","","7/31/22","4:57",15,"10:07",61.64864,3.662639
47,70.09,140.62,70.53,0.3946,4,2,"13:05",2022-07-15,"B","YES","YES",47,85.4215,0.226198595,"47","7/30/21","2:14","","7/31/22","5:08",15,"12:53",62.4924,20.84094
49,70,140.8,70.8,0.3632,2,2,"12:28",2022-07-07,"A","YES","YES",49,1.7253,0.322997543,"49","7/30/21","1:46","","7/31/22","4:50",15,"12:07",61.7099,8.465256
50,69.83,141.01,71.18,0.3938,11,1,"11:08",2022-07-19,"B","YES","YES",50,17.3251,0.278398919,"50","7/30/21","1:19","","7/31/22","4:17",15,"11:01",62.74875,10.48571
51,69.66,140.47,70.81,0.3625,2,1,"12:13",2022-07-07,"A","YES","YES",51,1.7019,0.318631437,"51","7/30/21","0:23","","7/31/22","3:33",15,"12:07",61.7099,8.465256
53,69.75,140.59,70.84,0.3751,8,1,"10:22",2022-07-08,"B","YES","YES",53,40.7515,0.381182913,"53","7/30/21","1:14","","7/31/22","4:14",15,"10:07",63.84128,7.988405
54,69.78,140.84,71.06,0.3691,10,1,"11:59",2022-07-08,"B","YES","YES",54,187.5559,0.169699907,"54","7/30/21","1:11","","","",15,"11:40",63.79533,8.826833
56,69.47,140.94,71.47,0.3748,3,2,"13:13",2022-07-07,"A","YES","YES",56,1.6304,0.268244577,"56","7/30/21","0:20","","7/31/22","3:38",15,"12:56",61.66913,11.88605
58,69.22,140.48,71.26,0.3769,11,2,"11:20",2022-07-19,"B","YES","YES",58,24.0715,0.34145,"58","7/30/21","0:28","","7/31/22","3:41",15,"11:01",62.74875,10.48571
60,70.07,141.09,71.02,0.3885,9,1,"11:32",2022-07-08,"B","YES","YES",60,291.0547,0.279351645,"60","7/30/21","0:08","","","",15,"11:29",63.80642,8.629661
61,69.43,140.63,71.2,0.368,11,2,"12:00",2022-07-11,"A","YES","YES",61,8.5984,0.39343618,"61","7/30/22","1:51","","7/31/22","4:47",15,"10:56",62.78498,14.99531
62,69.84,141.28,71.44,0.3888,7,3,"12:05",2022-07-19,"C","YES","YES",62,7.7027,0.339634631,"62","7/30/22","1:41","","7/31/22","4:44",15,"11:38",62.74971,10.54945
63,69.5,140.54,71.04,0.386,5,3,"9:56",2022-07-19,"B","YES","YES",63,44.4991,0.258949383,"63","7/30/22","0:03","","7/31/22","3:17",15,"10:12",62.8534,11.40702
64,68.81,140.73,71.92,NA,5,1,"10:16",2022-06-28,"A","YES","YES",64,147.4363,0.220842657,"64","7/30/22","0:12","","7/31/22","3:24",15,"10:30",62.6334,19.50581
65,68.94,140.44,71.5,0.373,7,3,"11:25",2022-06-30,"A","YES","YES",65,10.3015,0.245661927,"65","7/30/22","0:32","","7/31/22","3:44",15,"10:51",62.57962,9.880264
66,68.63,140.03,71.4,NA,5,2,"10:19",2022-06-28,"A","YES","YES",66,137.3887,0.253779021,"66","7/30/22","0:15","","7/31/22","3:31",15,"10:30",62.6334,19.50581
67,68.77,140.1,71.33,0.3973,10,3,"11:55",2022-07-05,"A","YES","YES",67,83.9179,0.22178752,"67","7/30/22","0:51","","7/31/22","3:24",15,"11:25",63.70984,7.503792
68,68.57,140.38,71.81,0.35,11,1,"11:45",2022-07-11,"A","YES","YES",68,11.3623,0.312034141,"68","7/30/22","1:07","","7/31/22","4:08",15,"10:56",62.78498,14.99531
69,68.9,140.45,71.55,0.3758,7,2,"11:21",2022-06-30,"A","YES","YES",69,9.4642,0.220422759,"69","7/30/22","0:00","","7/31/22","3:15",15,"10:51",62.57962,9.880264
70,68.68,140.25,71.57,0.4092,9,1,"10:42",2022-07-05,"A","YES","YES",70,170.1643,0.27131048,"70","7/29/22","23:55","","7/31/22","3:11",15,"10:37",63.72989,5.397598
71,68.75,140.18,71.43,0.3641,4,3,"9:38",2022-06-29,"A","YES","YES",71,61.9327,0.240922563,"71","7/29/22","23:51","","7/31/22","3:07",15,"9:45",62.18753,5.3432
72,68.54,139.69,71.15,0.3592,6,2,"9:53",2022-06-30,"A","YES","YES",72,15.0043,0.194648257,"72","7/30/22","1:01","","7/31/22","4:05",15,"9:33",62.31554,6.731376
73,68.59,140.12,71.53,0.3749,6,3,"10:28",2022-07-11,"B","YES","YES",73,6.7303,0.235765607,"73","7/29/22","23:34","","7/31/22","2:23",15,"9:44",62.67683,12.1597
74,68.74,139.99,71.25,0.3879,6,1,"9:50",2022-06-30,"A","YES","YES",74,36.0283,0.18200608,"74","7/29/22","23:44","","7/31/22","3:02",15,"9:33",62.31554,6.731376
75,68.85,140.58,71.73,0.3891,7,2,"12:57",2022-07-11,"B","YES","YES",75,5.6019,0.236922957,"75","7/29/22","23:37","","7/31/22","2:25",15,"12:09",62.76471,21.31306
76,68.86,140.17,71.31,0.379,7,1,"11:18",2022-06-30,"A","YES","YES",76,14.6131,0.237449089,"76","7/29/22","23:47","","7/31/22","3:04",15,"10:51",62.57962,9.880264
79,68.81,140.11,71.3,0.35,4,2,"9:30",2022-06-29,"A","YES","YES",79,56.1607,0.1908845,"79","7/30/22","0:47","","7/31/22","3:53",15,"9:45",62.18753,5.3432
80,68.92,140.52,71.6,0.3611,10,2,"11:48",2022-07-05,"A","YES","YES",80,238.0063,0.25177522,"80","7/29/22","23:29","","7/31/22","2:19",15,"11:25",63.70984,7.503792
81,68.63,139.96,71.33,NA,11,1,"11:45",2022-07-11,"A","YES","YES",81,12.1015,0.310864295,"81","7/30/22","0:56","","7/31/22","4:02",15,"10:56",62.78498,14.99531
82,68.83,140.28,71.45,0.3563,7,1,"13:02",2022-07-11,"B","YES","YES",82,6.7121,0.262750465,"82","7/29/22","23:22","","","",15,"12:09",62.76471,21.31306
83,68.88,140.5,71.62,0.385,5,3,"10:23",2022-06-28,"A","YES","YES",83,117.5683,0.24913952,"83","7/29/22","23:18","","7/31/22","2:15",15,"10:30",62.6334,19.50581
87,69.1,140.65,71.55,0.3911,9,3,"11:39",2022-07-08,"B","YES","YES",87,222.9307,0.298645683,"87","7/29/22","23:07","syringe bubble","7/31/22","1:58",15,"11:29",63.80642,8.629661
88,68.98,140.88,71.9,0.3924,3,1,"13:01",2022-07-07,"A","YES","YES",88,1.7097,0.23913298,"88","7/29/22","22:11","","7/31/22","0:52",15,"12:56",61.66913,11.88605
89,68.59,140.12,71.53,0.3859,6,2,"10:18",2022-07-11,"B","YES","YES",89,16.4911,0.245345869,"89","7/29/22","18:53","","7/30/22","22:45",15,"9:44",62.67683,12.1597
91,68.4,139.68,71.28,0.3713,6,1,"10:15",2022-07-11,"B","YES","YES",91,15.2371,0.238290983,"91","7/29/22","18:43","","7/30/22","22:38",15,"9:44",62.67683,12.1597
92,68.72,139.77,71.05,0.382,6,1,"12:58",2022-07-19,"C","YES","YES",92,7.6546,0.27342568,"92","7/29/22","20:01","big bubble in syringe, I don't know why","7/30/22","23:22",15,"12:34",62.60229,8.528594
93,68.49,140.26,71.77,0.3819,4,2,"13:06",2022-07-15,"B","YES","YES",93,81.6271,0.204799811,"93","7/29/22","20:01","","7/30/22","23:19",15,"12:53",62.4924,20.84094
94,68.79,140.22,71.43,0.3666,8,2,"10:12",2022-07-05,"A","YES","YES",94,58.7815,0.33717928,"","","","","7/31/22","0:30",15,"9:44",63.75624,5.008009
95,68.68,139.89,71.21,0.3817,7,3,"12:54",2022-07-11,"B","YES","YES",95,8.1304,0.25704962,"","","","","7/31/22","0:27",15,"12:09",62.76471,21.31306
96,68.63,139.9,71.27,0.3698,1,3,"10:50",2022-07-14,"B","YES","YES",96,2.296,0.256099933,"96","7/29/22","19:40","","7/30/22","23:12",15,"10:01",61.89142,10.88116
97,68.63,140.39,71.76,0.363,9,1,"11:29",2022-07-08,"B","YES","YES",97,325.0315,0.295886147,"97","7/29/22","19:55","","7/30/22","23:15",15,"11:29",63.80642,8.629661
98,68.72,140.2,71.48,0.3949,3,3,"12:52",2022-07-14,"B","YES","YES",98,2.9655,0.2538845,"98","7/29/22","19:45","","7/30/22","23:04",15,"12:36",61.90788,9.848541
99,69.1,140.58,71.48,0.3614,8,1,"10:02",2022-07-05,"A","YES","YES",99,65.0347,0.349357581,"99","7/29/22","22:06","","7/31/22","0:48",15,"9:44",63.75624,5.008009
101,68.7,139.81,71.11,0.35,5,4,"10:25",2022-06-28,"A","YES","YES",101,97.0027,0.21916322,"101","7/29/22","18:37","","7/30/22","22:35",15,"10:30",62.6334,19.50581
102,68.54,140.08,71.54,0.3675,10,2,"11:51",2022-07-05,"A","YES","YES",102,248.0119,0.226934049,"102","7/29/22","21:00","","","",15,"11:25",63.70984,7.503792
104,68.82,140.87,72.05,0.36,8,1,"9:58",2022-07-05,"A","YES","YES",104,79.7011,0.31799272,"104","7/29/22","20:58","lots of vegetation in this","7/31/22","0:24",15,"9:44",63.75624,5.008009
105,68.57,140.02,71.45,0.3783,1,1,"10:13",2022-07-07,"A","YES","YES",105,2.192,0.284223155,"105","7/29/22","21:57","","7/31/22","0:42",15,"10:07",61.64864,3.662639
107,68.78,140.31,71.53,0.3661,12,3,"13:00",2022-07-06,"A","YES","YES",107,14.5543,0.248823303,"107","7/29/22","21:45","","7/31/22","0:34",15,"12:24",62.70932,6.593249
108,68.81,140.07,71.26,0.3638,7,2,"13:00",2022-07-11,"B","YES","YES",108,6.2961,0.250509959,"108","7/29/22","21:40","","7/31/22","0:22",15,"12:09",62.76471,21.31306
109,68.77,140.55,71.78,0.3804,2,3,"12:08",2022-07-14,"B","YES","YES",109,2.699,0.23176898,"109","7/29/22","23:04","","7/31/22","1:53",15,"11:32",61.92754,7.014243
110,68.72,140.23,71.51,0.3892,6,1,"10:16",2022-07-11,"B","YES","YES",110,17.3899,0.243239181,"110","7/29/22","18:27","","7/30/22","22:29",15,"9:44",62.67683,12.1597
111,68.76,140.01,71.25,0.3703,1,2,"10:20",2022-07-14,"B","YES","YES",111,2.2427,0.249350339,"111","7/29/22","20:23","","7/30/22","23:34",15,"10:01",61.89142,10.88116
112,69.02,140.44,71.42,0.3935,9,2,"10:53",2022-07-05,"A","YES","YES",112,190.4779,0.281151591,"112","7/29/22","20:14","","7/30/22","23:30",15,"10:37",63.72989,5.397598
113,68.74,139.82,71.08,0.3886,2,1,"11:34",2022-07-14,"B","YES","YES",113,1.6603,0.229771533,"113","7/29/22","20:10","","7/30/22","23:26",15,"11:32",61.92754,7.014243
114,68.64,140.52,71.88,0.3732,9,2,"11:35",2022-07-08,"B","YES","YES",114,639.3283,0.266764967,"114","7/29/22","19:52","","7/30/22","23:08",15,"11:29",63.80642,8.629661
115,68.75,140.13,71.38,0.3786,1,1,"10:05",2022-07-14,"B","YES","YES",115,2.4611,0.267187681,"115","7/29/22","22:20","","7/31/22","1:02",15,"10:01",61.89142,10.88116
116,68.67,140.26,71.59,0.3579,10,1,"11:43",2022-07-05,"A","YES","YES",116,217.0711,0.223047539,"116","7/29/22","22:55","","7/31/22","1:42",15,"11:25",63.70984,7.503792
117,68.81,140.67,71.86,0.3898,12,2,"12:42",2022-07-06,"A","YES","YES",117,12.9031,0.247663965,"117","7/29/22","22:25","","7/31/22","1:06",15,"12:24",62.70932,6.593249
118,69.15,140.33,71.18,0.4013,12,2,"12:45",2022-07-06,"A","YES","YES",118,12.2155,0.246188723,"118","7/29/22","22:38","","7/31/22","1:25",15,"12:24",62.70932,6.593249
119,68.73,140.52,71.79,0.3701,9,2,"10:50",2022-07-05,"A","YES","YES",119,158.4691,0.291642819,"119","7/29/22","22:42","","7/31/22","1:29",15,"10:37",63.72989,5.397598
121,68.83,140.66,71.83,0.3745,12,1,"12:31",2022-07-06,"A","YES","YES",121,11.3371,0.252935245,"121","7/29/22","19:10","","7/30/22","22:55",15,"12:24",62.70932,6.593249
122,68.72,140.41,71.69,0.3622,2,3,"12:38",2022-07-07,"A","YES","YES",122,1.5251,0.258527169,"122","7/29/22","19:05","","7/30/22","22:52",15,"12:07",61.7099,8.465256
123,69.81,140.56,70.75,0.3911,3,3,"12:55",2022-07-14,"B","YES","YES",123,3.1553,0.227984833,"123","7/29/22","18:57","","7/30/22","22:48",15,"12:36",61.90788,9.848541
124,68.47,139.75,71.28,0.3814,6,2,"9:55",2022-06-30,"A","YES","YES",124,15.9943,0.209933639,"124","7/29/22","22:34","","7/31/22","1:22",15,"9:33",62.31554,6.731376
126,68.59,140.01,71.42,0.4338,6,3,"10:02",2022-06-30,"A","YES","YES",126,19.5607,0.208571229,"126","7/29/22","22:46","big bubble in syringe","7/31/22","1:33",15,"9:33",62.31554,6.731376
128,68.76,139.89,71.13,0.3624,7,1,"11:15",2022-06-30,"A","YES","YES",128,16.0939,0.20291488,"128","7/29/22","22:30","","7/31/22","1:18",15,"10:51",62.57962,9.880264
129,69.57,140.4,70.83,0.3579,8,3,"10:16",2022-07-05,"A","YES","YES",129,38.7535,0.252618855,"129","7/29/22","18:21","","7/30/22","22:24",15,"9:44",63.75624,5.008009
130,68.43,140.08,71.65,0.3849,4,1,"9:19",2022-06-29,"A","YES","YES",130,51.9199,0.207418631,"130","7/29/22","18:14","","7/30/22","22:20",15,"9:45",62.18753,5.3432
131,68.83,140.83,72,0.3749,6,2,"12:53",2022-07-19,"C","YES","YES",131,8.8584,0.199146573,"131","7/29/22","18:09","","7/30/22","22:16",15,"12:34",62.60229,8.528594
132,68.71,140.55,71.84,0.3554,9,3,"10:57",2022-07-05,"A","YES","YES",132,198.2323,0.277552161,"132","7/29/22","18:05","","7/30/22","21:55",15,"10:37",63.72989,5.397598
134,68.9,140.21,71.31,0.3621,1,2,"10:18",2022-07-14,"B","YES","YES",134,2.1309,0.238396227,"134","7/29/22","17:50","","7/30/22","21:47",15,"10:01",61.89142,10.88116
135,69.05,140.74,71.69,0.3845,4,1,"9:19",2022-06-29,"A","YES","YES",135,55.5991,0.2223125,"135","7/29/22","17:34","","7/30/22","21:42",15,"9:45",62.18753,5.3432
142,69.53,140.85,71.32,0.3811,12,2,"9:48",2022-07-22,"B","YES","YES",142,11.6251,0.20710432,"142","7/30/22","2:32","","","",15,"9:30",62.88231,11.6134
143,69.69,141.28,71.59,NA,11,2,"13:29",2022-10-15,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
144,68.66,140.24,71.58,0.3803,12,2,"9:46",2022-07-22,"B","YES","YES",144,11.1751,0.276705505,"144","7/30/22","2:27","","7/31/22","",15,"9:30",62.88231,11.6134
145,68.7,140.14,71.44,0.3799,12,1,"9:34",2022-07-22,"B","YES","YES",145,7.626,0.217274343,"145","7/30/22","2:19","","7/31/22","3:25",15,"9:30",62.88231,11.6134
146,68.73,140.5,71.77,NA,10,1,"16:02",2022-10-16,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
147,68.66,140.29,71.63,NA,4,2,"9:26",2022-10-16,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
148,69.59,140.75,71.16,NA,7,1,"12:35",2022-10-15,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
150,69.38,140.57,71.19,NA,4,2,"9:23",2022-10-16,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
154,69.65,140.22,70.57,0.3722,12,3,"10:02",2022-07-22,"B","YES","YES",154,25.4983,0.21811378,"154","7/30/22","2:23","","7/31/22","5:28",15,"9:30",62.88231,11.6134
155,69.33,140.83,71.5,0.3707,2,3,"11:49",2022-07-25,"C","YES","",155,3.024,0.235555201,"155","7/30/22","2:38","","7/31/22","5:34",15,"11:12",61.90392,17.12641
161,69.86,141.13,71.27,0.3715,1,3,"10:32",2022-07-25,"C","YES","",161,2.6964,0.242923233,"161","7/29/22","21:14","","7/31/22","0:12",15,"9:56",61.83665,15.19226
162,69.07,140.66,71.59,NA,6,1,"11:32",2022-10-15,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
166,69.57,140.44,70.87,NA,9,1,"16:30",2022-10-16,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
167,68.96,140.72,71.76,NA,11,2,"13:27",2022-10-15,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
170,68.75,139.89,71.14,0.3868,1,2,"10:16",2022-07-25,"C","YES","",170,3.0019,0.284117217,"170","7/29/22","20:53","","7/30/22","23:58",15,"9:56",61.83665,15.19226
171,68.99,140.52,71.53,0.374,3,3,"12:45",2022-07-25,"C","YES","",171,4.428,0.255888909,"171","7/29/22","20:44","","7/30/22","23:51",15,"12:04",61.81431,11.20151
177,68.61,139.79,71.18,0.3701,1,1,"10:00",2022-07-25,"C","YES","",177,3.4426,0.293870247,"177","7/29/22","21:20","","","",15,"9:56",61.83665,15.19226
179,69.55,140.85,71.3,NA,7,2,"12:47",2022-10-15,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
181,69.7,140.87,71.17,0.3814,1,2,"10:14",2022-07-25,"C","YES","",181,2.7289,0.231348417,"181","7/29/22","21:25","","","0:19",15,"9:56",61.83665,15.19226
184,68.92,140.99,72.07,NA,12,1,"12:23",2022-10-16,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
186,68.96,140.67,71.71,NA,7,1,"12:32",2022-10-15,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
189,68.84,140.32,71.48,NA,9,1,"16:27",2022-10-16,"A",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
190,68.83,140.4,71.57,NA,9,2,"16:32",2022-10-16,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
192,68.9,140.31,71.41,NA,6,2,"11:41",2022-10-15,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
197,68.57,140.1,71.53,NA,10,1,"16:02",2022-10-16,"A",NA,NA,197,1.2118,0.153672819,"","","","","","",15,NA,NA,NA
204,68.78,140.24,71.46,NA,10,2,"16:05",2022-10-16,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
211,70.15,141.13,70.98,NA,9,2,"16:32",2022-10-16,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
212,70.25,141.14,70.89,NA,12,2,"12:58",2022-10-16,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
214,70.19,141.21,71.02,NA,10,2,"16:06",2022-10-16,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
218,69.47,140.6,71.13,0.3731,5,3,"9:54",2022-07-19,"B","YES","YES",218,43.4527,0.190989021,"218","7/29/22","22:58","","7/31/22","1:48",15,"10:12",62.8534,11.40702
221,69.31,140.59,71.28,0.3713,7,2,"11:52",2022-07-19,"C","YES","YES",221,5.845,0.24703168,"221","7/29/22","15:50","","7/30/22","19:59",15,"11:38",62.74971,10.54945
223,69.81,141.05,71.24,0.3842,9,3,"9:42",2022-07-18,"C","YES","YES",223,317.2195,0.242607299,"223","7/29/22","15:44","","7/30/22","19:54",15,"9:27",63.80909,11.34625
225,69.57,140.84,71.27,NA,8,2,"15:26",2022-10-16,"B",NA,NA,NA,NA,NA,"","","","","","",15,NA,NA,NA
226,69.4,140.6,71.2,0.3897,9,1,"9:33",2022-07-18,"C","YES","YES",226,476.9323,0.197053965,"226","7/29/22","15:38","","7/30/22","19:50",15,"9:27",63.80909,11.34625
