started inverting samples before procedure @ 18:50 7/29,,,,,,,,,,,,
Removed 3-way guage from tedlar @21:23 7/29,,,,,,,,,,,,
Methane std 100ppb,,,,,,,,,,,,
realized was using tedlar bag wrong SO BAD @21:36 7/30/2022,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Vial_n0_9ml,Sample ID,Date headspace introduced,Time headspace introduced,Notes1,Extract Headspace Date,Extract Headspace time,Notes2,headspace_ml,Field blank Date,Field Blank time,Fieil blank vol,Field blank vol
31,31,7/30/21,3:22,,7/31/22,6:06,,15,,,,
32,32,7/30/21,1:36,"Some algea got stuck in the needle, but I think did not affect sample",7/31/22,4:40,,15,,,,
33,33,7/30/21,3:19,syringe bubble,,,,15,,,,
34,34,7/30/21,3:15,,7/31/22,5:57,,15,,,,
35,35,7/30/21,3:12,,7/31/22,5:53,,15,,,,
36,36,7/30/21,3:01,,,,,15,,,,
37,37,7/30/21,3:05,,7/31/22,5:47,,15,,,,
38,38,7/30/21,2:57,,7/31/22,5:40,,15,,,,
39,39,7/30/21,3:09,,7/31/22,5:45,,15,,,,
40,40,7/30/21,2:48,,7/31/22,5:19,,15,,,,
41,41,7/30/21,2:53,,7/31/22,5:22,,15,,,,
42,42,7/29/21,22:05,,7/31/22,5:00,,15,,,,
43,43,7/30/21,2:42,,,,,15,,,,
44,44,7/30/21,2:46,,7/31/22,5:16,,15,,,,
45,45,7/30/21,2:10,,7/31/22,5:04,,15,,,,
46,46,7/30/21,1:55,,7/31/22,4:57,,15,,,,
47,47,7/30/21,2:14,,7/31/22,5:08,,15,,,,
48,48,7/30/21,2:00,,7/31/22,4:53,,15,,,,
49,49,7/30/21,1:46,,7/31/22,4:50,,15,,,,
50,50,7/30/21,1:19,,7/31/22,4:17,,15,,,,
51,51,7/30/21,0:23,,7/31/22,3:33,,15,,,,
52,52,7/30/21,1:32,,7/31/22,4:22,,15,,,,
53,53,7/30/21,1:14,,7/31/22,4:14,,15,,,,
54,54,7/30/21,1:11,,,,,15,,,,
55,55,7/30/21,1:24,,,,,15,,,,
56,56,7/30/21,0:20,,7/31/22,3:38,,15,,,,
57,57,7/30/21,0:39,,7/31/22,3:47,,15,,,,
58,58,7/30/21,0:28,,7/31/22,3:41,,15,,,,
59,59,7/30/21,1:28,,7/31/22,4:26,,15,,,,
60,60,7/30/21,0:08,,,,,15,,,,
61,61,7/30/22,1:51,,7/31/22,4:47,,15,,,,
62,62,7/30/22,1:41,,7/31/22,4:44,,15,,,,
63,63,7/30/22,0:03,,7/31/22,3:17,,15,,,,
64,64,7/30/22,0:12,,7/31/22,3:24,,15,,,,
65,65,7/30/22,0:32,,7/31/22,3:44,,15,,,,
66,66,7/30/22,0:15,,7/31/22,3:31,,15,,,,
67,67,7/30/22,0:51,,7/31/22,3:24,,15,,,,
68,68,7/30/22,1:07,,7/31/22,4:08,,15,,,,
69,69,7/30/22,0:00,,7/31/22,3:15,,15,,,,
70,70,7/29/22,23:55,,7/31/22,3:11,,15,,,,
71,71,7/29/22,23:51,,7/31/22,3:07,,15,,,,
72,72,7/30/22,1:01,,7/31/22,4:05,,15,,,,
73,73,7/29/22,23:34,,7/31/22,2:23,,15,,,,
74,74,7/29/22,23:44,,7/31/22,3:02,,15,,,,
75,75,7/29/22,23:37,,7/31/22,2:25,,15,,,,
76,76,7/29/22,23:47,,7/31/22,3:04,,15,,,,
77,77,7/29/22,23:40,,7/31/22,2:57,,15,,,,
78,78,7/30/22,0:43,,,,,15,,,,
79,79,7/30/22,0:47,,7/31/22,3:53,,15,,,,
80,80,7/29/22,23:29,,7/31/22,2:19,,15,,,,
81,81,7/30/22,0:56,,7/31/22,4:02,,15,,,,
82,82,7/29/22,23:22,,,,,15,,,,
83,83,7/29/22,23:18,,7/31/22,2:15,,15,,,,
84,84,7/29/22,23:14,syringe bubble,7/31/22,2:10,,15,,,,
85,85,7/29/22,23:14,,7/31/22,2:06,,15,,,,
86,86,7/29/22,23:11,,7/31/22,2:03,,15,,,,
87,87,7/29/22,23:07,syringe bubble,7/31/22,1:58,,15,,,,
88,88,7/29/22,22:11,,7/31/22,0:52,,15,,,,
89,89,7/29/22,18:53,,7/30/22,22:45,,15,,,,
90,90,7/29/22,18:48,,7/30/22,22:41,,15,,,,
91,91,7/29/22,18:43,,7/30/22,22:38,,15,,,,
92,92,7/29/22,20:01,"big bubble in syringe, I don't know why",7/30/22,23:22,,15,,,,
93,93,7/29/22,20:01,,7/30/22,23:19,,15,,,,
94,,,,,7/31/22,0:30,,15,,,,
95,,,,,7/31/22,0:27,,15,,,,
96,96,7/29/22,19:40,,7/30/22,23:12,,15,,,,
97,97,7/29/22,19:55,,7/30/22,23:15,,15,,,,
98,98,7/29/22,19:45,,7/30/22,23:04,,15,,,,
99,99,7/29/22,22:06,,7/31/22,0:48,,15,,,,
100,100,7/29/22,22:02,,7/31/22,0:45,,15,,,,
101,101,7/29/22,18:37,,7/30/22,22:35,,15,,,,
102,102,7/29/22,21:00,,,,,15,,,,
103,103,7/29/22,21:03,,7/31/22,0:06,,15,,,,
104,104,7/29/22,20:58,lots of vegetation in this,7/31/22,0:24,,15,,,,
105,105,7/29/22,21:57,,7/31/22,0:42,,15,,,,
106,106,7/29/22,21:50,,7/31/22,0:38,,15,,,,
107,107,7/29/22,21:45,,7/31/22,0:34,,15,,,,
108,108,7/29/22,21:40,,7/31/22,0:22,,15,,,,
109,109,7/29/22,23:04,,7/31/22,1:53,,15,,,,
110,110,7/29/22,18:27,,7/30/22,22:29,,15,,,,
111,111,7/29/22,20:23,,7/30/22,23:34,,15,,,,
112,112,7/29/22,20:14,,7/30/22,23:30,,15,,,,
113,113,7/29/22,20:10,,7/30/22,23:26,,15,,,,
114,114,7/29/22,19:52,,7/30/22,23:08,,15,,,,
115,115,7/29/22,22:20,,7/31/22,1:02,,15,,,,
116,116,7/29/22,22:55,,7/31/22,1:42,,15,,,,
117,117,7/29/22,22:25,,7/31/22,1:06,,15,,,,
118,118,7/29/22,22:38,,7/31/22,1:25,,15,,,,
119,119,7/29/22,22:42,,7/31/22,1:29,,15,,,,
120,120,7/29/22,19:17,,7/30/22,22:59,,15,,,,
121,121,7/29/22,19:10,,7/30/22,22:55,,15,,,,
122,122,7/29/22,19:05,,7/30/22,22:52,,15,,,,
123,123,7/29/22,18:57,,7/30/22,22:48,,15,,,,
124,124,7/29/22,22:34,,7/31/22,1:22,,15,,,,
125,125,7/29/22,22:16,,7/31/22,0:56,,15,,,,
126,126,7/29/22,22:46,big bubble in syringe,7/31/22,1:33,,15,,,,
127,127,7/29/22,22:50,,7/31/22,1:37,,15,,,,
128,128,7/29/22,22:30,,7/31/22,1:18,,15,,,,
129,129,7/29/22,18:21,,7/30/22,22:24,,15,,,,
130,130,7/29/22,18:14,,7/30/22,22:20,,15,,,,
131,131,7/29/22,18:09,,7/30/22,22:16,,15,,,,
132,132,7/29/22,18:05,,7/30/22,21:55,,15,,,,
133,133,7/29/22,17:55,,7/30/22,21:51,,15,,,,
134,134,7/29/22,17:50,,7/30/22,21:47,,15,,,,
135,135,7/29/22,17:34,,7/30/22,21:42,,15,,,,
136,136,7/29/22,17:25,,7/30/22,21:11,,15,,,,
137,137,7/29/22,17:05,removed 30ml instead of 15ml,7/30/22,21:08,,30,,,,
138,138,7/29/22,16:54,,7/30/22,21:04,,15,,,,
139,139,7/29/22,16:44,,7/30/22,20:58,,15,,,,
140,140,7/29/22,14:25,,7/30/22,20:46,,15,,,,
141,141,7/29/22,16:00,,7/30/22,20:10,,15,,,,
142,142,7/30/22,2:32,,,,,15,,,,
143,,,,,,,,15,,,,
144,144,7/30/22,2:27,,7/31/22,,,15,,,,
145,145,7/30/22,2:19,,7/31/22,3:25,,15,,,,
146,,,,,,,,15,,,,
147,,,,,,,,15,,,,
148,,,,,,,,15,,,,
149,,,,,,,,15,,,,
150,,,,,,,,15,,,,
151,,,,,,,,15,,,,
152,,,,,,,,15,,,,
153,,,,,,,,15,,,,
154,154,7/30/22,2:23,,7/31/22,5:28,,15,,,,
155,155,7/30/22,2:38,,7/31/22,5:34,,15,,,,
156,,,,,,,,15,,,,
157,,,,,,,,15,,,,
158,,,,,,,,15,,,,
159,,,,,,,,15,,,,
160,,,,,,,,15,,,,
161,161,7/29/22,21:14,,7/31/22,0:12,,15,,,,
162,,,,,,,,15,,,,
163,,,,,,,,15,,,,
164,,,,,,,,15,,,,
165,,,,,,,,15,,,,
166,,,,,,,,15,,,,
167,,,,,,,,15,,,,
168,,,,,,,,15,,,,
169,,,,,,,,15,,,,
170,170,7/29/22,20:53,,7/30/22,23:58,,15,,,,
171,171,7/29/22,20:44,,7/30/22,23:51,,15,,,,
172,,,,,,,,15,,,,
173,,,,,,,,15,,,,
174,,,,,,,,15,,,,
175,,,,,,,,15,,,,
176,,,,,,,,15,,,,
177,177,7/29/22,21:20,,,,,15,,,,
178,,,,,,,,15,,,,
179,,,,,,,,15,,,,
180,,,,,,,,15,,,,
181,181,7/29/22,21:25,,,0:19,,15,,,,
182,,,,,,,,15,,,,
183,,,,,,,,15,,,,
184,,,,,,,,15,,,,
185,,,,,,,,15,,,,
186,,,,,,,,15,,,,
187,,,,,,,,15,,,,
188,,,,,,,,15,,,,
189,,,,,,,,15,,,,
190,,,,,,,,15,,,,
191,,,,,,,,15,,,,
192,,,,,,,,15,,,,
193,,,,,,,,15,,,,
194,,,,,,,,15,,,,
195,,,,,,,,15,,,,
196,,,,,,,,15,,,,
197,,,,,,,,15,,,,
198,,,,,,,,15,,,,
199,,,,,,,,15,,,,
200,,,,,,,,15,,,,
201,,,,,,,,15,,,,
202,,,,,,,,15,,,,
203,,,,,,,,15,,,,
204,,,,,,,,15,,,,
205,,,,,,,,15,,,,
206,,,,,,,,15,,,,
207,,,,,,,,15,,,,
208,,,,,,,,15,,,,
209,,,,,,,,15,,,,
210,,,,,,,,15,,,,
211,,,,,,,,15,,,,
212,,,,,,,,15,,,,
213,,,,,,,,15,,,,
214,,,,,,,,15,,,,
215,,,,,,,,15,,,,
216,,,,,,,,15,,,,
217,,,,,,,,15,,,,
218,218,7/29/22,22:58,,7/31/22,1:48,,15,,,,
219,,,,,,,,15,,,,
220,,,,,,,,15,,,,
221,221,7/29/22,15:50,,7/30/22,19:59,,15,,,,
222,,,,,,,,15,,,,
223,223,7/29/22,15:44,,7/30/22,19:54,,15,,,,
224,,,,,,,,15,,,,
225,,,,,,,,15,,,,
226,226,7/29/22,15:38,,7/30/22,19:50,,15,,,,
227,,,,,,,,15,,,,
228,228,7/29/22,20:34,,7/30/22,23:41,,15,,,,
229,,,,,,,,15,,,,
230,,,,,,,,15,,,,
231,,,,,,,,15,,,,
232,232,7/29/22,20:39,,7/30/22,23:44,,15,,,,
233,,,,,,,,15,,,,
234,234,7/29/22,15:33,,7/30/22,19:43,,15,,,,
235,235,7/29/22,14:25,,7/30/22,19:38,,15,,,,
236,,,,,,,,15,,,,
237,,,,,,,,15,,,,
238,,,,,,,,15,,,,
239,,,,,,,,15,,,,
240,240,7/29/22,14:13,,7/30/22,19:33,,15,,,,
241,,,,,,,,15,,,,
242,242,7/29/22,14:02,pulled out .01ml more h2o than shoud have,7/30/22,19:27,,16,,,,
243,,,,,,,,15,,,,
244,244,7/29/22,13:44,,7/30/22,19:14,,15,,,,
245,,,,,,,,15,,,,
246,,,,,,,,15,,,,
247,247,7/29/22,13:57,,7/30/22,19:21,,15,,,,
248,,,,,,,,15,,,,
249,,,,,,,,15,,,,
250,,,,,,,,15,,,,
251,,,,,,,,15,,,,
252,,,,,,,,15,,,,
253,,,,,,,,15,,,,
254,254,7/29/22,13:58,,7/30/22,19:07,,15,,,,
255,255,7/29/22,12:46,,7/30/22,19:03,,15,,,,
256,,,,,,,,15,,,,
257,,,,,,,,15,,,,
258,,,,,,,,15,,,,
259,,,,,,,,15,,,,
260,,,,,,,,15,,,,
261,,,,,,,,15,,,,
262,,,,,,,,15,,,,
263,263,7/29/22,12:36,,7/30/22,18:51,,15,,,,
264,,,,,,,,15,,,,
265,,,,,,,,15,,,,
266,,,,,,,,15,,,,
267,267,7/29/22,12:29,,7/30/22,18:57,,15,,,,
268,,,,,,,,15,,,,
269,,,,,,,,15,,,,
270,270,7/29/22,20:48,,7/30/22,23:54,,15,,,,
271,271,7/29/22,12:18,,7/30/22,18:44,,15,,,,
272,,,,,,,,15,,,,
273,,,,,,,,15,,,,
274,,,,,,,,15,,,,
275,,,,,,,,15,,,,
276,,,,,,,,15,,,,
277,277,7/29/22,11:41,definatly messed this one up when putting in N2 and taking out water,7/30/22,18:37,,15,,,,
278,278,7/29/22,11:34,,7/30/22,18:30,,15,,,,
279,279,7/29/22,20:28,,7/30/22,23:38,,15,,,,
280,,,,,,,,15,,,,
281,,,,,,,,15,,,,
282,,,,,,,,15,,,,
283,,,,,,,,15,,,,
284,,,,,,,,15,,,,
285,,,,,,,,15,,,,
286,,,,,,,,15,,,,
287,,,,,,,,15,,,,
288,,,,,,,,15,,,,
289,289,7/30/22,3:29,,7/31/22,6:14,,15,,,,
290,,,,,,,,15,,,,
291,291,7/30/22,3:33,,7/31/22,6:16,,15,,,,
292,,,,,,,,15,,,,
293,293,7/30/22,3:37,,7/31/22,6:19,,15,,,,
294,294,7/30/22,3:41,,7/31/22,6:21,,15,,,,
BLANKS & Standards,,,,,,,,,,,,
295,Lab Blank,,,,,,,,,,,
296,Lab Blank,,,,,,,,,,,
297,Lab Blank,,,,,,,,,,,
298,Lab Blank,,,,,,,,,,,
299,Lab Blank,,,,,,,,,,,
300,Methane std,,,,,,,,,,,
301,Methane std,,,,,,,,,,,
302,Tedlar Blank 7/30,,,,,,,,,,,
303,Tedlar Blank 7/29,,,,,,,,,,,
304,Methane std,,,,,,,,,,,
305,Methane std,,,,,,,,,,,
306,Field Blank,,,,,,,,,,,
307,Field Blank,,,,,,,,,,,
308,Lab Blank,,,,,,,,,,,
309,Lab Blank,,,,,,,,,,,
310,Field Blank,,,,13:40-16:00,7/31/22,7/15/22,,10:20,6,,
311,Field Blank,,,,13:40-16:00,7/31/22,7/22/22,,10:59,6,,
312,Field Blank,,,,13:40-16:00,7/31/22,7/25/22,,10:00,5.5,,
313,Field Blank,,,,13:40-16:00,7/31/22,7/21/22,,9:50,6,,
314,Field Blank,,,,13:40-16:00,7/31/22,7/5/22,,9:37,6,,
315,Field Blank,,,,13:40-16:00,7/31/22,6/30/22,,9:35,5.5,,
316,Field Blank,,,,13:40-16:00,7/31/22,6/28/22,,10:25,6,,
317,Field Blank,,,,13:40-16:00,7/31/22,7/11/22,,,6,,
318,Field Blank,,,,13:40-16:00,7/31/22,7/6/22,,9:50,6,,
319,Field Blank,,,,13:40-16:00,7/31/22,7/8/22,,,6.5,,
320,Field Blank,,,,13:40-16:00,7/31/22,6/20/22,,,6.25,,
321,Field Blank,,,,13:40-16:00,7/31/22,7/19/22,,11:27,6,,
322,Field Blank,,,,13:40-16:00,7/31/22,7/18/22,,11:38,6,,
323,Field Blank,,,,13:40-16:00,7/31/22,7/15/22,,13:20,6,,
324,Field Blank,,,,13:40-16:00,7/31/22,7/18/22,,11:42,6,,
325,Field Blank,,,,13:40-16:00,7/31/22,7/1/22,,,5.5,,
