"","Site","Site2","Date","time","Sample.Name","Lat","Lon","ppm_NOTcorrected","DateTime","Watertemp_c","AirPress_kpa","AirTemp_C","viasala_type","Flux_mean","CH4_umol.L","CH4_sat","CO2_ppm","KH_mol.L.atm","CO2_umol.L","air_pressure_atm","VaporPressure_atm","TotalAir_atm","Total_air_MolperL","CO2_air_MolesPerLiter","CO2_air_gCO2asCPerLiter","WaterTemp_K","CO2_water_gCO2asCPerLiter","deltaCO2_gCO2asCperM3","Flux_gCO2asCperM2perDay","k_m.d","Sc","K600.effective"
"38","Wetland_07","2","10/15/22","12:46",179,NA,NA,386.7797,2022-10-15 12:45:00,7.848667,62.5118,6.899,"NewV",-0.043333333,0,0,938.50848755027,0.0572068931966822,53.689154811468,0.62178254106759,0.00994290956086788,0.611839631506722,0.026624778646666,1.10689854745649e-05,0.000132827825694779,280.998667,0.000644269857737616,0.0292580097033687,-0.0449279996544,-1.5355794912197,1176.80787741078,-2.15054958949301
"39","Wetland_07","2","10/15/22","12:47",260,NA,NA,386.7797,2022-10-15 12:45:00,7.848667,62.5118,6.899,"NewV",-0.043333333,0,0,938.50848755027,0.0572068931966822,53.689154811468,0.62178254106759,0.00994290956086788,0.611839631506722,0.026624778646666,1.10689854745649e-05,0.000132827825694779,280.998667,0.000644269857737616,0.0292580097033687,-0.0449279996544,-1.5355794912197,1176.80787741078,-2.15054958949301
"40","Wetland_11","1","10/15/22","13:20",241,NA,NA,553.2373,2022-10-15 13:15:00,7.582,62.445,6.89,"NewV",0.011428571,0.0716,3069.8402,1342.46792830978,0.0576729036067384,77.4240234245478,0.62112327650359,0.00993676681150955,0.61118650969208,0.0265972121956921,1.1057524998237e-05,0.000132690299978844,280.732,0.000929088281094574,0.0459305839974886,0.0118491424128,0.257979354528736,1196.06447736947,0.36423914907423
"41","Wetland_11","1","10/15/22","13:23",243,NA,NA,553.2373,2022-10-15 13:30:00,7.582,62.445,6.89,"NewV",0.011428571,0.0732,3135.7829,1342.46792830978,0.0576729036067384,77.4240234245478,0.62112327650359,0.00993676681150955,0.61118650969208,0.0265972121956921,1.1057524998237e-05,0.000132690299978844,280.732,0.000929088281094574,0.0459305839974886,0.0118491424128,0.257979354528736,1196.06447736947,0.36423914907423
"42","Wetland_11","2","10/15/22","13:27",143,NA,NA,553.2373,2022-10-15 13:30:00,7.582,62.445,6.89,"NewV",0.011428571,0.0743,3182.9268,1342.46792830978,0.0576729036067384,77.4240234245478,0.62112327650359,0.00993676681150955,0.61118650969208,0.0265972121956921,1.1057524998237e-05,0.000132690299978844,280.732,0.000929088281094574,0.0459305839974886,0.0118491424128,0.257979354528736,1196.06447736947,0.36423914907423
"43","Wetland_11","2","10/15/22","13:29",167,NA,NA,553.2373,2022-10-15 13:30:00,7.582,62.445,6.89,"NewV",0.011428571,0.3899,16713.549,1342.46792830978,0.0576729036067384,77.4240234245478,0.62112327650359,0.00993676681150955,0.61118650969208,0.0265972121956921,1.1057524998237e-05,0.000132690299978844,280.732,0.000929088281094574,0.0459305839974886,0.0118491424128,0.257979354528736,1196.06447736947,0.36423914907423
"44","Wetland_04","1","10/16/22","9:03",239,NA,NA,993.4407,2022-10-16 09:00:00,8.248667,62.2807,6.796,"NewV",NA,0.9385,40892.4473,2410.89624548139,0.0565165585974665,136.255558930161,0.61950176201459,0.00987280913236266,0.609628952882227,0.0265383394908634,1.10330492599316e-05,0.000132396591119179,281.398667,0.00163506670716194,0.0849257436659923,NA,NA,1148.5828192205,NA
"45","Wetland_04","1","10/16/22","9:07",261,NA,NA,993.4407,2022-10-16 09:00:00,8.248667,62.2807,6.796,"NewV",NA,0.6865,29795.3271,2410.89624548139,0.0565165585974665,136.255558930161,0.61950176201459,0.00987280913236266,0.609628952882227,0.0265383394908634,1.10330492599316e-05,0.000132396591119179,281.398667,0.00163506670716194,0.0849257436659923,NA,NA,1148.5828192205,NA
"46","Wetland_04","2","10/16/22","9:23",147,NA,NA,993.4407,2022-10-16 09:30:00,8.248667,62.2807,6.796,"NewV",NA,0.3727,16171.8469,2410.89624548139,0.0565165585974665,136.255558930161,0.61950176201459,0.00987280913236266,0.609628952882227,0.0265383394908634,1.10330492599316e-05,0.000132396591119179,281.398667,0.00163506670716194,0.0849257436659923,NA,NA,1148.5828192205,NA
"47","Wetland_04","2","10/16/22","9:26",150,NA,NA,993.4407,2022-10-16 09:30:00,8.248667,62.2807,6.796,"NewV",NA,0.3436,14909.571,2410.89624548139,0.0565165585974665,136.255558930161,0.61950176201459,0.00987280913236266,0.609628952882227,0.0265383394908634,1.10330492599316e-05,0.000132396591119179,281.398667,0.00163506670716194,0.0849257436659923,NA,NA,1148.5828192205,NA
"48","Wetland_12","1","10/16/22","12:23",184,NA,NA,1715.203,2022-10-16 12:30:00,7.589333,62.4405,6.821,"NewV",0.023333333,0.2093,8977.6023,4162.06829006665,0.0576600264177013,239.98496755752,0.62107886496859,0.00988978358176646,0.611189081386823,0.0266038791285077,1.10602967088858e-05,0.00013272356050663,280.739333,0.00287981961069024,0.15839763082555,0.0241919996544,0.152729554907571,1195.53018848431,0.215589564105156
"49","Wetland_12","1","10/16/22","12:38",237,NA,NA,1715.203,2022-10-16 12:45:00,7.589333,62.4405,6.821,"NewV",0.023333333,0.173,7420.8834,4162.06829006665,0.0576600264177013,239.98496755752,0.62107886496859,0.00988978358176646,0.611189081386823,0.0266038791285077,1.10602967088858e-05,0.00013272356050663,280.739333,0.00287981961069024,0.15839763082555,0.0241919996544,0.152729554907571,1195.53018848431,0.215589564105156
"50","Wetland_12","2","10/16/22","12:58",212,NA,NA,1715.203,2022-10-16 13:00:00,7.589333,62.4405,6.821,"NewV",0.023333333,0.3015,12928.6844,4162.06829006665,0.0576600264177013,239.98496755752,0.62107886496859,0.00988978358176646,0.611189081386823,0.0266038791285077,1.10602967088858e-05,0.00013272356050663,280.739333,0.00287981961069024,0.15839763082555,0.0241919996544,0.152729554907571,1195.53018848431,0.215589564105156
"51","Wetland_12","2","10/16/22","13:01",290,NA,NA,1715.203,2022-10-16 13:00:00,7.589333,62.4405,6.821,"NewV",0.023333333,0.264,11324.9446,4162.06829006665,0.0576600264177013,239.98496755752,0.62107886496859,0.00988978358176646,0.611189081386823,0.0266038791285077,1.10602967088858e-05,0.00013272356050663,280.739333,0.00287981961069024,0.15839763082555,0.0241919996544,0.152729554907571,1195.53018848431,0.215589564105156
"52","Wetland_08","1","10/16/22","15:22",227,NA,NA,2569.492,2022-10-16 15:15:00,8.382,62.2806,6.813,"NewV",0.0525,8.493,371061.4251,6235.68069889845,0.0562887353769817,350.998580755647,0.61950077509159,0.00988434895721383,0.609616426134376,0.0265361827408954,1.10321526126999e-05,0.000132385831352398,281.532,0.00421198296906777,0.229635363729552,0.054432,0.237036661583649,1139.34808690304,0.326639054996194
"53","Wetland_08","1","10/16/22","15:24",233,NA,NA,2569.492,2022-10-16 15:30:00,8.382,62.2806,6.813,"NewV",0.0525,4.6092,201370.8457,6235.68069889845,0.0562887353769817,350.998580755647,0.61950077509159,0.00988434895721383,0.609616426134376,0.0265361827408954,1.10321526126999e-05,0.000132385831352398,281.532,0.00421198296906777,0.229635363729552,0.054432,0.237036661583649,1139.34808690304,0.326639054996194
"54","Wetland_08","2","10/16/22","15:26",225,NA,NA,2569.492,2022-10-16 15:30:00,8.382,62.2806,6.813,"NewV",0.0525,8.3072,362936.7059,6235.68069889845,0.0562887353769817,350.998580755647,0.61950077509159,0.00988434895721383,0.609616426134376,0.0265361827408954,1.10321526126999e-05,0.000132385831352398,281.532,0.00421198296906777,0.229635363729552,0.054432,0.237036661583649,1139.34808690304,0.326639054996194
"55","Wetland_08","2","10/16/22","15:27",251,NA,NA,2569.492,2022-10-16 15:30:00,8.382,62.2806,6.813,"NewV",0.0525,8.5729,374543.047,6235.68069889845,0.0562887353769817,350.998580755647,0.61950077509159,0.00988434895721383,0.609616426134376,0.0265361827408954,1.10321526126999e-05,0.000132385831352398,281.532,0.00421198296906777,0.229635363729552,0.054432,0.237036661583649,1139.34808690304,0.326639054996194
"56","Wetland_10","1","10/16/22","16:02",197,NA,NA,2064,2022-10-16 16:00:00,8.978,62.2605,6.807,"NewV",0.025,1.9305,85386.8558,5009.007562968,0.0552841187636152,276.91856899897,0.61930240356859,0.00988027471900054,0.609422128849589,0.026528293652607,1.10288728031348e-05,0.000132346473637618,282.128,0.00332302282798764,0.176393730510145,0.02592,0.146943998094701,1099.10959909702,0.198882571793069
"57","Wetland_10","1","10/16/22","16:02",146,NA,NA,2064,2022-10-16 16:00:00,8.978,62.2605,6.807,"NewV",0.025,9.5249,421297.6073,5009.007562968,0.0552841187636152,276.91856899897,0.61930240356859,0.00988027471900054,0.609422128849589,0.026528293652607,1.10288728031348e-05,0.000132346473637618,282.128,0.00332302282798764,0.176393730510145,0.02592,0.146943998094701,1099.10959909702,0.198882571793069
"58","Wetland_10","2","10/16/22","16:05",204,NA,NA,2064,2022-10-16 16:00:00,8.978,62.2605,6.807,"NewV",0.025,6.7507,298589.1591,5009.007562968,0.0552841187636152,276.91856899897,0.61930240356859,0.00988027471900054,0.609422128849589,0.026528293652607,1.10288728031348e-05,0.000132346473637618,282.128,0.00332302282798764,0.176393730510145,0.02592,0.146943998094701,1099.10959909702,0.198882571793069
"59","Wetland_10","2","10/16/22","16:06",214,NA,NA,2064,2022-10-16 16:00:00,8.978,62.2605,6.807,"NewV",0.025,10.7445,475243.7832,5009.007562968,0.0552841187636152,276.91856899897,0.61930240356859,0.00988027471900054,0.609422128849589,0.026528293652607,1.10288728031348e-05,0.000132346473637618,282.128,0.00332302282798764,0.176393730510145,0.02592,0.146943998094701,1099.10959909702,0.198882571793069
"60","Wetland_09","1","10/16/22","16:27",166,NA,NA,2562.881,2022-10-16 16:30:00,8.481,62.2664,6.802,"NewV",0.276,7.6192,333617.8883,6219.69161694646,0.0561203093709866,349.051017735167,0.61936063202559,0.00987688065298575,0.609483751372604,0.0265314499446994,1.10301850000093e-05,0.000132362220000112,281.631,0.00418861221282201,0.227638004483227,0.2861568,1.25706953304928,1132.54683032685,1.72707723638584
"61","Wetland_09","1","10/16/22","16:30",189,NA,NA,2562.881,2022-10-16 16:30:00,8.481,62.2664,6.802,"NewV",0.276,6.8345,299258.4179,6219.69161694646,0.0561203093709866,349.051017735167,0.61936063202559,0.00987688065298575,0.609483751372604,0.0265314499446994,1.10301850000093e-05,0.000132362220000112,281.631,0.00418861221282201,0.227638004483227,0.2861568,1.25706953304928,1132.54683032685,1.72707723638584
"62","Wetland_09","2","10/16/22","16:32",190,NA,NA,2562.881,2022-10-16 16:30:00,8.481,62.2664,6.802,"NewV",0.276,4.5852,200769.5736,6219.69161694646,0.0561203093709866,349.051017735167,0.61936063202559,0.00987688065298575,0.609483751372604,0.0265314499446994,1.10301850000093e-05,0.000132362220000112,281.631,0.00418861221282201,0.227638004483227,0.2861568,1.25706953304928,1132.54683032685,1.72707723638584
"63","Wetland_09","2","10/16/22","16:32",211,NA,NA,2562.881,2022-10-16 16:30:00,8.481,62.2664,6.802,"NewV",0.276,6.4497,282411.5697,6219.69161694646,0.0561203093709866,349.051017735167,0.61936063202559,0.00987688065298575,0.609483751372604,0.0265314499446994,1.10301850000093e-05,0.000132362220000112,281.631,0.00418861221282201,0.227638004483227,0.2861568,1.25706953304928,1132.54683032685,1.72707723638584
"64","Wetland_06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216,9312.074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
