Data Filename,Sample Name,Sample ID,nitrous oxide,SF6,CO,CH4,CO2
C:\LabSolutions\Data\Project1\240229\2292024_620_024.gcd,620,,0.08,-----,0,9.513,279.256
C:\LabSolutions\Data\Project1\240229\2292024_621_001.gcd,621,,0.05,-----,0,9.882,259.083
C:\LabSolutions\Data\Project1\240229\2292024_622_011.gcd,622,,-----,-----,-----,-----,-----
C:\LabSolutions\Data\Project1\240229\2292024_623_019.gcd,623,,0.056,-----,0,11.544,322.154
C:\LabSolutions\Data\Project1\240229\2292024_624_017.gcd,624,,0.038,-----,0,10.994,315.188
C:\LabSolutions\Data\Project1\240229\2292024_607$_003.gcd,607?,,0.024,-----,0,15.748,394.054
C:\LabSolutions\Data\Project1\240301\312024_kblank7_026.gcd,kblank7,,-----,-----,-----,-----,-86.915
C:\LabSolutions\Data\Project1\240301\312024_kblank9_027.gcd,kblank9,,-----,-----,-----,-----,-90.42
C:\LabSolutions\Data\Project1\240301\312024_kblk10_032.gcd,kblk10,,-----,-----,0,-----,-90.454
C:\LabSolutions\Data\Project1\240229\2292024_KW_292_008.gcd,292,,0.212,-----,0,6.877,"8,715.17"
C:\LabSolutions\Data\Project1\240229\2292024_Nitrogen_020.gcd,Nitrogen,,0.003,-----,0,-----,376.186
C:\LabSolutions\Data\Project1\240229\2292024_Pure N2_001.gcd,Pure N2,,-0.073,-----,0,0.536,401.931
C:\LabSolutions\Data\Project1\240229\2292024_Pure N2_001.gcd,Pure N2,,-0.073,-----,0,0.536,401.931
C:\LabSolutions\Data\Project1\240229\2292024_Standard  1_002.gcd,Standard  1,,-----,-----,-----,-----,-9.584
C:\LabSolutions\Data\Project1\240301\312024_Standard  1_028.gcd,Standard  1,,-0.393,-----,0,-----,28.91
C:\LabSolutions\Data\Project1\240301\312024_Standard  1_001.gcd,Standard  1,,-----,-----,0,-----,32.17
C:\LabSolutions\Data\Project1\240229\2292024_Standard  1_002.gcd,Standard  1,,-----,-----,-----,-----,-9.584
C:\LabSolutions\Data\Project1\240229\2292024_Standard  1_021.gcd,Standard  1,,-----,-----,-----,-----,-8.349
C:\LabSolutions\Data\Project1\240301\312024_Standard  3_029.gcd,Standard  3,,0.968,-----,0,4.488,952.538
C:\LabSolutions\Data\Project1\240229\2292024_Standard  3_003.gcd,Standard  3,,0.885,-----,-----,4.83,891.339
C:\LabSolutions\Data\Project1\240229\2292024_Standard  3_003.gcd,Standard  3,,0.885,-----,-----,4.83,891.339
C:\LabSolutions\Data\Project1\240229\2292024_Standard  3_022.gcd,Standard  3,,0.917,-----,-----,4.89,895.346
C:\LabSolutions\Data\Project1\240301\312024_Standard  3_002.gcd,Standard  3,,0.978,-----,0,5.009,950.418
C:\LabSolutions\Data\Project1\240301\312024_Standard  4_030.gcd,Standard  4,,4.968,-----,0,26.916,"1,669.70"
C:\LabSolutions\Data\Project1\240301\312024_Standard  4_003.gcd,Standard  4,,5.203,-----,0,28.5,"1,741.81"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  4_004.gcd,Standard  4,,5.229,-----,-----,29.564,"1,755.44"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  4_004.gcd,Standard  4,,5.229,-----,-----,29.564,"1,755.44"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  4_023.gcd,Standard  4,,5.277,-----,-----,29.865,"1,766.99"
C:\LabSolutions\Data\Project1\240301\312024_Standard  5_004.gcd,Standard  5,,24.376,-----,0,179.137,"9,512.07"
C:\LabSolutions\Data\Project1\240301\312024_Standard  5_031.gcd,Standard  5,,25.868,-----,0,192.516,"10,200.80"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  5_024.gcd,Standard  5,,24.571,-----,-----,196.678,"9,910.30"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  5_005.gcd,Standard  5,,24.959,-----,-----,200.07,"10,060.87"
C:\LabSolutions\Data\Project1\240229\2292024_Standard  5_005.gcd,Standard  5,,24.959,-----,-----,200.07,"10,060.87"
C:\LabSolutions\Data\Project1\240229\2292024_Tbland9_007.gcd,Tbland9,,0.003,-----,0,0.442,364.535
C:\LabSolutions\Data\Project1\240229\2292024_Tblank7_009.gcd,Tblank7,,-0.101,-----,0,-----,378.38
C:\LabSolutions\Data\Project1\240229\2292024_TedlarB8_006.gcd,TedlarB8,,0.004,-----,0,0.563,384.081
