Wetland,Date,Time,Flux
7,7/11/22,,-0.03
7,7/11/22,,-0.01
7,7/11/22,,0.09
7,7/11/22,,0.08
7,7/11/22,,0.02
7,7/11/22,,0.1
7,7/11/22,,0.02
1,7/14/22,,0.04
1,7/14/22,,0.04
1,7/14/22,,0.09
1,7/14/22,,0.02
1,7/14/22,,-0.01
1,7/14/22,,0.02
1,7/14/22,,0.02
1,7/14/22,,0.08
1,7/14/22,,0.04
2,7/14/22,,-0.05
2,7/14/22,,-0.05
2,7/14/22,,0.05
2,7/14/22,,0.05
2,7/14/22,,0.03
2,7/14/22,,0.03
2,7/14/22,,0.15
2,7/14/22,,0.1
2,7/14/22,,0.01
3,7/14/22,,0.07
3,7/14/22,,0.04
3,7/14/22,,0
3,7/14/22,,0.05
3,7/14/22,,0.02
3,7/14/22,,0.09
4,7/15/22,,0.1
4,7/15/22,,0.06
4,7/15/22,,0.07
4,7/15/22,,0.04
4,7/15/22,,0.07
9,7/18/22,,0.31
9,7/18/22,,0.33
9,7/18/22,,0.31
9,7/18/22,,0.25
9,7/18/22,,0.19
9,7/18/22,,0.23
9,7/18/22,,0.09
8,7/18/22,,1.59
8,7/18/22,,0.81
8,7/18/22,,1.28
8,7/18/22,,0.81
8,7/18/22,,0.82
8,7/18/22,,0.78
8,7/18/22,,0.56
10,7/18/22,,0.41
10,7/18/22,,0.25
10,7/18/22,,0.62
10,7/18/22,,0.7
10,7/18/22,,0.68
10,7/18/22,,0.67
10,7/18/22,,0.38
5,7/19/22,,0.08
5,7/19/22,,0.1
5,7/19/22,,0.08
7,7/19/22,,0.1
7,7/19/22,,0.06
7,7/19/22,,0.2
7,7/19/22,,0.09
7,7/19/22,,0.06
7,7/19/22,,0.08
7,7/19/22,,0.04
6,7/19/22,,0.05
6,7/19/22,,0.05
6,7/19/22,,0.06
6,7/19/22,,0.01
6,7/19/22,,0.03
11,7/19/22,,0.04
11,7/19/22,,0.08
11,7/19/22,,0.1
11,7/19/22,,0.07
11,7/19/22,,0.03
12,7/22/22,,0.08
12,7/22/22,,0.19
12,7/22/22,,0.12
12,7/22/22,,0.13
12,7/22/22,,0.09
12,7/22/22,,0.13
12,7/22/22,,0.09
12,7/22/22,,0.09
4,7/22/22,,0.05
4,7/22/22,,0.05
4,7/22/22,,0.01
4,7/22/22,,0.11
4,7/22/22,,0.08
4,7/22/22,,0.09
4,7/22/22,,0.04
4,7/22/22,,0.07
11,7/22/22,,-0.01
11,7/22/22,,0.03
11,7/22/22,,0.03
11,7/22/22,,0.06
11,7/22/22,,0.06
1,7/25/22,,0.09
1,7/25/22,,0.02
1,7/25/22,,0.08
1,7/25/22,,0.03
1,7/25/22,,0.01
1,7/25/22,,0.09
1,7/25/22,,0.06
1,7/25/22,,0.02
2,7/25/22,,-0.05
2,7/25/22,,0.01
2,7/25/22,,0.02
2,7/25/22,,0.03
2,7/25/22,,0.02
2,7/25/22,,0.01
2,7/25/22,,0.04
3,7/25/22,,0.12
3,7/25/22,,0.04
3,7/25/22,,0.04
3,7/25/22,,0.14
3,7/25/22,,0.1
3,7/25/22,,0.12
3,7/25/22,,0.09
3,7/25/22,,0.15
3,7/25/22,,0.11
3,7/25/22,,0.05
12,7/27/22,,missing
5,7/27/22,,missing
