,Wetland,Date,Time_recoreded,Time_used,Area,WL,Notes,Station,DateTime,WaterLevel_m,WLTemp_c
47,Wetland_08,12/2/2022,11:45,11:45,150.99,0.3895015,,WL_Wetland08,12/2/2022 11:45,0.389501529,9.472
48,Wetland_09,7/12/2022,12:05,12:05,25.28,0.6188012,,WL_Wetland09,7/12/2022 12:00,0.618801229,7.381
49,Wetland_09,9/27/2022,12:17,12:17,25.14,0.6131009,not in notebook with others from same day,WL_Wetland09,9/27/2022 12:15,0.613100859,8.779
50,Wetland_09,10/19/2022,13:28,13:25,24,0.603709,,WL_Wetland09,10/19/2022 13:30,0.603709014,NA
51,Wetland_09,11/20/2022,12:48,12:45,22,0.5880933,,WL_Wetland09,11/20/2022 12:45,0.587199354,8.68
52,Wetland_09,12/2/2022,11:45,11:45,21.31,0.5872503,,WL_Wetland09,12/2/2022 11:45,0.588351665,NA
4,Wetland_10,7/12/2022,11:45,11:15,57.411948,0.6438665,edited this shapefile to include inundated section 10/16/2023 (previously 56.85,WL_Wetland10,7/12/2022 11:45,0.643866544,8.382
5,Wetland_10,9/27/2022,11:54,11:54,49.747956,0.5565152,edited this shapefile to include inundated section 10/16/2023,WL_Wetland10,9/27/2022 12:00,0.556515248,9.768
6,Wetland_10,10/19/2022,13:12,13:15,58,0.5678854,,WL_Wetland10,10/19/2022 13:15,0.609796887,9.077
7,Wetland_10,11/20/2022,11:15,11:15,55,0.5684106,,WL_Wetland10,11/20/2022 11:15,0.567773225,9.077
8,Wetland_10,12/2/2022,11:45,11:45,53.43,0.5554904,,WL_Wetland10,12/2/2022 11:45,0.556331694,9.768
64,Wetland_11,7/11/2022,11:05,11:05,31.01,0.3322021,,WL_Wetland11,7/11/2022 14:00,0.315610857,8.581
9,Wetland_11,9/23/2022,12:45,12:45,24.33,0.2250576,,WL_Wetland11,9/23/2022 12:45,0.225057565,9.472
10,Wetland_11,10/26/2022,13:17,13:15,27.4,0.251418,,WL_Wetland11,10/26/2022 13:15,0.251417954,9.373
11,Wetland_11,11/20/2022,11:33,11:30,29.22,0.245585,,WL_Wetland11,11/20/2022 11:30,0.245585017,8.879
12,Wetland_12,7/12/2022,13:07,,NA,NA,,WL_Wetland12,7/12/2022 13:00,0.360453823,6.797
13,Wetland_12,9/27/2022,13:33,13:33,NA,NA,"this imagery doesn’t include the north part of the wetland, but for the record the paryt that you can see looks limilar to 11/30/22",WL_Wetland12,9/27/2022 13:30,0.265124166,7.904
14,Wetland_12,11/23/2022,15:00,13:33,NA,NA,,WL_Wetland12,11/23/2022 15:00,0.297482863,7.675
,Wetland_12,11/30/2022,12:00,12:00,4968.054388,0.2908647,this is from peggy's flown imagery,WL_Wetland12,11/30/2022 12:00,0.2908647,7.526
1,Wetland_11,11/30/2022,12:00,12:00,,0.2649704,"lots of work to just remove this, but oh well - area is 25.694034, this is based on drone data flown by peggy wich had courser reolution",WL_Wetland11,11/30/2022 12:00,0.2649704,8.481
