"Plot Title: DO_01"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20645539, SEN S/N: 20645539)","Temp, °F (LGR S/N: 20645539, SEN S/N: 20645539)","Expired Sensor Cap (LGR S/N: 20645539)","Coupler Attached (LGR S/N: 20645539)","Host Connected (LGR S/N: 20645539)","Stopped (LGR S/N: 20645539)","End Of File (LGR S/N: 20645539)"
113,08/15/19 04:30:00 PM,7.47,36.00,,,,,
114,08/15/19 04:45:00 PM,7.50,35.74,,,,,
115,08/15/19 05:00:00 PM,7.55,35.67,,,,,
116,08/15/19 05:15:00 PM,7.56,35.60,,,,,
117,08/15/19 05:30:00 PM,7.59,35.67,,,,,
118,08/15/19 05:45:00 PM,7.59,35.82,,,,,
119,08/15/19 06:00:00 PM,7.58,35.71,,,,,
120,08/15/19 06:15:00 PM,7.55,35.49,,,,,
121,08/15/19 06:30:00 PM,7.53,35.20,,,,,
122,08/15/19 06:45:00 PM,7.51,34.77,,,,,
123,08/15/19 07:00:00 PM,7.49,34.48,,,,,
124,08/15/19 07:15:00 PM,7.45,34.12,,,,,
125,08/15/19 07:30:00 PM,7.40,33.84,,,,,
126,08/15/19 07:45:00 PM,7.41,33.48,,,,,
127,08/15/19 08:00:00 PM,7.38,33.30,,,,,
128,08/15/19 08:15:00 PM,7.35,33.19,,,,,
129,08/15/19 08:30:00 PM,7.33,33.19,,,,,
130,08/15/19 08:45:00 PM,7.27,33.19,,,,,
131,08/15/19 09:00:00 PM,7.25,33.04,,,,,
132,08/15/19 09:15:00 PM,7.21,33.12,,,,,
133,08/15/19 09:30:00 PM,7.14,33.22,,,,,
134,08/15/19 09:45:00 PM,7.09,33.33,,,,,
135,08/15/19 10:00:00 PM,7.04,33.40,,,,,
136,08/15/19 10:15:00 PM,7.00,33.44,,,,,
137,08/15/19 10:30:00 PM,7.00,33.37,,,,,
138,08/15/19 10:45:00 PM,6.97,33.37,,,,,
139,08/15/19 11:00:00 PM,6.95,33.40,,,,,
140,08/15/19 11:15:00 PM,6.92,33.40,,,,,
141,08/15/19 11:30:00 PM,6.89,33.40,,,,,
142,08/15/19 11:45:00 PM,6.87,33.40,,,,,
143,08/16/19 12:00:00 AM,6.84,33.37,,,,,
144,08/16/19 12:15:00 AM,6.83,33.37,,,,,
145,08/16/19 12:30:00 AM,6.80,33.33,,,,,
146,08/16/19 12:45:00 AM,6.77,33.30,,,,,
147,08/16/19 01:00:00 AM,6.76,33.26,,,,,
148,08/16/19 01:15:00 AM,6.72,33.26,,,,,
149,08/16/19 01:30:00 AM,6.70,33.22,,,,,
150,08/16/19 01:45:00 AM,6.70,33.12,,,,,
151,08/16/19 02:00:00 AM,6.69,33.08,,,,,
152,08/16/19 02:15:00 AM,6.66,33.08,,,,,
153,08/16/19 02:30:00 AM,6.64,33.12,,,,,
154,08/16/19 02:45:00 AM,6.61,33.12,,,,,
155,08/16/19 03:00:00 AM,6.59,33.12,,,,,
156,08/16/19 03:15:00 AM,6.57,33.12,,,,,
157,08/16/19 03:30:00 AM,6.54,33.08,,,,,
158,08/16/19 03:45:00 AM,6.53,33.01,,,,,
159,08/16/19 04:00:00 AM,6.52,32.97,,,,,
160,08/16/19 04:15:00 AM,6.50,32.94,,,,,
161,08/16/19 04:30:00 AM,6.48,32.90,,,,,
162,08/16/19 04:45:00 AM,6.46,32.90,,,,,
163,08/16/19 05:00:00 AM,6.45,32.90,,,,,
164,08/16/19 05:15:00 AM,6.44,32.86,,,,,
165,08/16/19 05:30:00 AM,6.42,32.83,,,,,
166,08/16/19 05:45:00 AM,6.40,32.83,,,,,
167,08/16/19 06:00:00 AM,6.38,32.83,,,,,
168,08/16/19 06:15:00 AM,6.35,32.79,,,,,
169,08/16/19 06:30:00 AM,6.33,32.79,,,,,
170,08/16/19 06:45:00 AM,6.33,32.76,,,,,
171,08/16/19 07:00:00 AM,6.31,32.72,,,,,
172,08/16/19 07:15:00 AM,6.30,32.68,,,,,
173,08/16/19 07:30:00 AM,6.28,32.65,,,,,
174,08/16/19 07:45:00 AM,6.31,32.65,,,,,
175,08/16/19 08:00:00 AM,6.33,32.68,,,,,
176,08/16/19 08:15:00 AM,6.38,32.79,,,,,
177,08/16/19 08:30:00 AM,6.42,32.86,,,,,
178,08/16/19 08:45:00 AM,6.48,33.01,,,,,
179,08/16/19 09:00:00 AM,6.55,33.30,,,,,
180,08/16/19 09:15:00 AM,6.60,33.69,,,,,
181,08/16/19 09:30:00 AM,6.64,33.98,,,,,
182,08/16/19 09:45:00 AM,6.70,34.30,,,,,
183,08/16/19 10:00:00 AM,6.75,34.70,,,,,
184,08/16/19 10:15:00 AM,6.82,35.17,,,,,
185,08/16/19 10:30:00 AM,6.87,35.71,,,,,
186,08/16/19 10:45:00 AM,6.92,36.21,,,,,
187,08/16/19 11:00:00 AM,6.97,36.93,,,,,
188,08/16/19 11:15:00 AM,7.03,38.08,,,,,
189,08/16/19 11:30:00 AM,7.04,39.34,,,,,
190,08/16/19 11:45:00 AM,7.05,40.68,,,,,
191,08/16/19 12:00:00 PM,7.07,41.65,,,,,
192,08/16/19 12:15:00 PM,7.09,42.73,,,,,
193,08/16/19 12:30:00 PM,7.11,44.20,,,,,
194,08/16/19 12:45:00 PM,7.08,45.54,,,,,
195,08/16/19 01:00:00 PM,7.06,47.41,,,,,
196,08/16/19 01:15:00 PM,6.97,49.39,,,,,
197,08/16/19 01:30:00 PM,6.87,51.04,,,,,
198,08/16/19 01:45:00 PM,6.79,52.66,,,,,
199,08/16/19 02:00:00 PM,6.74,53.56,,,,,
200,08/16/19 02:15:00 PM,6.70,54.14,,,,,
201,08/16/19 02:30:00 PM,6.67,54.21,,,,,
202,08/16/19 02:45:00 PM,6.69,54.03,,,,,
203,08/16/19 03:00:00 PM,6.69,53.92,,,,,
204,08/16/19 03:15:00 PM,6.69,53.82,,,,,
205,08/16/19 03:30:00 PM,6.69,53.31,,,,,
206,08/16/19 03:45:00 PM,6.73,52.77,,,,,
207,08/16/19 04:00:00 PM,6.74,52.38,,,,,
208,08/16/19 04:15:00 PM,6.75,52.02,,,,,
209,08/16/19 04:30:00 PM,6.74,51.62,,,,,
210,08/16/19 04:45:00 PM,6.74,51.44,,,,,
211,08/16/19 05:00:00 PM,6.73,51.15,,,,,
212,08/16/19 05:15:00 PM,6.70,50.83,,,,,
213,08/16/19 05:30:00 PM,6.68,50.47,,,,,
214,08/16/19 05:45:00 PM,6.65,50.07,,,,,
215,08/16/19 06:00:00 PM,6.61,49.78,,,,,
216,08/16/19 06:15:00 PM,6.57,49.42,,,,,
217,08/16/19 06:30:00 PM,6.53,49.03,,,,,
218,08/16/19 06:45:00 PM,6.48,48.67,,,,,
219,08/16/19 07:00:00 PM,6.42,48.27,,,,,
220,08/16/19 07:15:00 PM,6.33,47.88,,,,,
221,08/16/19 07:30:00 PM,6.24,47.52,,,,,
222,08/16/19 07:45:00 PM,6.15,47.16,,,,,
223,08/16/19 08:00:00 PM,6.06,46.83,,,,,
224,08/16/19 08:15:00 PM,5.98,46.54,,,,,
225,08/16/19 08:30:00 PM,5.89,46.26,,,,,
226,08/16/19 08:45:00 PM,5.82,45.97,,,,,
227,08/16/19 09:00:00 PM,5.76,45.68,,,,,
228,08/16/19 09:15:00 PM,5.70,45.43,,,,,
229,08/16/19 09:30:00 PM,5.63,45.21,,,,,
230,08/16/19 09:45:00 PM,5.57,44.96,,,,,
231,08/16/19 10:00:00 PM,5.50,44.74,,,,,
232,08/16/19 10:15:00 PM,5.45,44.56,,,,,
233,08/16/19 10:30:00 PM,5.40,44.38,,,,,
234,08/16/19 10:45:00 PM,5.34,44.20,,,,,
235,08/16/19 11:00:00 PM,5.30,43.99,,,,,
236,08/16/19 11:15:00 PM,5.25,43.84,,,,,
237,08/16/19 11:30:00 PM,5.21,43.63,,,,,
238,08/16/19 11:45:00 PM,5.17,43.45,,,,,
239,08/17/19 12:00:00 AM,5.13,43.23,,,,,
240,08/17/19 12:15:00 AM,5.10,42.98,,,,,
241,08/17/19 12:30:00 AM,5.06,42.84,,,,,
242,08/17/19 12:45:00 AM,5.04,42.58,,,,,
243,08/17/19 01:00:00 AM,5.01,42.37,,,,,
244,08/17/19 01:15:00 AM,4.97,42.19,,,,,
245,08/17/19 01:30:00 AM,4.95,41.97,,,,,
246,08/17/19 01:45:00 AM,4.93,41.79,,,,,
247,08/17/19 02:00:00 AM,4.90,41.68,,,,,
248,08/17/19 02:15:00 AM,4.87,41.58,,,,,
249,08/17/19 02:30:00 AM,4.85,41.50,,,,,
250,08/17/19 02:45:00 AM,4.82,41.40,,,,,
251,08/17/19 03:00:00 AM,4.79,41.32,,,,,
252,08/17/19 03:15:00 AM,4.75,41.22,,,,,
253,08/17/19 03:30:00 AM,4.72,41.18,,,,,
254,08/17/19 03:45:00 AM,4.69,41.14,,,,,
255,08/17/19 04:00:00 AM,4.66,41.11,,,,,
256,08/17/19 04:15:00 AM,4.64,40.96,,,,,
257,08/17/19 04:30:00 AM,4.62,40.86,,,,,
258,08/17/19 04:45:00 AM,4.60,40.78,,,,,
259,08/17/19 05:00:00 AM,4.58,40.68,,,,,
260,08/17/19 05:15:00 AM,4.57,40.60,,,,,
261,08/17/19 05:30:00 AM,4.54,40.53,,,,,
262,08/17/19 05:45:00 AM,4.54,40.46,,,,,
263,08/17/19 06:00:00 AM,4.51,40.39,,,,,
264,08/17/19 06:15:00 AM,4.49,40.32,,,,,
265,08/17/19 06:30:00 AM,4.48,40.21,,,,,
266,08/17/19 06:45:00 AM,4.47,40.10,,,,,
267,08/17/19 07:00:00 AM,4.45,40.03,,,,,
268,08/17/19 07:15:00 AM,4.44,39.99,,,,,
269,08/17/19 07:30:00 AM,4.43,39.99,,,,,
270,08/17/19 07:45:00 AM,4.44,39.99,,,,,
271,08/17/19 08:00:00 AM,4.49,40.03,,,,,
272,08/17/19 08:15:00 AM,4.58,40.14,,,,,
273,08/17/19 08:30:00 AM,4.68,40.32,,,,,
274,08/17/19 08:45:00 AM,4.80,40.50,,,,,
275,08/17/19 09:00:00 AM,4.92,40.68,,,,,
276,08/17/19 09:15:00 AM,5.00,40.86,,,,,
277,08/17/19 09:30:00 AM,5.18,41.29,,,,,
278,08/17/19 09:45:00 AM,5.27,41.97,,,,,
279,08/17/19 10:00:00 AM,5.38,42.66,,,,,
280,08/17/19 10:15:00 AM,5.49,43.30,,,,,
281,08/17/19 10:30:00 AM,5.59,44.10,,,,,
282,08/17/19 10:45:00 AM,5.69,44.67,,,,,
283,08/17/19 11:00:00 AM,5.76,45.14,,,,,
284,08/17/19 11:15:00 AM,5.85,45.68,,,,,
285,08/17/19 11:30:00 AM,5.92,46.40,,,,,
286,08/17/19 11:45:00 AM,5.98,46.76,,,,,
287,08/17/19 12:00:00 PM,6.06,47.34,,,,,
288,08/17/19 12:15:00 PM,6.10,48.06,,,,,
289,08/17/19 12:30:00 PM,6.17,48.96,,,,,
290,08/17/19 12:45:00 PM,6.21,50.29,,,,,
291,08/17/19 01:00:00 PM,6.21,51.37,,,,,
292,08/17/19 01:15:00 PM,6.19,51.80,,,,,
293,08/17/19 01:30:00 PM,6.18,51.84,,,,,
294,08/17/19 01:45:00 PM,6.22,52.34,,,,,
295,08/17/19 02:00:00 PM,6.22,52.92,,,,,
296,08/17/19 02:15:00 PM,6.19,53.17,,,,,
297,08/17/19 02:30:00 PM,6.17,53.35,,,,,
298,08/17/19 02:45:00 PM,6.17,53.74,,,,,
299,08/17/19 03:00:00 PM,6.20,54.36,,,,,
300,08/17/19 03:15:00 PM,6.14,54.90,,,,,
301,08/17/19 03:30:00 PM,6.10,55.29,,,,,
302,08/17/19 03:45:00 PM,6.07,55.80,,,,,
303,08/17/19 04:00:00 PM,6.00,56.12,,,,,
304,08/17/19 04:15:00 PM,5.99,56.01,,,,,
305,08/17/19 04:30:00 PM,5.95,56.26,,,,,
306,08/17/19 04:45:00 PM,5.85,55.90,,,,,
307,08/17/19 05:00:00 PM,5.82,55.47,,,,,
308,08/17/19 05:15:00 PM,5.81,55.04,,,,,
309,08/17/19 05:30:00 PM,5.83,55.04,,,,,
310,08/17/19 05:45:00 PM,5.79,54.90,,,,,
311,08/17/19 06:00:00 PM,5.76,54.61,,,,,
312,08/17/19 06:15:00 PM,5.72,54.36,,,,,
313,08/17/19 06:30:00 PM,5.67,54.03,,,,,
314,08/17/19 06:45:00 PM,5.57,53.60,,,,,
315,08/17/19 07:00:00 PM,5.46,52.99,,,,,
316,08/17/19 07:15:00 PM,5.32,52.41,,,,,
317,08/17/19 07:30:00 PM,5.19,51.80,,,,,
318,08/17/19 07:45:00 PM,5.05,51.30,,,,,
319,08/17/19 08:00:00 PM,4.94,50.83,,,,,
320,08/17/19 08:15:00 PM,4.84,50.25,,,,,
321,08/17/19 08:30:00 PM,4.75,49.78,,,,,
322,08/17/19 08:45:00 PM,4.65,49.46,,,,,
323,08/17/19 09:00:00 PM,4.57,49.14,,,,,
324,08/17/19 09:15:00 PM,4.50,48.85,,,,,
325,08/17/19 09:30:00 PM,4.43,48.63,,,,,
326,08/17/19 09:45:00 PM,4.36,48.45,,,,,
327,08/17/19 10:00:00 PM,4.28,48.27,,,,,
328,08/17/19 10:15:00 PM,4.22,48.06,,,,,
329,08/17/19 10:30:00 PM,4.17,47.88,,,,,
330,08/17/19 10:45:00 PM,4.12,47.70,,,,,
331,08/17/19 11:00:00 PM,4.06,47.59,,,,,
332,08/17/19 11:15:00 PM,4.02,47.41,,,,,
333,08/17/19 11:30:00 PM,3.97,47.23,,,,,
334,08/17/19 11:45:00 PM,3.93,47.12,,,,,
335,08/18/19 12:00:00 AM,3.88,46.98,,,,,
336,08/18/19 12:15:00 AM,3.85,46.87,,,,,
337,08/18/19 12:30:00 AM,3.81,46.76,,,,,
338,08/18/19 12:45:00 AM,3.77,46.69,,,,,
339,08/18/19 01:00:00 AM,3.74,46.58,,,,,
340,08/18/19 01:15:00 AM,3.71,46.51,,,,,
341,08/18/19 01:30:00 AM,3.68,46.40,,,,,
342,08/18/19 01:45:00 AM,3.65,46.29,,,,,
343,08/18/19 02:00:00 AM,3.62,46.18,,,,,
344,08/18/19 02:15:00 AM,3.60,46.08,,,,,
345,08/18/19 02:30:00 AM,3.58,45.93,,,,,
346,08/18/19 02:45:00 AM,3.56,45.79,,,,,
347,08/18/19 03:00:00 AM,3.54,45.68,,,,,
348,08/18/19 03:15:00 AM,3.52,45.61,,,,,
349,08/18/19 03:30:00 AM,3.50,45.46,,,,,
350,08/18/19 03:45:00 AM,3.48,45.32,,,,,
351,08/18/19 04:00:00 AM,3.46,45.21,,,,,
352,08/18/19 04:15:00 AM,3.45,45.10,,,,,
353,08/18/19 04:30:00 AM,3.44,45.00,,,,,
354,08/18/19 04:45:00 AM,3.43,44.85,,,,,
355,08/18/19 05:00:00 AM,3.42,44.74,,,,,
356,08/18/19 05:15:00 AM,3.41,44.60,,,,,
357,08/18/19 05:30:00 AM,3.40,44.49,,,,,
358,08/18/19 05:45:00 AM,3.40,44.35,,,,,
359,08/18/19 06:00:00 AM,3.39,44.28,,,,,
360,08/18/19 06:15:00 AM,3.38,44.17,,,,,
361,08/18/19 06:30:00 AM,3.37,44.10,,,,,
362,08/18/19 06:45:00 AM,3.37,43.99,,,,,
363,08/18/19 07:00:00 AM,3.36,43.88,,,,,
364,08/18/19 07:15:00 AM,3.36,43.77,,,,,
365,08/18/19 07:30:00 AM,3.37,43.66,,,,,
366,08/18/19 07:45:00 AM,3.37,43.59,,,,,
367,08/18/19 08:00:00 AM,3.39,43.52,,,,,
368,08/18/19 08:15:00 AM,3.44,43.48,,,,,
369,08/18/19 08:30:00 AM,3.52,43.45,,,,,
370,08/18/19 08:45:00 AM,3.60,43.41,,,,,
371,08/18/19 09:00:00 AM,3.70,43.45,,,,,
372,08/18/19 09:15:00 AM,3.81,43.48,,,,,
373,08/18/19 09:30:00 AM,3.95,43.56,,,,,
374,08/18/19 09:45:00 AM,4.09,43.66,,,,,
375,08/18/19 10:00:00 AM,4.23,43.77,,,,,
376,08/18/19 10:15:00 AM,4.39,43.99,,,,,
377,08/18/19 10:30:00 AM,4.55,44.31,,,,,
378,08/18/19 10:45:00 AM,4.70,44.89,,,,,
379,08/18/19 11:00:00 AM,4.85,45.28,,,,,
380,08/18/19 11:15:00 AM,4.99,45.79,,,,,
381,08/18/19 11:30:00 AM,5.11,46.36,,,,,
382,08/18/19 11:45:00 AM,5.24,46.83,,,,,
383,08/18/19 12:00:00 PM,5.37,47.41,,,,,
384,08/18/19 12:15:00 PM,5.51,48.78,,,,,
385,08/18/19 12:30:00 PM,5.59,50.11,,,,,
386,08/18/19 12:45:00 PM,5.67,50.97,,,,,
387,08/18/19 01:00:00 PM,5.73,52.30,,,,,
388,08/18/19 01:15:00 PM,5.75,52.84,,,,,
389,08/18/19 01:30:00 PM,5.74,53.35,,,,,
390,08/18/19 01:45:00 PM,5.71,53.02,,,,,
391,08/18/19 02:00:00 PM,5.74,53.10,,,,,
392,08/18/19 02:15:00 PM,5.73,52.74,,,,,
393,08/18/19 02:30:00 PM,5.82,52.81,,,,,
394,08/18/19 02:45:00 PM,5.85,53.64,,,,,
395,08/18/19 03:00:00 PM,5.84,54.10,,,,,
396,08/18/19 03:15:00 PM,5.88,54.36,,,,,
397,08/18/19 03:30:00 PM,5.83,54.43,,,,,
398,08/18/19 03:45:00 PM,5.88,54.68,,,,,
399,08/18/19 04:00:00 PM,5.83,55.36,,,,,
400,08/18/19 04:15:00 PM,5.69,54.79,,,,,
401,08/18/19 04:30:00 PM,5.69,54.28,,,,,
402,08/18/19 04:45:00 PM,5.72,54.36,,,,,
403,08/18/19 05:00:00 PM,5.75,54.82,,,,,
404,08/18/19 05:15:00 PM,5.70,54.86,,,,,
405,08/18/19 05:30:00 PM,5.67,54.46,,,,,
406,08/18/19 05:45:00 PM,5.69,53.96,,,,,
407,08/18/19 06:00:00 PM,5.60,53.60,,,,,
408,08/18/19 06:15:00 PM,5.43,52.99,,,,,
409,08/18/19 06:30:00 PM,5.33,52.45,,,,,
410,08/18/19 06:45:00 PM,5.29,52.05,,,,,
411,08/18/19 07:00:00 PM,5.21,51.62,,,,,
412,08/18/19 07:15:00 PM,5.08,51.22,,,,,
413,08/18/19 07:30:00 PM,5.00,50.79,,,,,
414,08/18/19 07:45:00 PM,4.91,50.36,,,,,
415,08/18/19 08:00:00 PM,4.80,50.00,,,,,
416,08/18/19 08:15:00 PM,4.75,49.57,,,,,
417,08/18/19 08:30:00 PM,4.65,49.32,,,,,
418,08/18/19 08:45:00 PM,4.57,49.06,,,,,
419,08/18/19 09:00:00 PM,4.48,48.81,,,,,
420,08/18/19 09:15:00 PM,4.41,48.60,,,,,
421,08/18/19 09:30:00 PM,4.35,48.31,,,,,
422,08/18/19 09:45:00 PM,4.27,48.06,,,,,
423,08/18/19 10:00:00 PM,4.21,47.84,,,,,
424,08/18/19 10:15:00 PM,4.16,47.62,,,,,
425,08/18/19 10:30:00 PM,4.10,47.37,,,,,
426,08/18/19 10:45:00 PM,4.05,47.12,,,,,
427,08/18/19 11:00:00 PM,4.01,46.90,,,,,
428,08/18/19 11:15:00 PM,3.97,46.69,,,,,
429,08/18/19 11:30:00 PM,3.93,46.58,,,,,
430,08/18/19 11:45:00 PM,3.87,46.47,,,,,
431,08/19/19 12:00:00 AM,3.83,46.33,,,,,
432,08/19/19 12:15:00 AM,3.80,46.18,,,,,
433,08/19/19 12:30:00 AM,3.76,46.08,,,,,
434,08/19/19 12:45:00 AM,3.72,45.90,,,,,
435,08/19/19 01:00:00 AM,3.69,45.72,,,,,
436,08/19/19 01:15:00 AM,3.66,45.61,,,,,
437,08/19/19 01:30:00 AM,3.63,45.50,,,,,
438,08/19/19 01:45:00 AM,3.60,45.39,,,,,
439,08/19/19 02:00:00 AM,3.58,45.32,,,,,
440,08/19/19 02:15:00 AM,3.55,45.21,,,,,
441,08/19/19 02:30:00 AM,3.53,45.10,,,,,
442,08/19/19 02:45:00 AM,3.51,44.96,,,,,
443,08/19/19 03:00:00 AM,3.48,44.78,,,,,
444,08/19/19 03:15:00 AM,3.46,44.67,,,,,
445,08/19/19 03:30:00 AM,3.44,44.56,,,,,
446,08/19/19 03:45:00 AM,3.42,44.46,,,,,
447,08/19/19 04:00:00 AM,3.40,44.38,,,,,
448,08/19/19 04:15:00 AM,3.38,44.31,,,,,
449,08/19/19 04:30:00 AM,3.36,44.24,,,,,
450,08/19/19 04:45:00 AM,3.34,44.17,,,,,
451,08/19/19 05:00:00 AM,3.34,44.02,,,,,
452,08/19/19 05:15:00 AM,3.32,43.95,,,,,
453,08/19/19 05:30:00 AM,3.31,43.88,,,,,
