"","Site","Date","DOC_mg.L","TDN_mg.L","AirTemp_c","WaterTemp_c_ave3","WaterTemp_c_yearly","Elevation_m","depth_ave_m","WaterLevel_m","surface_area_m2","Volumn_m3","SA_to_Vol_ratio","WS_area_minus_pond","percentpond","percent_DTW","PrecipAccuDay_mm","PrecipAccu_mm_PreviousDay","precip_mm_ave2","Precip_mm_ave7","solarrad_W_m2","solarrad_Wm2_daymean","windspeed_m_s","winddirecion"
"11","S5","2022-06-30",7.481,0.2561,6.731376,8.18227777777778,8.55235015013137,4166.241211,0.301303845397808,0.376234655397808,248.505190376691,74.8755694618114,3.31890885321995,2477.142423,8.746156632,15.04008533,0.8,4.5,2.65,12.6,179,141.482638888889,4.3,105
"12","S5","2022-07-11",7.481,0.2561,12.1597,6.41162766812865,8.55235015013137,4166.241211,0.326144816275951,0.401075626275951,251.421927844085,81.9999584644547,3.06612262435562,2477.142423,8.746156632,15.04008533,3,7.8,5.4,9.14285714285714,640,196.024305555556,3.7,108.666666666667
"13","S5","2022-07-19",7.481,0.2561,8.528594,6.44164524231678,8.55235015013137,4166.241211,0.325145466872807,0.400076276872807,251.317270274582,81.7146711766285,3.07554649190661,2477.142423,8.746156632,15.04008533,3.2,6.1,4.65,5.27142857142857,138,90.7118055555556,5.06666666666667,100.666666666667
"14","S7","2022-06-30",7.838,0.2459,9.880264,7.73080208333333,8.36714620416378,4145.449219,0.181069826310355,0.356339444320939,562.753967827602,101.897763210007,5.52273131518883,5582.266858,8.456469976,2.715998614,0.8,4.5,2.65,12.6,491.666666666667,141.482638888889,4.06666666666667,94.6666666666667
"15","S7","2022-07-11",7.838,0.2459,15,6.1537192251462,8.36714620416378,4145.449219,0.204564734727121,0.379834352737705,589.813065679715,120.654953319361,4.88842811217657,5582.266858,8.456469976,2.715998614,3,7.8,5.4,9.14285714285714,629,196.024305555556,3.16666666666667,104
"16","S7","2022-07-19",7.838,0.2459,10.54945,6.27826041666667,8.36714620416378,4145.449219,0.209979576901297,0.38524919491188,595.691299387801,125.083007009234,4.76236791576192,5582.266858,8.456469976,2.715998614,3.2,6.1,4.65,5.27142857142857,297,90.7118055555556,4.83333333333333,107.666666666667
"17","S12","2022-07-18",2.303,0.08028,8.677213,7.77627777777778,8.51450046248121,3998.477295,0.319923992792902,0.449034200183958,200.545478332318,64.1593101646377,3.12574243422667,109036.2475,0.181275531,11.8748279,13.4,3.2,8.3,5.92857142857143,117,54.0694444444444,7.26666666666667,90.3333333333333
"18","S10","2022-07-18",1.171,0.06864,11.34625,7.53734736842105,8.34297148081517,3999.155518,0.35042337063558,0.6280809024329,28.4085325204911,9.95501372064097,2.85369094585858,8485.824843,0.297054655,9.475939435,13.4,3.2,8.3,5.92857142857143,183,54.0694444444444,7,102
"19","S11","2022-07-08",8.867,0.5712,8.826833,7.37916319444444,9.00058421996068,3998.755371,0.351525981611516,0.650505079346296,59.1106934044551,20.7789445227385,2.84473994046089,1632.737661,3.364938868,9.735572516,5.3,12.5,8.9,17.2714285714286,174,64.6944444444444,6,107
"20","S11","2022-07-18",8.867,0.5712,9.472281,8.24797222222222,9.00058421996068,3998.755371,0.322718205449469,0.621697303184248,57.1225152022555,18.4344755968319,3.09867860912042,1632.737661,3.364938868,9.735572516,13.4,3.2,8.3,5.92857142857143,213,54.0694444444444,7.26666666666667,92.6666666666667
"21","S6","2022-07-19",11.68,0.3581,10.48571,6.97798958333333,8.47770404104806,4145.759277,0.246891887390317,0.320291483707542,31.711471382579,7.82930502156897,4.05035584834376,23324.60266,0.132761162,5.525065104,3.2,6.1,4.65,5.27142857142857,312,90.7118055555556,5.56666666666667,98
"22","S6","2022-07-22",11.68,0.3581,7.519318,6.56413888888889,8.47770404104806,4145.759277,0.258078482239792,0.331478078557017,32.2639784143006,8.3266385801801,3.87479030146673,23324.60266,0.132761162,5.525065104,4,0.7,2.35,5.45,179.043333333333,86.4243923611111,4.04166666666667,104.333333333333
"23","Wetland","2022-07-06",4.605,0.1557,6.593249,6.33784722222222,7.68681380794608,4124.501465,NA,0.383083019422047,4968.054388,NA,NA,811750.0815,0.608294854,18.11390046,16.2,0,8.1,17.2714285714286,262,93.9722222222222,7.36666666666667,96.3333333333333
"24","Wetland","2022-07-22",4.605,0.1557,11.6134,6.16878819444444,7.68681380794608,4124.501465,NA,0.353796987267469,4968.054388,NA,NA,811750.0815,0.608294854,18.11390046,4,0.7,2.35,5.45,129.364,86.4243923611111,3.46366666666667,122
"25","Wetland","2022-07-27",4.605,0.1557,8.647367,7.113,7.68681380794608,4124.501465,NA,0.366387287663742,4968.054388,NA,NA,811750.0815,0.608294854,18.11390046,8.3,0.3,4.3,7.23333333333333,101,78.8923611111111,2.9,95.6666666666667
"26","S4","2022-10-16",9.574,0.3256,6.796,8.35184482206861,8.09324925589837,4187.8125,0.13424933530238,0.27777834430238,222.83199998406,29.91504788196,7.44882645226975,3815.402457,10.83713388,39.43372057,0.1,0.2,0.15,4.45714285714286,325.595333333333,127.78209375,4.14566666666667,103.666666666667
"27","S5","2022-10-15",7.481,0.2561,6.904,8.26275539430685,8.55235015013137,4166.241211,0.089044071658674,0.163974881658674,177.139315571722,15.7732059093369,11.2303939091333,2477.142423,8.746156632,15.04008533,10.5,0.1,5.3,4.77142857142857,187.938,77.92371875,3.30733333333333,115.333333333333
"28","S7","2022-10-15",7.838,0.2459,6.899,7.40391860465116,8.36714620416378,4145.449219,0.0230910410705424,0.198360659081126,229.596032485731,5.3016114157616,43.3068390872907,5582.266858,8.456469976,2.715998614,10.5,0.1,5.3,4.77142857142857,211.664333333333,77.92371875,3.48966666666667,110.333333333333
"29","S12","2022-10-16",2.303,0.08028,6.813,8.42859871031746,8.51450046248121,3998.477295,0.287598098834072,0.416708306225127,171.292898078651,49.2635118311984,3.47707444539452,109036.2475,0.181275531,11.8748279,0.1,0.2,0.15,4.45714285714286,189.624333333333,127.78209375,2.34633333333333,99
"30","S10","2022-10-16",1.171,0.06864,6.802,8.38718947368421,8.34297148081517,3999.155518,0.326500169617468,0.604157701414788,23.9612429999728,7.82334990373649,3.0627855451702,8485.824843,0.297054655,9.475939435,0.1,0.2,0.15,4.45714285714286,82.089,127.78209375,1.51266666666667,115.333333333333
"31","S11","2022-10-16",8.867,0.5712,6.807,8.8604959625323,9.00058421996068,3998.755371,0.289770267474395,0.588749365209175,54.8486023628545,15.8934941772811,3.45100968679736,1632.737661,3.364938868,9.735572516,0.1,0.2,0.15,4.45714285714286,104.978333333333,127.78209375,2.698,76
"32","S6","2022-10-15",11.68,0.3581,6.89,7.68615212264151,8.47770404104806,4145.759277,0.258669933927368,0.332069530244593,32.2925197995448,8.35310396289648,3.86593055024629,23324.60266,0.132761162,5.525065104,10.5,0.1,5.3,4.77142857142857,237.613,77.92371875,3.02066666666667,124.666666666667
"33","Wetland","2022-10-16",4.605,0.1557,6.821,7.67303125,7.68681380794608,4124.501465,NA,0.3087612350327,4968.054388,NA,NA,811750.0815,0.608294854,18.11390046,0.1,0.2,0.15,4.45714285714286,506.505333333333,127.78209375,2.172,95.6666666666667
"34","S11","2022-07-05",8.867,0.5712,7.503792,7.64391208628842,9.00058421996068,3998.755371,0.358674389076859,0.661997597482447,59.6040431105585,21.3784437491903,2.78804406016766,1632.737661,3.364938868,9.735572516,19.6,16.2,17.9,15.0571428571429,189.666666666667,67.7743055555556,4.36666666666667,102.666666666667
"35","S12","2022-07-05",2.303,0.08028,5.008009,7.13778027597403,8.51450046248121,3998.477295,0.346875834349112,0.475476169595708,217.491873845192,75.4426752042027,2.88287594861265,109036.2475,0.181275531,11.8748279,19.6,16.2,17.9,15.0571428571429,133.666666666667,67.7743055555556,5.23333333333333,97.6666666666667
"36","S1","2022-07-25",7.074,0.2504,15.19226,6.41001871345029,8.18434433879718,4274.088379,0.720292715991018,0.382985362590473,5328.372,3837.98753969049,1.38832446559472,11457.74234,31.43629519,22.71368324,2.3,23.8,13.05,3.43333333333333,682.803,196.926579861111,2.53666666666667,100
"37","S3","2022-07-14",3.964,0.2119,9.848541,6.67501593567251,7.85976418972102,4263.466797,0.235401420073235,0.181014808726561,840.904,197.949995745264,4.24806273338917,24376.74081,3.221982649,48.35886128,0.1,0,0.05,7.18571428571429,431.666666666667,126.711805555556,2.23333333333333,111
"38","S8","2022-07-27",4.017,0.1357,9.110594,8.63779345878136,9.35054123010704,4135.197754,0.616011909253632,0.625888452211718,664.172765298877,409.138333226026,1.62334523891204,18433.6216,3.217019649,17.21070603,8.3,0.3,4.3,7.23333333333333,238.666666666667,78.8923611111111,3.2,85.3333333333333
"39","S4","2022-07-15",9.574,0.3256,17.379,7.59195123792271,8.09324925589837,4187.8125,0.316365467860978,0.462280678497056,487.854589380371,154.340345417446,3.16090124109068,3815.402457,10.83713388,39.43372057,0,0,0,6.42857142857143,765,175.913194444444,1.93333333333333,143
"40","S1","2022-07-14",7.074,0.2504,10.88116,6.75947619047619,8.18434433879718,4274.088379,0.740626417112125,0.405440131832538,5328.372,3946.33306340057,1.35020838697495,11457.74234,31.43629519,22.71368324,0.1,0,0.05,7.18571428571429,322,126.711805555556,2.63333333333333,124.333333333333
"41","S12","2022-07-08",2.303,0.08028,7.988405,7.04760110294118,8.51450046248121,3998.477295,0.333455999506898,0.462239888725498,209.840697827008,69.9726396311298,2.9988964105572,109036.2475,0.181275531,11.8748279,5.3,12.5,8.9,17.2714285714286,71.3333333333333,64.6944444444444,4.43333333333333,113.333333333333
"42","S10","2022-07-08",1.171,0.06864,8.629661,7.31796148705096,8.34297148081517,3999.155518,0.349291454474876,0.6270407632582,28.2118149801822,9.85414588780394,2.86293863531073,8485.824843,0.297054655,9.475939435,5.3,12.5,8.9,17.2714285714286,175.333333333333,64.6944444444444,5.26666666666667,99.3333333333333
"43","S10","2022-07-05",1.171,0.06864,5.397598,7.2421147668767,8.34297148081517,3999.155518,0.351952987068962,0.630599670826538,28.6722834584524,10.0912958092903,2.84128857188548,8485.824843,0.297054655,9.475939435,19.6,16.2,17.9,15.0571428571429,104.666666666667,67.7743055555556,5.16666666666667,91.3333333333333
"44","S6","2022-07-11",11.68,0.3581,14.99531,8.00121657706093,8.47770404104806,4145.759277,0.242211261104166,0.315610857421391,31.4728268418161,7.62307307986932,4.12862719694085,23324.60266,0.132761162,5.525065104,3,7.8,5.4,9.14285714285714,669.666666666667,196.024305555556,3.3,117.333333333333
