"Plot Title: DO_3"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645538, SEN S/N: 20645538)","Temp, °F (LGR S/N: 20645538, SEN S/N: 20645538)","Coupler Attached (LGR S/N: 20645538)","Host Connected (LGR S/N: 20645538)","Coupler Detached (LGR S/N: 20645538)","End Of File (LGR S/N: 20645538)"
39,07/13/19 02:30:00 AM,7.19,46.72,,,,
40,07/13/19 02:45:00 AM,7.20,46.62,,,,
41,07/13/19 03:00:00 AM,7.21,46.54,,,,
42,07/13/19 03:15:00 AM,7.21,46.44,,,,
43,07/13/19 03:30:00 AM,7.23,46.29,,,,
44,07/13/19 03:45:00 AM,7.24,46.15,,,,
45,07/13/19 04:00:00 AM,7.26,46.00,,,,
46,07/13/19 04:15:00 AM,7.27,45.93,,,,
47,07/13/19 04:30:00 AM,7.28,45.82,,,,
48,07/13/19 04:45:00 AM,7.29,45.75,,,,
49,07/13/19 05:00:00 AM,7.30,45.64,,,,
50,07/13/19 05:15:00 AM,7.31,45.57,,,,
51,07/13/19 05:30:00 AM,7.32,45.43,,,,
52,07/13/19 05:45:00 AM,7.34,45.28,,,,
53,07/13/19 06:00:00 AM,7.36,45.10,,,,
54,07/13/19 06:15:00 AM,7.37,44.96,,,,
55,07/13/19 06:30:00 AM,7.38,44.85,,,,
56,07/13/19 06:45:00 AM,7.39,44.82,,,,
57,07/13/19 07:00:00 AM,7.40,44.82,,,,
58,07/13/19 07:15:00 AM,7.40,44.78,,,,
59,07/13/19 07:30:00 AM,7.41,44.71,,,,
60,07/13/19 07:45:00 AM,7.42,44.71,,,,
61,07/13/19 08:00:00 AM,7.42,44.67,,,,
62,07/13/19 08:15:00 AM,7.42,44.71,,,,
63,07/13/19 08:30:00 AM,7.42,44.78,,,,
64,07/13/19 08:45:00 AM,7.42,44.85,,,,
65,07/13/19 09:00:00 AM,7.41,44.92,,,,
66,07/13/19 09:15:00 AM,7.40,45.07,,,,
67,07/13/19 09:30:00 AM,7.38,45.25,,,,
68,07/13/19 09:45:00 AM,7.37,45.43,,,,
69,07/13/19 10:00:00 AM,7.35,45.64,,,,
70,07/13/19 10:15:00 AM,7.32,45.86,,,,
71,07/13/19 10:30:00 AM,7.30,46.11,,,,
72,07/13/19 10:45:00 AM,7.28,46.26,,,,
73,07/13/19 11:00:00 AM,7.27,46.47,,,,
74,07/13/19 11:15:00 AM,7.24,46.76,,,,
75,07/13/19 11:30:00 AM,7.20,47.23,,,,
76,07/13/19 11:45:00 AM,7.16,47.59,,,,
77,07/13/19 12:00:00 PM,7.14,47.80,,,,
78,07/13/19 12:15:00 PM,7.10,48.09,,,,
79,07/13/19 12:30:00 PM,7.07,48.49,,,,
80,07/13/19 12:45:00 PM,7.03,48.85,,,,
81,07/13/19 01:00:00 PM,6.99,49.21,,,,
82,07/13/19 01:15:00 PM,6.96,49.50,,,,
83,07/13/19 01:30:00 PM,6.94,49.71,,,,
84,07/13/19 01:45:00 PM,6.91,50.00,,,,
85,07/13/19 02:00:00 PM,6.89,50.22,,,,
86,07/13/19 02:15:00 PM,6.85,50.65,,,,
87,07/13/19 02:30:00 PM,6.82,50.97,,,,
88,07/13/19 02:45:00 PM,6.80,51.12,,,,
89,07/13/19 03:00:00 PM,6.81,51.12,,,,
90,07/13/19 03:15:00 PM,6.79,51.26,,,,
91,07/13/19 03:30:00 PM,6.75,51.66,,,,
92,07/13/19 03:45:00 PM,6.72,52.02,,,,
93,07/13/19 04:00:00 PM,6.69,52.38,,,,
94,07/13/19 04:15:00 PM,6.66,52.56,,,,
95,07/13/19 04:30:00 PM,6.66,52.56,,,,
96,07/13/19 04:45:00 PM,6.66,52.45,,,,
97,07/13/19 05:00:00 PM,6.69,52.20,,,,
98,07/13/19 05:15:00 PM,6.71,51.87,,,,
99,07/13/19 05:30:00 PM,6.74,51.55,,,,
100,07/13/19 05:45:00 PM,6.77,51.26,,,,
101,07/13/19 06:00:00 PM,6.80,50.94,,,,
102,07/13/19 06:15:00 PM,6.84,50.54,,,,
103,07/13/19 06:30:00 PM,6.87,50.14,,,,
104,07/13/19 06:45:00 PM,6.91,49.82,,,,
105,07/13/19 07:00:00 PM,6.94,49.50,,,,
106,07/13/19 07:15:00 PM,6.96,49.21,,,,
107,07/13/19 07:30:00 PM,6.98,48.99,,,,
108,07/13/19 07:45:00 PM,7.01,48.74,,,,
109,07/13/19 08:00:00 PM,7.02,48.52,,,,
110,07/13/19 08:15:00 PM,7.05,48.34,,,,
111,07/13/19 08:30:00 PM,7.07,48.13,,,,
112,07/13/19 08:45:00 PM,7.08,47.95,,,,
113,07/13/19 09:00:00 PM,7.10,47.80,,,,
114,07/13/19 09:15:00 PM,7.12,47.62,,,,
115,07/13/19 09:30:00 PM,7.14,47.48,,,,
116,07/13/19 09:45:00 PM,7.16,47.34,,,,
117,07/13/19 10:00:00 PM,7.17,47.23,,,,
118,07/13/19 10:15:00 PM,7.18,47.08,,,,
119,07/13/19 10:30:00 PM,7.19,46.94,,,,
120,07/13/19 10:45:00 PM,7.20,46.83,,,,
121,07/13/19 11:00:00 PM,7.21,46.72,,,,
122,07/13/19 11:15:00 PM,7.22,46.62,,,,
123,07/13/19 11:30:00 PM,7.23,46.51,,,,
124,07/13/19 11:45:00 PM,7.24,46.44,,,,
125,07/14/19 12:00:00 AM,7.25,46.29,,,,
126,07/14/19 12:15:00 AM,7.27,46.15,,,,
127,07/14/19 12:30:00 AM,7.28,46.00,,,,
128,07/14/19 12:45:00 AM,7.29,45.86,,,,
129,07/14/19 01:00:00 AM,7.31,45.68,,,,
130,07/14/19 01:15:00 AM,7.32,45.54,,,,
131,07/14/19 01:30:00 AM,7.34,45.36,,,,
132,07/14/19 01:45:00 AM,7.35,45.25,,,,
133,07/14/19 02:00:00 AM,7.36,45.14,,,,
134,07/14/19 02:15:00 AM,7.37,45.03,,,,
135,07/14/19 02:30:00 AM,7.38,44.96,,,,
136,07/14/19 02:45:00 AM,7.38,44.92,,,,
137,07/14/19 03:00:00 AM,7.38,44.85,,,,
138,07/14/19 03:15:00 AM,7.39,44.82,,,,
139,07/14/19 03:30:00 AM,7.40,44.78,,,,
140,07/14/19 03:45:00 AM,7.40,44.71,,,,
141,07/14/19 04:00:00 AM,7.41,44.64,,,,
142,07/14/19 04:15:00 AM,7.42,44.56,,,,
143,07/14/19 04:30:00 AM,7.45,44.46,,,,
144,07/14/19 04:45:00 AM,7.46,44.35,,,,
145,07/14/19 05:00:00 AM,7.47,44.24,,,,
146,07/14/19 05:15:00 AM,7.49,44.13,,,,
147,07/14/19 05:30:00 AM,7.50,43.99,,,,
148,07/14/19 05:45:00 AM,7.52,43.92,,,,
149,07/14/19 06:00:00 AM,7.53,43.81,,,,
150,07/14/19 06:15:00 AM,7.53,43.74,,,,
151,07/14/19 06:30:00 AM,7.55,43.63,,,,
152,07/14/19 06:45:00 AM,7.56,43.56,,,,
153,07/14/19 07:00:00 AM,7.57,43.48,,,,
154,07/14/19 07:15:00 AM,7.58,43.48,,,,
155,07/14/19 07:30:00 AM,7.58,43.48,,,,
156,07/14/19 07:45:00 AM,7.58,43.52,,,,
157,07/14/19 08:00:00 AM,7.59,43.52,,,,
158,07/14/19 08:15:00 AM,7.61,43.38,,,,
159,07/14/19 08:30:00 AM,7.63,43.23,,,,
160,07/14/19 08:45:00 AM,7.64,43.20,,,,
161,07/14/19 09:00:00 AM,7.65,43.09,,,,
162,07/14/19 09:15:00 AM,7.67,42.87,,,,
163,07/14/19 09:30:00 AM,7.70,42.62,,,,
164,07/14/19 09:45:00 AM,7.72,42.58,,,,
165,07/14/19 10:00:00 AM,7.70,42.80,,,,
166,07/14/19 10:15:00 AM,7.70,42.91,,,,
167,07/14/19 10:30:00 AM,7.70,42.87,,,,
168,07/14/19 10:45:00 AM,7.69,43.05,,,,
169,07/14/19 11:00:00 AM,7.65,43.34,,,,
170,07/14/19 11:15:00 AM,7.63,43.56,,,,
171,07/14/19 11:30:00 AM,7.62,43.66,,,,
172,07/14/19 11:45:00 AM,7.62,43.63,,,,
173,07/14/19 12:00:00 PM,7.61,43.84,,,,
174,07/14/19 12:15:00 PM,7.57,44.24,,,,
175,07/14/19 12:30:00 PM,7.55,44.42,,,,
176,07/14/19 12:45:00 PM,7.53,44.60,,,,
177,07/14/19 01:00:00 PM,7.51,44.74,,,,
178,07/14/19 01:15:00 PM,7.53,44.64,,,,
179,07/14/19 01:30:00 PM,7.54,44.60,,,,
180,07/14/19 01:45:00 PM,7.54,44.64,,,,
181,07/14/19 02:00:00 PM,7.54,44.60,,,,
182,07/14/19 02:15:00 PM,7.53,44.56,,,,
183,07/14/19 02:30:00 PM,7.55,44.53,,,,
184,07/14/19 02:45:00 PM,7.54,44.49,,,,
185,07/14/19 03:00:00 PM,7.54,44.56,,,,
186,07/14/19 03:15:00 PM,7.52,44.67,,,,
187,07/14/19 03:30:00 PM,7.53,44.64,,,,
188,07/14/19 03:45:00 PM,7.53,44.53,,,,
189,07/14/19 04:00:00 PM,7.54,44.46,,,,
190,07/14/19 04:15:00 PM,7.54,44.38,,,,
191,07/14/19 04:30:00 PM,7.56,44.28,,,,
192,07/14/19 04:45:00 PM,7.56,44.20,,,,
193,07/14/19 05:00:00 PM,7.57,44.13,,,,
194,07/14/19 05:15:00 PM,7.57,44.02,,,,
195,07/14/19 05:30:00 PM,7.58,43.88,,,,
196,07/14/19 05:45:00 PM,7.59,43.77,,,,
197,07/14/19 06:00:00 PM,7.60,43.56,,,,
198,07/14/19 06:15:00 PM,7.62,43.34,,,,
199,07/14/19 06:30:00 PM,7.62,43.20,,,,
200,07/14/19 06:45:00 PM,7.61,43.05,,,,
201,07/14/19 07:00:00 PM,7.53,42.91,,,,
202,07/14/19 07:15:00 PM,7.54,42.80,,,,
203,07/14/19 07:30:00 PM,7.54,42.69,,,,
204,07/14/19 07:45:00 PM,7.69,42.55,,,,
205,07/14/19 08:00:00 PM,7.72,42.48,,,,
206,07/14/19 08:15:00 PM,7.72,42.37,,,,
207,07/14/19 08:30:00 PM,7.70,42.30,,,,
208,07/14/19 08:45:00 PM,7.70,42.22,,,,
209,07/14/19 09:00:00 PM,7.71,42.15,,,,
210,07/14/19 09:15:00 PM,7.72,42.08,,,,
211,07/14/19 09:30:00 PM,7.73,41.97,,,,
212,07/14/19 09:45:00 PM,7.73,41.94,,,,
213,07/14/19 10:00:00 PM,7.75,41.83,,,,
214,07/14/19 10:15:00 PM,7.75,41.76,,,,
215,07/14/19 10:30:00 PM,7.76,41.68,,,,
216,07/14/19 10:45:00 PM,7.75,41.61,,,,
217,07/14/19 11:00:00 PM,7.75,41.50,,,,
218,07/14/19 11:15:00 PM,7.79,41.43,,,,
219,07/14/19 11:30:00 PM,7.80,41.40,,,,
220,07/14/19 11:45:00 PM,7.80,41.36,,,,
221,07/15/19 12:00:00 AM,7.80,41.29,,,,
222,07/15/19 12:15:00 AM,7.80,41.22,,,,
223,07/15/19 12:30:00 AM,7.80,41.18,,,,
224,07/15/19 12:45:00 AM,7.76,41.11,,,,
225,07/15/19 01:00:00 AM,7.80,41.00,,,,
226,07/15/19 01:15:00 AM,7.84,40.86,,,,
227,07/15/19 01:30:00 AM,7.84,40.75,,,,
228,07/15/19 01:45:00 AM,7.85,40.75,,,,
229,07/15/19 02:00:00 AM,7.86,40.71,,,,
230,07/15/19 02:15:00 AM,7.86,40.68,,,,
231,07/15/19 02:30:00 AM,7.86,40.57,,,,
232,07/15/19 02:45:00 AM,7.87,40.57,,,,
233,07/15/19 03:00:00 AM,7.87,40.53,,,,
234,07/15/19 03:15:00 AM,7.89,40.42,,,,
235,07/15/19 03:30:00 AM,7.86,40.21,,,,
236,07/15/19 03:45:00 AM,7.89,40.10,,,,
237,07/15/19 04:00:00 AM,7.87,40.10,,,,
238,07/15/19 04:15:00 AM,7.89,40.10,,,,
239,07/15/19 04:30:00 AM,7.90,40.06,,,,
240,07/15/19 04:45:00 AM,7.88,40.06,,,,
241,07/15/19 05:00:00 AM,7.89,40.03,,,,
242,07/15/19 05:15:00 AM,7.91,39.96,,,,
243,07/15/19 05:30:00 AM,7.94,39.88,,,,
244,07/15/19 05:45:00 AM,7.93,39.78,,,,
245,07/15/19 06:00:00 AM,7.92,39.70,,,,
246,07/15/19 06:15:00 AM,7.95,39.63,,,,
247,07/15/19 06:30:00 AM,7.95,39.60,,,,
248,07/15/19 06:45:00 AM,7.96,39.56,,,,
249,07/15/19 07:00:00 AM,7.94,39.56,,,,
250,07/15/19 07:15:00 AM,7.95,39.60,,,,
251,07/15/19 07:30:00 AM,7.96,39.60,,,,
252,07/15/19 07:45:00 AM,7.97,39.70,,,,
253,07/15/19 08:00:00 AM,7.98,39.74,,,,
254,07/15/19 08:15:00 AM,7.99,39.81,,,,
255,07/15/19 08:30:00 AM,7.94,39.88,,,,
256,07/15/19 08:45:00 AM,7.81,39.99,,,,
257,07/15/19 09:00:00 AM,7.84,40.21,,,,
258,07/15/19 09:15:00 AM,7.59,40.42,,,,
259,07/15/19 09:30:00 AM,7.76,40.60,,,,
260,07/15/19 09:45:00 AM,7.56,40.71,,,,
261,07/15/19 10:00:00 AM,7.50,40.75,,,,
262,07/15/19 10:15:00 AM,7.53,40.78,,,,
263,07/15/19 10:30:00 AM,7.64,40.82,,,,
264,07/15/19 10:45:00 AM,7.80,40.86,,,,
265,07/15/19 11:00:00 AM,7.82,41.00,,,,
266,07/15/19 11:15:00 AM,7.83,41.22,,,,
267,07/15/19 11:30:00 AM,7.86,41.43,,,,
268,07/15/19 11:45:00 AM,7.79,41.58,,,,
269,07/15/19 12:00:00 PM,7.82,41.97,,,,
270,07/15/19 12:15:00 PM,7.59,42.40,,,,
271,07/15/19 12:30:00 PM,7.47,42.80,,,,
272,07/15/19 12:45:00 PM,7.59,43.05,,,,
273,07/15/19 01:00:00 PM,7.60,42.94,,,,
274,07/15/19 01:15:00 PM,7.64,42.80,,,,
275,07/15/19 01:30:00 PM,7.56,42.94,,,,
276,07/15/19 01:45:00 PM,7.65,43.27,,,,
277,07/15/19 02:00:00 PM,7.45,43.66,,,,
278,07/15/19 02:15:00 PM,7.41,43.88,,,,
279,07/15/19 02:30:00 PM,7.59,43.92,,,,
280,07/15/19 02:45:00 PM,7.57,44.24,,,,
281,07/15/19 03:00:00 PM,7.52,44.49,,,,
282,07/15/19 03:15:00 PM,7.37,44.67,,,,
283,07/15/19 03:30:00 PM,7.40,44.74,,,,
284,07/15/19 03:45:00 PM,7.36,44.85,,,,
285,07/15/19 04:00:00 PM,7.34,45.03,,,,
286,07/15/19 04:15:00 PM,7.32,45.18,,,,
287,07/15/19 04:30:00 PM,7.29,45.21,,,,
288,07/15/19 04:45:00 PM,7.19,45.21,,,,
289,07/15/19 05:00:00 PM,6.94,45.28,,,,
290,07/15/19 05:15:00 PM,6.90,45.43,,,,
291,07/15/19 05:30:00 PM,6.75,45.43,,,,
292,07/15/19 05:45:00 PM,7.24,45.28,,,,
293,07/15/19 06:00:00 PM,7.09,45.07,,,,
294,07/15/19 06:15:00 PM,7.20,44.85,,,,
295,07/15/19 06:30:00 PM,7.35,44.60,,,,
296,07/15/19 06:45:00 PM,7.35,44.35,,,,
297,07/15/19 07:00:00 PM,7.37,44.02,,,,
298,07/15/19 07:15:00 PM,7.37,43.84,,,,
299,07/15/19 07:30:00 PM,7.45,43.66,,,,
300,07/15/19 07:45:00 PM,7.45,43.48,,,,
301,07/15/19 08:00:00 PM,7.52,43.27,,,,
302,07/15/19 08:15:00 PM,7.51,43.09,,,,
303,07/15/19 08:30:00 PM,7.53,42.84,,,,
304,07/15/19 08:45:00 PM,7.52,42.51,,,,
305,07/15/19 09:00:00 PM,7.60,42.26,,,,
306,07/15/19 09:15:00 PM,7.71,42.01,,,,
307,07/15/19 09:30:00 PM,7.60,41.86,,,,
308,07/15/19 09:45:00 PM,7.68,41.68,,,,
309,07/15/19 10:00:00 PM,7.79,41.40,,,,
310,07/15/19 10:15:00 PM,7.65,41.14,,,,
311,07/15/19 10:30:00 PM,7.85,40.89,,,,
312,07/15/19 10:45:00 PM,7.85,40.68,,,,
313,07/15/19 11:00:00 PM,7.89,40.53,,,,
314,07/15/19 11:15:00 PM,7.93,40.42,,,,
315,07/15/19 11:30:00 PM,7.94,40.35,,,,
316,07/15/19 11:45:00 PM,7.93,40.32,,,,
317,07/16/19 12:00:00 AM,7.93,40.28,,,,
318,07/16/19 12:15:00 AM,7.93,40.24,,,,
319,07/16/19 12:30:00 AM,7.93,40.21,,,,
320,07/16/19 12:45:00 AM,7.94,40.10,,,,
321,07/16/19 01:00:00 AM,7.94,40.03,,,,
322,07/16/19 01:15:00 AM,7.93,39.92,,,,
323,07/16/19 01:30:00 AM,7.92,39.81,,,,
324,07/16/19 01:45:00 AM,7.93,39.70,,,,
325,07/16/19 02:00:00 AM,7.91,39.56,,,,
326,07/16/19 02:15:00 AM,7.87,39.45,,,,
327,07/16/19 02:30:00 AM,7.90,39.34,,,,
328,07/16/19 02:45:00 AM,7.92,39.20,,,,
329,07/16/19 03:00:00 AM,7.86,39.13,,,,
330,07/16/19 03:15:00 AM,7.88,39.02,,,,
331,07/16/19 03:30:00 AM,7.81,38.91,,,,
332,07/16/19 03:45:00 AM,7.83,38.84,,,,
333,07/16/19 04:00:00 AM,7.52,38.73,,,,
334,07/16/19 04:15:00 AM,7.82,38.66,,,,
335,07/16/19 04:30:00 AM,7.93,38.55,,,,
336,07/16/19 04:45:00 AM,8.00,38.48,,,,
337,07/16/19 05:00:00 AM,8.05,38.37,,,,
338,07/16/19 05:15:00 AM,8.01,38.34,,,,
339,07/16/19 05:30:00 AM,7.99,38.30,,,,
340,07/16/19 05:45:00 AM,7.91,38.26,,,,
341,07/16/19 06:00:00 AM,7.86,38.23,,,,
342,07/16/19 06:15:00 AM,7.75,38.19,,,,
343,07/16/19 06:30:00 AM,7.94,38.19,,,,
344,07/16/19 06:45:00 AM,8.07,38.23,,,,
345,07/16/19 07:00:00 AM,8.14,38.23,,,,
346,07/16/19 07:15:00 AM,7.93,38.26,,,,
347,07/16/19 07:30:00 AM,7.54,38.30,,,,
348,07/16/19 07:45:00 AM,7.73,38.37,,,,
349,07/16/19 08:00:00 AM,7.87,38.41,,,,
350,07/16/19 08:15:00 AM,7.94,38.44,,,,
351,07/16/19 08:30:00 AM,7.87,38.52,,,,
352,07/16/19 08:45:00 AM,7.95,38.59,,,,
353,07/16/19 09:00:00 AM,7.95,38.73,,,,
354,07/16/19 09:15:00 AM,7.89,38.95,,,,
355,07/16/19 09:30:00 AM,7.73,39.34,,,,
356,07/16/19 09:45:00 AM,7.70,39.78,,,,
357,07/16/19 10:00:00 AM,7.74,40.10,,,,
358,07/16/19 10:15:00 AM,7.68,40.35,,,,
359,07/16/19 10:30:00 AM,7.64,40.53,,,,
360,07/16/19 10:45:00 AM,7.65,40.68,,,,
361,07/16/19 11:00:00 AM,7.58,40.78,,,,
362,07/16/19 11:15:00 AM,7.50,40.93,,,,
363,07/16/19 11:30:00 AM,7.60,41.18,,,,
364,07/16/19 11:45:00 AM,7.56,41.61,,,,
365,07/16/19 12:00:00 PM,7.48,42.22,,,,
366,07/16/19 12:15:00 PM,7.46,42.69,,,,
367,07/16/19 12:30:00 PM,7.43,42.87,,,,
368,07/16/19 12:45:00 PM,7.45,42.94,,,,
369,07/16/19 01:00:00 PM,7.41,43.05,,,,
370,07/16/19 01:15:00 PM,7.32,43.23,,,,
371,07/16/19 01:30:00 PM,7.30,43.52,,,,
372,07/16/19 01:45:00 PM,7.26,43.84,,,,
373,07/16/19 01:56:10 PM,,,Logged,,,
374,07/16/19 01:56:17 PM,,,,Logged,,
375,07/16/19 01:57:04 PM,,,,,Logged,
376,07/16/19 02:00:00 PM,7.38,45.43,,,,
377,07/16/19 02:15:00 PM,7.43,45.00,,,,
378,07/16/19 02:30:00 PM,7.42,45.00,,,,
379,07/16/19 02:45:00 PM,7.41,45.10,,,,
380,07/16/19 03:00:00 PM,7.38,45.39,,,,
381,07/16/19 03:15:00 PM,7.33,45.79,,,,
382,07/16/19 03:30:00 PM,7.30,46.26,,,,
383,07/16/19 03:45:00 PM,7.26,46.69,,,,
384,07/16/19 04:00:00 PM,7.21,47.08,,,,
385,07/16/19 04:15:00 PM,7.18,47.34,,,,
386,07/16/19 04:30:00 PM,7.15,47.55,,,,
387,07/16/19 04:45:00 PM,7.14,47.55,,,,
388,07/16/19 05:00:00 PM,7.13,47.41,,,,
389,07/16/19 05:15:00 PM,7.12,47.23,,,,
390,07/16/19 05:30:00 PM,7.18,46.98,,,,
391,07/16/19 05:45:00 PM,7.21,46.65,,,,
392,07/16/19 06:00:00 PM,7.22,46.40,,,,
393,07/16/19 06:15:00 PM,7.28,46.15,,,,
394,07/16/19 06:30:00 PM,7.32,45.86,,,,
395,07/16/19 06:45:00 PM,7.29,45.57,,,,
396,07/16/19 07:00:00 PM,7.28,45.32,,,,
397,07/16/19 07:15:00 PM,7.29,45.10,,,,
398,07/16/19 07:30:00 PM,7.22,44.89,,,,
399,07/16/19 07:45:00 PM,7.25,44.71,,,,
400,07/16/19 08:00:00 PM,7.17,44.53,,,,
401,07/16/19 08:15:00 PM,7.17,44.42,,,,
402,07/16/19 08:30:00 PM,7.25,44.28,,,,
403,07/16/19 08:45:00 PM,7.47,44.13,,,,
404,07/16/19 09:00:00 PM,7.51,43.99,,,,
405,07/16/19 09:15:00 PM,7.54,43.81,,,,
406,07/16/19 09:30:00 PM,7.56,43.66,,,,
407,07/16/19 09:45:00 PM,7.54,43.56,,,,
408,07/16/19 10:00:00 PM,7.53,43.45,,,,
409,07/16/19 10:15:00 PM,7.55,43.30,,,,
410,07/16/19 10:30:00 PM,7.53,43.23,,,,
411,07/16/19 10:45:00 PM,7.54,43.16,,,,
412,07/16/19 11:00:00 PM,7.60,43.09,,,,
413,07/16/19 11:15:00 PM,7.54,42.98,,,,
414,07/16/19 11:30:00 PM,7.59,42.91,,,,
415,07/16/19 11:45:00 PM,7.55,42.80,,,,
416,07/17/19 12:00:00 AM,7.50,42.69,,,,
417,07/17/19 12:15:00 AM,7.52,42.62,,,,
418,07/17/19 12:30:00 AM,7.55,42.51,,,,
419,07/17/19 12:45:00 AM,7.55,42.48,,,,
420,07/17/19 01:00:00 AM,7.55,42.40,,,,
421,07/17/19 01:15:00 AM,7.59,42.33,,,,
422,07/17/19 01:30:00 AM,7.60,42.30,,,,
423,07/17/19 01:45:00 AM,7.65,42.22,,,,
424,07/17/19 02:00:00 AM,7.65,42.15,,,,
425,07/17/19 02:15:00 AM,7.65,42.12,,,,
426,07/17/19 02:30:00 AM,7.65,42.04,,,,
427,07/17/19 02:45:00 AM,7.68,41.97,,,,
428,07/17/19 03:00:00 AM,7.69,41.90,,,,
429,07/17/19 03:15:00 AM,7.72,41.83,,,,
430,07/17/19 03:30:00 AM,7.71,41.79,,,,
431,07/17/19 03:45:00 AM,7.74,41.72,,,,
432,07/17/19 04:00:00 AM,7.74,41.68,,,,
433,07/17/19 04:15:00 AM,7.75,41.61,,,,
434,07/17/19 04:30:00 AM,7.74,41.58,,,,
435,07/17/19 04:45:00 AM,7.76,41.50,,,,
436,07/17/19 05:00:00 AM,7.75,41.43,,,,
437,07/17/19 05:15:00 AM,7.65,41.40,,,,
438,07/17/19 05:30:00 AM,7.40,41.32,,,,
439,07/17/19 05:45:00 AM,7.47,41.25,,,,
440,07/17/19 06:00:00 AM,7.61,41.18,,,,
441,07/17/19 06:15:00 AM,7.57,41.11,,,,
442,07/17/19 06:30:00 AM,7.74,41.07,,,,
443,07/17/19 06:45:00 AM,7.66,41.07,,,,
444,07/17/19 07:00:00 AM,7.65,41.07,,,,
445,07/17/19 07:15:00 AM,7.67,41.07,,,,
446,07/17/19 07:30:00 AM,7.69,41.11,,,,
447,07/17/19 07:45:00 AM,7.66,41.18,,,,
448,07/17/19 08:00:00 AM,7.66,41.29,,,,
449,07/17/19 08:15:00 AM,7.67,41.36,,,,
450,07/17/19 08:30:00 AM,7.63,41.47,,,,
451,07/17/19 08:45:00 AM,7.67,41.61,,,,
452,07/17/19 09:00:00 AM,7.66,41.68,,,,
453,07/17/19 09:15:00 AM,7.62,41.76,,,,
454,07/17/19 09:30:00 AM,7.66,41.86,,,,
455,07/17/19 09:45:00 AM,7.59,42.01,,,,
456,07/17/19 10:00:00 AM,7.56,42.30,,,,
457,07/17/19 10:15:00 AM,7.58,42.62,,,,
458,07/17/19 10:30:00 AM,7.57,42.87,,,,
459,07/17/19 10:45:00 AM,7.56,43.09,,,,
460,07/17/19 11:00:00 AM,7.55,43.30,,,,
461,07/17/19 11:15:00 AM,7.50,43.59,,,,
462,07/17/19 11:30:00 AM,7.49,43.92,,,,
463,07/17/19 11:45:00 AM,7.40,44.49,,,,
464,07/17/19 12:00:00 PM,7.32,45.10,,,,
465,07/17/19 12:15:00 PM,7.26,45.68,,,,
466,07/17/19 12:30:00 PM,7.21,46.00,,,,
467,07/17/19 12:45:00 PM,7.23,46.11,,,,
468,07/17/19 01:00:00 PM,7.20,46.33,,,,
469,07/17/19 01:15:00 PM,7.15,46.62,,,,
470,07/17/19 01:30:00 PM,7.12,46.87,,,,
