"Plot Title: DO_03"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20645538, SEN S/N: 20645538)","Temp, °C (LGR S/N: 20645538, SEN S/N: 20645538)","Coupler Attached (LGR S/N: 20645538)","Host Connected (LGR S/N: 20645538)","End Of File (LGR S/N: 20645538)"
76,06/03/22 10:15:00 AM,7.71,5.94,,,
77,06/03/22 10:30:00 AM,7.71,5.96,,,
78,06/03/22 10:45:00 AM,7.70,5.96,,,
79,06/03/22 11:00:00 AM,7.78,5.70,,,
80,06/03/22 11:15:00 AM,7.85,5.42,,,
81,06/03/22 11:30:00 AM,7.82,5.58,,,
82,06/03/22 11:45:00 AM,7.80,5.70,,,
83,06/03/22 12:00:00 PM,7.81,5.68,,,
84,06/03/22 12:15:00 PM,7.80,5.72,,,
85,06/03/22 12:30:00 PM,7.72,5.98,,,
86,06/03/22 12:45:00 PM,7.66,6.20,,,
87,06/03/22 01:00:00 PM,7.67,6.22,,,
88,06/03/22 01:15:00 PM,7.65,6.26,,,
89,06/03/22 01:30:00 PM,7.64,6.34,,,
90,06/03/22 01:45:00 PM,7.59,6.56,,,
91,06/03/22 02:00:00 PM,7.54,6.72,,,
92,06/03/22 02:15:00 PM,7.51,6.84,,,
93,06/03/22 02:30:00 PM,7.48,6.96,,,
94,06/03/22 02:45:00 PM,7.46,7.04,,,
95,06/03/22 03:00:00 PM,7.44,7.12,,,
96,06/03/22 03:15:00 PM,7.44,7.16,,,
97,06/03/22 03:30:00 PM,7.39,7.34,,,
98,06/03/22 03:45:00 PM,7.41,7.30,,,
99,06/03/22 04:00:00 PM,7.42,7.26,,,
100,06/03/22 04:15:00 PM,7.41,7.30,,,
101,06/03/22 04:30:00 PM,7.39,7.42,,,
102,06/03/22 04:45:00 PM,7.35,7.58,,,
103,06/03/22 05:00:00 PM,7.34,7.64,,,
104,06/03/22 05:15:00 PM,7.33,7.68,,,
105,06/03/22 05:30:00 PM,7.32,7.74,,,
106,06/03/22 05:45:00 PM,7.33,7.70,,,
107,06/03/22 06:00:00 PM,7.34,7.62,,,
108,06/03/22 06:15:00 PM,7.34,7.60,,,
109,06/03/22 06:30:00 PM,7.37,7.50,,,
110,06/03/22 06:45:00 PM,7.40,7.36,,,
111,06/03/22 07:00:00 PM,7.43,7.22,,,
112,06/03/22 07:15:00 PM,7.49,7.00,,,
113,06/03/22 07:30:00 PM,7.54,6.78,,,
114,06/03/22 07:45:00 PM,7.59,6.60,,,
115,06/03/22 08:00:00 PM,7.61,6.50,,,
116,06/03/22 08:15:00 PM,7.64,6.42,,,
117,06/03/22 08:30:00 PM,7.66,6.30,,,
118,06/03/22 08:45:00 PM,7.65,6.30,,,
119,06/03/22 09:00:00 PM,7.68,6.18,,,
120,06/03/22 09:15:00 PM,7.70,6.14,,,
121,06/03/22 09:30:00 PM,7.70,6.10,,,
122,06/03/22 09:45:00 PM,7.72,6.02,,,
123,06/03/22 10:00:00 PM,7.74,5.96,,,
124,06/03/22 10:15:00 PM,7.77,5.84,,,
125,06/03/22 10:30:00 PM,7.77,5.82,,,
126,06/03/22 10:45:00 PM,7.76,5.84,,,
127,06/03/22 11:00:00 PM,7.81,5.64,,,
128,06/03/22 11:15:00 PM,7.80,5.64,,,
129,06/03/22 11:30:00 PM,7.79,5.68,,,
130,06/03/22 11:45:00 PM,7.79,5.68,,,
131,06/04/22 12:00:00 AM,7.78,5.70,,,
132,06/04/22 12:15:00 AM,7.77,5.74,,,
133,06/04/22 12:30:00 AM,7.75,5.80,,,
134,06/04/22 12:45:00 AM,7.69,5.98,,,
135,06/04/22 01:00:00 AM,7.68,6.06,,,
136,06/04/22 01:15:00 AM,7.65,6.16,,,
137,06/04/22 01:30:00 AM,7.65,6.16,,,
138,06/04/22 01:45:00 AM,7.68,6.06,,,
139,06/04/22 02:00:00 AM,7.70,5.98,,,
140,06/04/22 02:15:00 AM,7.71,5.92,,,
141,06/04/22 02:30:00 AM,7.71,5.90,,,
142,06/04/22 02:45:00 AM,7.70,5.90,,,
143,06/04/22 03:00:00 AM,7.75,5.70,,,
144,06/04/22 03:15:00 AM,7.76,5.66,,,
145,06/04/22 03:30:00 AM,7.98,4.92,,,
146,06/04/22 03:45:00 AM,8.17,4.38,,,
147,06/04/22 04:00:00 AM,8.25,4.16,,,
148,06/04/22 04:15:00 AM,8.27,4.08,,,
149,06/04/22 04:30:00 AM,8.29,4.00,,,
150,06/04/22 04:45:00 AM,8.35,4.00,,,
151,06/04/22 05:00:00 AM,8.38,3.84,,,
152,06/04/22 05:15:00 AM,8.41,3.74,,,
153,06/04/22 05:30:00 AM,8.40,3.80,,,
154,06/04/22 05:45:00 AM,8.38,3.86,,,
155,06/04/22 06:00:00 AM,8.34,3.96,,,
156,06/04/22 06:15:00 AM,8.33,4.00,,,
157,06/04/22 06:30:00 AM,8.31,4.06,,,
158,06/04/22 06:45:00 AM,8.29,4.14,,,
159,06/04/22 07:00:00 AM,8.27,4.22,,,
160,06/04/22 07:15:00 AM,8.29,4.14,,,
161,06/04/22 07:30:00 AM,8.29,4.12,,,
162,06/04/22 07:45:00 AM,8.28,4.16,,,
163,06/04/22 08:00:00 AM,8.26,4.24,,,
164,06/04/22 08:15:00 AM,8.22,4.36,,,
165,06/04/22 08:30:00 AM,8.20,4.44,,,
166,06/04/22 08:45:00 AM,8.16,4.58,,,
167,06/04/22 09:00:00 AM,8.11,4.76,,,
168,06/04/22 09:15:00 AM,8.04,5.00,,,
169,06/04/22 09:30:00 AM,7.97,5.28,,,
170,06/04/22 09:45:00 AM,7.87,5.64,,,
171,06/04/22 10:00:00 AM,7.77,6.02,,,
172,06/04/22 10:15:00 AM,7.75,6.18,,,
173,06/04/22 10:30:00 AM,7.69,6.42,,,
174,06/04/22 10:45:00 AM,7.59,6.82,,,
175,06/04/22 11:00:00 AM,7.50,7.26,,,
176,06/04/22 11:15:00 AM,7.47,7.36,,,
177,06/04/22 11:30:00 AM,7.49,7.34,,,
178,06/04/22 11:45:00 AM,7.53,7.24,,,
179,06/04/22 12:00:00 PM,7.57,7.10,,,
180,06/04/22 12:15:00 PM,7.56,7.14,,,
181,06/04/22 12:30:00 PM,7.48,7.40,,,
182,06/04/22 12:45:00 PM,7.44,7.58,,,
183,06/04/22 01:00:00 PM,7.47,7.44,,,
184,06/04/22 01:15:00 PM,7.54,7.18,,,
185,06/04/22 01:30:00 PM,7.54,7.20,,,
186,06/04/22 01:45:00 PM,7.48,7.34,,,
187,06/04/22 02:00:00 PM,7.51,7.20,,,
188,06/04/22 02:15:00 PM,7.51,7.26,,,
189,06/04/22 02:30:00 PM,7.42,7.58,,,
190,06/04/22 02:45:00 PM,7.36,7.86,,,
191,06/04/22 03:00:00 PM,7.30,8.14,,,
192,06/04/22 03:15:00 PM,7.24,8.42,,,
193,06/04/22 03:30:00 PM,7.23,8.52,,,
194,06/04/22 03:45:00 PM,7.24,8.52,,,
195,06/04/22 04:00:00 PM,7.24,8.56,,,
196,06/04/22 04:15:00 PM,7.23,8.64,,,
197,06/04/22 04:30:00 PM,7.15,8.88,,,
198,06/04/22 04:45:00 PM,7.15,8.92,,,
199,06/04/22 05:00:00 PM,7.15,8.94,,,
200,06/04/22 05:15:00 PM,7.19,8.84,,,
201,06/04/22 05:30:00 PM,7.24,8.68,,,
202,06/04/22 05:45:00 PM,7.32,8.38,,,
203,06/04/22 06:00:00 PM,7.38,8.02,,,
204,06/04/22 06:15:00 PM,7.48,7.74,,,
205,06/04/22 06:30:00 PM,7.40,7.88,,,
206,06/04/22 06:45:00 PM,7.39,7.88,,,
207,06/04/22 07:00:00 PM,7.41,7.80,,,
208,06/04/22 07:15:00 PM,7.43,7.70,,,
209,06/04/22 07:30:00 PM,7.48,7.48,,,
210,06/04/22 07:45:00 PM,7.49,7.38,,,
211,06/04/22 08:00:00 PM,7.51,7.28,,,
212,06/04/22 08:15:00 PM,7.55,7.16,,,
213,06/04/22 08:30:00 PM,7.59,7.04,,,
214,06/04/22 08:45:00 PM,7.59,7.00,,,
215,06/04/22 09:00:00 PM,7.61,6.88,,,
216,06/04/22 09:15:00 PM,7.64,6.76,,,
217,06/04/22 09:30:00 PM,7.67,6.60,,,
218,06/04/22 09:45:00 PM,7.74,6.38,,,
219,06/04/22 10:00:00 PM,7.82,6.20,,,
220,06/04/22 10:15:00 PM,7.81,6.12,,,
221,06/04/22 10:30:00 PM,7.82,6.06,,,
222,06/04/22 10:45:00 PM,7.83,6.08,,,
223,06/04/22 11:00:00 PM,7.82,6.12,,,
224,06/04/22 11:15:00 PM,7.79,6.14,,,
225,06/04/22 11:30:00 PM,7.80,6.10,,,
226,06/04/22 11:45:00 PM,7.80,6.12,,,
227,06/05/22 12:00:00 AM,7.82,6.08,,,
228,06/05/22 12:15:00 AM,7.83,6.06,,,
229,06/05/22 12:30:00 AM,7.82,6.04,,,
230,06/05/22 12:45:00 AM,7.82,6.06,,,
231,06/05/22 01:00:00 AM,7.84,5.96,,,
232,06/05/22 01:15:00 AM,7.88,5.86,,,
233,06/05/22 01:30:00 AM,7.88,5.74,,,
234,06/05/22 01:45:00 AM,7.90,5.74,,,
235,06/05/22 02:00:00 AM,7.88,5.78,,,
236,06/05/22 02:15:00 AM,7.90,5.70,,,
237,06/05/22 02:30:00 AM,7.96,5.46,,,
238,06/05/22 02:45:00 AM,8.07,5.14,,,
239,06/05/22 03:00:00 AM,8.15,4.88,,,
240,06/05/22 03:15:00 AM,8.16,4.76,,,
241,06/05/22 03:30:00 AM,8.21,4.54,,,
242,06/05/22 03:45:00 AM,8.33,4.20,,,
243,06/05/22 04:00:00 AM,8.36,4.06,,,
244,06/05/22 04:15:00 AM,8.40,3.86,,,
245,06/05/22 04:30:00 AM,8.45,3.66,,,
246,06/05/22 04:45:00 AM,8.45,3.64,,,
247,06/05/22 05:00:00 AM,8.37,3.86,,,
248,06/05/22 05:15:00 AM,8.40,3.74,,,
249,06/05/22 05:30:00 AM,8.48,3.54,,,
250,06/05/22 05:45:00 AM,8.48,3.44,,,
251,06/05/22 06:00:00 AM,8.55,3.20,,,
252,06/05/22 06:15:00 AM,8.59,3.08,,,
253,06/05/22 06:30:00 AM,8.57,3.10,,,
254,06/05/22 06:45:00 AM,8.54,3.12,,,
255,06/05/22 07:00:00 AM,8.50,3.24,,,
256,06/05/22 07:15:00 AM,8.54,3.10,,,
257,06/05/22 07:30:00 AM,8.53,3.12,,,
258,06/05/22 07:45:00 AM,8.51,3.22,,,
259,06/05/22 08:00:00 AM,8.50,3.38,,,
260,06/05/22 08:15:00 AM,8.36,3.76,,,
261,06/05/22 08:30:00 AM,8.22,4.22,,,
262,06/05/22 08:45:00 AM,8.12,4.54,,,
263,06/05/22 09:00:00 AM,8.04,4.84,,,
264,06/05/22 09:15:00 AM,7.95,5.18,,,
265,06/05/22 09:30:00 AM,7.86,5.58,,,
266,06/05/22 09:45:00 AM,7.79,5.96,,,
267,06/05/22 10:00:00 AM,7.69,6.28,,,
268,06/05/22 10:15:00 AM,7.57,6.80,,,
269,06/05/22 10:30:00 AM,7.48,7.32,,,
270,06/05/22 10:45:00 AM,7.43,7.52,,,
271,06/05/22 11:00:00 AM,7.52,7.42,,,
272,06/05/22 11:15:00 AM,7.44,7.82,,,
273,06/05/22 11:30:00 AM,7.33,8.28,,,
274,06/05/22 11:45:00 AM,7.29,8.46,,,
275,06/05/22 12:00:00 PM,7.30,8.44,,,
276,06/05/22 12:15:00 PM,7.37,8.26,,,
277,06/05/22 12:30:00 PM,7.38,8.28,,,
278,06/05/22 12:45:00 PM,7.29,8.70,,,
279,06/05/22 01:00:00 PM,7.26,8.80,,,
280,06/05/22 01:15:00 PM,7.24,8.88,,,
281,06/05/22 01:30:00 PM,7.18,9.16,,,
282,06/05/22 01:45:00 PM,7.10,9.48,,,
283,06/05/22 02:00:00 PM,6.91,10.32,,,
284,06/05/22 02:15:00 PM,6.77,10.92,,,
285,06/05/22 02:30:00 PM,6.82,10.80,,,
286,06/05/22 02:45:00 PM,6.71,11.34,,,
287,06/05/22 03:00:00 PM,6.64,11.76,,,
288,06/05/22 03:15:00 PM,6.67,11.60,,,
289,06/05/22 03:30:00 PM,6.84,10.90,,,
290,06/05/22 03:45:00 PM,6.99,10.28,,,
291,06/05/22 04:00:00 PM,7.03,10.14,,,
292,06/05/22 04:15:00 PM,6.93,10.52,,,
293,06/05/22 04:30:00 PM,6.94,10.44,,,
294,06/05/22 04:45:00 PM,7.03,9.96,,,
295,06/05/22 05:00:00 PM,7.15,9.48,,,
296,06/05/22 05:15:00 PM,7.28,8.94,,,
297,06/05/22 05:30:00 PM,7.39,8.40,,,
298,06/05/22 05:45:00 PM,7.46,8.10,,,
299,06/05/22 06:00:00 PM,7.53,7.80,,,
300,06/05/22 06:15:00 PM,7.62,7.46,,,
301,06/05/22 06:30:00 PM,7.74,7.00,,,
302,06/05/22 06:45:00 PM,7.82,6.64,,,
303,06/05/22 07:00:00 PM,7.88,6.38,,,
304,06/05/22 07:15:00 PM,7.92,6.16,,,
305,06/05/22 07:30:00 PM,7.96,6.02,,,
306,06/05/22 07:45:00 PM,8.01,5.78,,,
307,06/05/22 08:00:00 PM,8.05,5.64,,,
308,06/05/22 08:15:00 PM,8.08,5.46,,,
309,06/05/22 08:30:00 PM,8.09,5.40,,,
310,06/05/22 08:45:00 PM,8.07,5.44,,,
311,06/05/22 09:00:00 PM,8.06,5.44,,,
312,06/05/22 09:15:00 PM,8.07,5.38,,,
313,06/05/22 09:30:00 PM,8.12,5.16,,,
314,06/05/22 09:45:00 PM,8.16,5.00,,,
315,06/05/22 10:00:00 PM,8.20,4.86,,,
316,06/05/22 10:15:00 PM,8.25,4.62,,,
317,06/05/22 10:30:00 PM,8.28,4.50,,,
318,06/05/22 10:45:00 PM,8.24,4.62,,,
319,06/05/22 11:00:00 PM,8.27,4.48,,,
320,06/05/22 11:15:00 PM,8.27,4.50,,,
321,06/05/22 11:30:00 PM,8.24,4.60,,,
322,06/05/22 11:45:00 PM,8.23,4.62,,,
323,06/06/22 12:00:00 AM,8.22,4.60,,,
324,06/06/22 12:15:00 AM,8.22,4.58,,,
325,06/06/22 12:30:00 AM,8.22,4.56,,,
326,06/06/22 12:45:00 AM,8.21,4.58,,,
327,06/06/22 01:00:00 AM,8.20,4.60,,,
328,06/06/22 01:15:00 AM,8.17,4.76,,,
329,06/06/22 01:30:00 AM,8.13,4.88,,,
330,06/06/22 01:45:00 AM,8.11,4.90,,,
331,06/06/22 02:00:00 AM,8.11,4.90,,,
332,06/06/22 02:15:00 AM,8.17,4.70,,,
333,06/06/22 02:30:00 AM,8.24,4.42,,,
334,06/06/22 02:45:00 AM,8.27,4.26,,,
335,06/06/22 03:00:00 AM,8.35,3.80,,,
336,06/06/22 03:15:00 AM,8.41,3.58,,,
337,06/06/22 03:30:00 AM,8.45,3.44,,,
338,06/06/22 03:45:00 AM,8.50,3.26,,,
339,06/06/22 04:00:00 AM,8.51,3.30,,,
340,06/06/22 04:15:00 AM,8.52,3.18,,,
341,06/06/22 04:30:00 AM,8.55,3.10,,,
342,06/06/22 04:45:00 AM,8.56,3.04,,,
343,06/06/22 05:00:00 AM,8.55,3.08,,,
344,06/06/22 05:15:00 AM,8.53,3.14,,,
345,06/06/22 05:30:00 AM,8.53,3.04,,,
346,06/06/22 05:45:00 AM,8.55,3.00,,,
347,06/06/22 06:00:00 AM,8.57,2.96,,,
348,06/06/22 06:15:00 AM,8.59,2.78,,,
349,06/06/22 06:30:00 AM,8.62,2.68,,,
350,06/06/22 06:45:00 AM,8.63,2.66,,,
351,06/06/22 07:00:00 AM,8.63,2.66,,,
352,06/06/22 07:15:00 AM,8.65,2.56,,,
353,06/06/22 07:30:00 AM,8.63,2.62,,,
354,06/06/22 07:45:00 AM,8.58,2.84,,,
355,06/06/22 08:00:00 AM,8.52,3.10,,,
356,06/06/22 08:15:00 AM,8.46,3.32,,,
357,06/06/22 08:30:00 AM,8.38,3.64,,,
358,06/06/22 08:45:00 AM,8.31,3.86,,,
359,06/06/22 09:00:00 AM,8.26,4.12,,,
360,06/06/22 09:15:00 AM,8.11,4.68,,,
361,06/06/22 09:30:00 AM,7.99,5.10,,,
362,06/06/22 09:45:00 AM,7.86,5.62,,,
363,06/06/22 10:00:00 AM,7.82,5.76,,,
364,06/06/22 10:15:00 AM,7.71,6.34,,,
365,06/06/22 10:30:00 AM,7.65,6.58,,,
366,06/06/22 10:45:00 AM,7.55,7.02,,,
367,06/06/22 11:00:00 AM,7.43,7.58,,,
368,06/06/22 11:15:00 AM,7.33,8.10,,,
369,06/06/22 11:30:00 AM,7.18,8.80,,,
370,06/06/22 11:45:00 AM,7.01,9.54,,,
371,06/06/22 12:00:00 PM,6.87,10.22,,,
372,06/06/22 12:15:00 PM,6.82,10.52,,,
373,06/06/22 12:30:00 PM,6.69,11.18,,,
374,06/06/22 12:45:00 PM,6.67,11.16,,,
375,06/06/22 01:00:00 PM,6.62,11.50,,,
376,06/06/22 01:15:00 PM,6.60,11.54,,,
377,06/06/22 01:30:00 PM,6.68,11.26,,,
378,06/06/22 01:45:00 PM,6.72,11.04,,,
379,06/06/22 02:00:00 PM,6.84,10.44,,,
380,06/06/22 02:15:00 PM,6.94,9.96,,,
381,06/06/22 02:30:00 PM,7.09,9.26,,,
382,06/06/22 02:45:00 PM,7.16,9.06,,,
383,06/06/22 03:00:00 PM,7.11,9.30,,,
384,06/06/22 03:15:00 PM,7.13,9.08,,,
385,06/06/22 03:30:00 PM,7.20,8.70,,,
386,06/06/22 03:45:00 PM,7.20,8.80,,,
387,06/06/22 04:00:00 PM,7.19,8.82,,,
388,06/06/22 04:15:00 PM,7.16,8.90,,,
389,06/06/22 04:30:00 PM,7.19,8.70,,,
390,06/06/22 04:45:00 PM,7.22,8.60,,,
391,06/06/22 05:00:00 PM,7.28,8.28,,,
392,06/06/22 05:15:00 PM,7.38,7.76,,,
393,06/06/22 05:30:00 PM,7.47,7.46,,,
394,06/06/22 05:45:00 PM,7.52,7.32,,,
395,06/06/22 06:00:00 PM,7.55,7.14,,,
396,06/06/22 06:15:00 PM,7.60,6.88,,,
397,06/06/22 06:30:00 PM,7.66,6.56,,,
398,06/06/22 06:45:00 PM,7.70,6.40,,,
399,06/06/22 07:00:00 PM,7.73,6.34,,,
400,06/06/22 07:15:00 PM,7.75,6.30,,,
401,06/06/22 07:30:00 PM,7.81,5.92,,,
402,06/06/22 07:45:00 PM,7.94,5.24,,,
403,06/06/22 08:00:00 PM,8.06,4.82,,,
404,06/06/22 08:15:00 PM,8.10,4.78,,,
405,06/06/22 08:30:00 PM,8.18,4.48,,,
406,06/06/22 08:45:00 PM,8.25,4.08,,,
407,06/06/22 09:00:00 PM,8.31,3.82,,,
408,06/06/22 09:15:00 PM,8.37,3.54,,,
409,06/06/22 09:30:00 PM,8.41,3.42,,,
410,06/06/22 09:45:00 PM,8.43,3.32,,,
411,06/06/22 10:00:00 PM,8.46,3.28,,,
412,06/06/22 10:15:00 PM,8.43,3.40,,,
413,06/06/22 10:30:00 PM,8.43,3.36,,,
414,06/06/22 10:45:00 PM,8.45,3.20,,,
415,06/06/22 11:00:00 PM,8.48,3.12,,,
416,06/06/22 11:15:00 PM,8.49,3.00,,,
417,06/06/22 11:30:00 PM,8.50,2.96,,,
418,06/06/22 11:45:00 PM,8.50,2.92,,,
419,06/07/22 12:00:00 AM,8.50,2.94,,,
420,06/07/22 12:15:00 AM,8.49,3.02,,,
421,06/07/22 12:30:00 AM,8.49,3.02,,,
422,06/07/22 12:45:00 AM,8.45,3.18,,,
423,06/07/22 01:00:00 AM,8.40,3.38,,,
424,06/07/22 01:15:00 AM,8.37,3.48,,,
425,06/07/22 01:30:00 AM,8.38,3.46,,,
426,06/07/22 01:45:00 AM,8.36,3.54,,,
427,06/07/22 02:00:00 AM,8.33,3.62,,,
428,06/07/22 02:15:00 AM,8.38,3.36,,,
429,06/07/22 02:30:00 AM,8.41,3.20,,,
430,06/07/22 02:45:00 AM,8.42,3.22,,,
431,06/07/22 03:00:00 AM,8.46,3.12,,,
432,06/07/22 03:15:00 AM,8.46,3.08,,,
433,06/07/22 03:30:00 AM,8.50,2.98,,,
434,06/07/22 03:45:00 AM,8.48,3.08,,,
435,06/07/22 04:00:00 AM,8.48,2.98,,,
436,06/07/22 04:15:00 AM,8.50,2.86,,,
437,06/07/22 04:30:00 AM,8.52,2.72,,,
438,06/07/22 04:45:00 AM,8.52,2.78,,,
439,06/07/22 05:00:00 AM,8.54,2.66,,,
440,06/07/22 05:15:00 AM,8.56,2.54,,,
441,06/07/22 05:30:00 AM,8.59,2.40,,,
442,06/07/22 05:45:00 AM,8.61,2.40,,,
443,06/07/22 06:00:00 AM,8.61,2.44,,,
444,06/07/22 06:15:00 AM,8.58,2.52,,,
445,06/07/22 06:30:00 AM,8.57,2.64,,,
446,06/07/22 06:45:00 AM,8.56,2.60,,,
447,06/07/22 07:00:00 AM,8.56,2.54,,,
448,06/07/22 07:15:00 AM,8.57,2.52,,,
449,06/07/22 07:30:00 AM,8.60,2.36,,,
450,06/07/22 07:45:00 AM,8.64,2.26,,,
451,06/07/22 08:00:00 AM,8.64,2.32,,,
452,06/07/22 08:15:00 AM,8.59,2.62,,,
453,06/07/22 08:30:00 AM,8.49,3.02,,,
454,06/07/22 08:45:00 AM,8.37,3.52,,,
455,06/07/22 09:00:00 AM,8.25,4.00,,,
456,06/07/22 09:15:00 AM,8.17,4.30,,,
457,06/07/22 09:30:00 AM,8.11,4.58,,,
458,06/07/22 09:45:00 AM,8.03,4.90,,,
459,06/07/22 10:00:00 AM,7.95,5.24,,,
460,06/07/22 10:15:00 AM,7.83,5.72,,,
461,06/07/22 10:30:00 AM,7.77,6.00,,,
462,06/07/22 10:45:00 AM,7.65,6.58,,,
463,06/07/22 11:00:00 AM,7.53,7.04,,,
464,06/07/22 11:15:00 AM,7.39,7.72,,,
465,06/07/22 11:30:00 AM,7.19,8.64,,,
466,06/07/22 11:45:00 AM,7.05,9.32,,,
467,06/07/22 12:00:00 PM,7.02,9.36,,,
468,06/07/22 12:15:00 PM,7.02,9.36,,,
469,06/07/22 12:30:00 PM,7.05,9.30,,,
470,06/07/22 12:45:00 PM,7.04,9.36,,,
471,06/07/22 01:00:00 PM,6.95,9.86,,,
472,06/07/22 01:15:00 PM,6.86,10.34,,,
473,06/07/22 01:30:00 PM,6.88,10.12,,,
474,06/07/22 01:45:00 PM,6.91,9.96,,,
475,06/07/22 02:00:00 PM,6.91,9.96,,,
476,06/07/22 02:15:00 PM,6.93,9.88,,,
477,06/07/22 02:30:00 PM,6.99,9.48,,,
478,06/07/22 02:45:00 PM,6.95,9.64,,,
479,06/07/22 03:00:00 PM,6.97,9.60,,,
480,06/07/22 03:15:00 PM,6.95,9.78,,,
481,06/07/22 03:30:00 PM,6.93,9.82,,,
482,06/07/22 03:45:00 PM,6.97,9.60,,,
483,06/07/22 04:00:00 PM,7.01,9.38,,,
484,06/07/22 04:15:00 PM,7.07,9.10,,,
485,06/07/22 04:30:00 PM,7.11,8.98,,,
486,06/07/22 04:45:00 PM,7.04,9.38,,,
487,06/07/22 05:00:00 PM,7.09,9.06,,,
488,06/07/22 05:15:00 PM,7.16,8.66,,,
