"Plot Title: DO_02"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Coupler Detached (LGR S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
335,06/06/22 01:30:00 AM,4.82,8.14,,,,,
336,06/06/22 01:45:00 AM,4.81,8.12,,,,,
337,06/06/22 02:00:00 AM,4.79,8.12,,,,,
338,06/06/22 02:15:00 AM,4.79,8.04,,,,,
339,06/06/22 02:30:00 AM,4.80,7.90,,,,,
340,06/06/22 02:45:00 AM,4.80,7.76,,,,,
341,06/06/22 03:00:00 AM,4.81,7.66,,,,,
342,06/06/22 03:15:00 AM,4.81,7.54,,,,,
343,06/06/22 03:30:00 AM,4.82,7.42,,,,,
344,06/06/22 03:45:00 AM,4.83,7.30,,,,,
345,06/06/22 04:00:00 AM,4.83,7.18,,,,,
346,06/06/22 04:15:00 AM,4.83,7.12,,,,,
347,06/06/22 04:30:00 AM,4.82,7.10,,,,,
348,06/06/22 04:45:00 AM,4.81,7.10,,,,,
349,06/06/22 05:00:00 AM,4.80,7.10,,,,,
350,06/06/22 05:15:00 AM,4.79,7.06,,,,,
351,06/06/22 05:30:00 AM,4.78,7.04,,,,,
352,06/06/22 05:45:00 AM,4.79,6.96,,,,,
353,06/06/22 06:00:00 AM,4.80,6.86,,,,,
354,06/06/22 06:15:00 AM,4.80,6.80,,,,,
355,06/06/22 06:30:00 AM,4.81,6.74,,,,,
356,06/06/22 06:45:00 AM,4.81,6.66,,,,,
357,06/06/22 07:00:00 AM,4.82,6.58,,,,,
358,06/06/22 07:15:00 AM,4.82,6.54,,,,,
359,06/06/22 07:30:00 AM,4.82,6.54,,,,,
360,06/06/22 07:45:00 AM,4.81,6.52,,,,,
361,06/06/22 08:00:00 AM,4.81,6.54,,,,,
362,06/06/22 08:15:00 AM,4.80,6.60,,,,,
363,06/06/22 08:30:00 AM,4.79,6.68,,,,,
364,06/06/22 08:45:00 AM,4.77,6.80,,,,,
365,06/06/22 09:00:00 AM,4.77,6.92,,,,,
366,06/06/22 09:15:00 AM,4.76,7.12,,,,,
367,06/06/22 09:30:00 AM,4.77,7.38,,,,,
368,06/06/22 09:45:00 AM,4.79,7.58,,,,,
369,06/06/22 10:00:00 AM,4.83,7.80,,,,,
370,06/06/22 10:15:00 AM,4.91,8.02,,,,,
371,06/06/22 10:30:00 AM,4.90,8.34,,,,,
372,06/06/22 10:45:00 AM,4.93,8.64,,,,,
373,06/06/22 11:00:00 AM,4.96,9.02,,,,,
374,06/06/22 11:15:00 AM,4.96,9.48,,,,,
375,06/06/22 11:30:00 AM,4.97,9.96,,,,,
376,06/06/22 11:45:00 AM,4.96,10.42,,,,,
377,06/06/22 12:00:00 PM,4.93,10.90,,,,,
378,06/06/22 12:15:00 PM,4.92,11.38,,,,,
379,06/06/22 12:30:00 PM,4.89,11.80,,,,,
380,06/06/22 12:45:00 PM,4.88,12.14,,,,,
381,06/06/22 01:00:00 PM,4.88,12.30,,,,,
382,06/06/22 01:15:00 PM,4.85,12.34,,,,,
383,06/06/22 01:30:00 PM,4.75,12.46,,,,,
384,06/06/22 01:45:00 PM,4.65,12.60,,,,,
385,06/06/22 02:00:00 PM,4.66,12.50,,,,,
386,06/06/22 02:15:00 PM,4.66,12.16,,,,,
387,06/06/22 02:30:00 PM,4.65,11.76,,,,,
388,06/06/22 02:45:00 PM,4.68,11.38,,,,,
389,06/06/22 03:00:00 PM,4.64,11.18,,,,,
390,06/06/22 03:15:00 PM,4.61,11.10,,,,,
391,06/06/22 03:30:00 PM,4.68,11.04,,,,,
392,06/06/22 03:45:00 PM,4.72,10.94,,,,,
393,06/06/22 04:00:00 PM,4.74,10.88,,,,,
394,06/06/22 04:15:00 PM,4.77,10.92,,,,,
395,06/06/22 04:30:00 PM,4.81,10.88,,,,,
396,06/06/22 04:45:00 PM,4.81,10.82,,,,,
397,06/06/22 05:00:00 PM,4.81,10.74,,,,,
398,06/06/22 05:15:00 PM,4.84,10.54,,,,,
399,06/06/22 05:30:00 PM,4.84,10.30,,,,,
400,06/06/22 05:45:00 PM,4.81,10.06,,,,,
401,06/06/22 06:00:00 PM,4.78,9.88,,,,,
402,06/06/22 06:15:00 PM,4.76,9.72,,,,,
403,06/06/22 06:30:00 PM,4.74,9.56,,,,,
404,06/06/22 06:45:00 PM,4.71,9.44,,,,,
405,06/06/22 07:00:00 PM,4.69,9.32,,,,,
406,06/06/22 07:15:00 PM,4.67,9.18,,,,,
407,06/06/22 07:30:00 PM,4.66,8.96,,,,,
408,06/06/22 07:45:00 PM,4.69,8.60,,,,,
409,06/06/22 08:00:00 PM,4.71,8.32,,,,,
410,06/06/22 08:15:00 PM,4.69,8.26,,,,,
411,06/06/22 08:30:00 PM,4.67,8.22,,,,,
412,06/06/22 08:45:00 PM,4.66,8.16,,,,,
413,06/06/22 09:00:00 PM,4.65,8.00,,,,,
414,06/06/22 09:15:00 PM,4.67,7.80,,,,,
415,06/06/22 09:30:00 PM,4.67,7.68,,,,,
416,06/06/22 09:45:00 PM,4.67,7.58,,,,,
417,06/06/22 10:00:00 PM,4.67,7.50,,,,,
418,06/06/22 10:15:00 PM,4.66,7.48,,,,,
419,06/06/22 10:30:00 PM,4.64,7.46,,,,,
420,06/06/22 10:45:00 PM,4.63,7.42,,,,,
421,06/06/22 11:00:00 PM,4.63,7.34,,,,,
422,06/06/22 11:15:00 PM,4.63,7.28,,,,,
423,06/06/22 11:30:00 PM,4.62,7.22,,,,,
424,06/06/22 11:45:00 PM,4.63,7.16,,,,,
425,06/07/22 12:00:00 AM,4.63,7.10,,,,,
426,06/07/22 12:15:00 AM,4.62,7.10,,,,,
427,06/07/22 12:30:00 AM,4.61,7.08,,,,,
428,06/07/22 12:45:00 AM,4.61,7.08,,,,,
429,06/07/22 01:00:00 AM,4.60,7.08,,,,,
430,06/07/22 01:15:00 AM,4.58,7.08,,,,,
431,06/07/22 01:30:00 AM,4.57,7.06,,,,,
432,06/07/22 01:45:00 AM,4.56,7.02,,,,,
433,06/07/22 02:00:00 AM,4.55,7.02,,,,,
434,06/07/22 02:15:00 AM,4.56,6.94,,,,,
435,06/07/22 02:30:00 AM,4.58,6.82,,,,,
436,06/07/22 02:45:00 AM,4.56,6.80,,,,,
437,06/07/22 03:00:00 AM,4.56,6.80,,,,,
438,06/07/22 03:15:00 AM,4.54,6.82,,,,,
439,06/07/22 03:30:00 AM,4.53,6.80,,,,,
440,06/07/22 03:45:00 AM,4.52,6.78,,,,,
441,06/07/22 04:00:00 AM,4.52,6.74,,,,,
442,06/07/22 04:15:00 AM,4.52,6.68,,,,,
443,06/07/22 04:30:00 AM,4.53,6.56,,,,,
444,06/07/22 04:45:00 AM,4.53,6.50,,,,,
445,06/07/22 05:00:00 AM,4.55,6.36,,,,,
446,06/07/22 05:15:00 AM,4.55,6.30,,,,,
447,06/07/22 05:30:00 AM,4.55,6.20,,,,,
448,06/07/22 05:45:00 AM,4.56,6.14,,,,,
449,06/07/22 06:00:00 AM,4.56,6.10,,,,,
450,06/07/22 06:15:00 AM,4.56,6.08,,,,,
451,06/07/22 06:30:00 AM,4.56,6.08,,,,,
452,06/07/22 06:45:00 AM,4.55,6.06,,,,,
453,06/07/22 07:00:00 AM,4.55,6.06,,,,,
