"Plot Title: 21223042"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 21223042, SEN S/N: 21223042)","Temp, °C (LGR S/N: 21223042, SEN S/N: 21223042)","End Of File (LGR S/N: 21223042)"
58,03/16/22 07:45:00 PM,2.16,8.50,
59,03/16/22 07:50:00 PM,2.14,8.48,
60,03/16/22 07:55:00 PM,2.12,8.46,
61,03/16/22 08:00:00 PM,2.10,8.44,
62,03/16/22 08:05:00 PM,2.08,8.40,
63,03/16/22 08:10:00 PM,2.05,8.38,
64,03/16/22 08:15:00 PM,2.04,8.38,
65,03/16/22 08:20:00 PM,2.02,8.36,
66,03/16/22 08:25:00 PM,2.00,8.34,
67,03/16/22 08:30:00 PM,1.99,8.32,
68,03/16/22 08:35:00 PM,1.97,8.30,
69,03/16/22 08:40:00 PM,1.95,8.28,
70,03/16/22 08:45:00 PM,1.94,8.26,
71,03/16/22 08:50:00 PM,1.92,8.26,
72,03/16/22 08:55:00 PM,1.91,8.24,
73,03/16/22 09:00:00 PM,1.89,8.22,
74,03/16/22 09:05:00 PM,1.87,8.22,
75,03/16/22 09:10:00 PM,1.86,8.20,
76,03/16/22 09:15:00 PM,1.83,8.20,
77,03/16/22 09:20:00 PM,1.82,8.18,
78,03/16/22 09:25:00 PM,1.80,8.18,
79,03/16/22 09:30:00 PM,1.79,8.16,
80,03/16/22 09:35:00 PM,1.77,8.16,
81,03/16/22 09:40:00 PM,1.76,8.14,
82,03/16/22 09:45:00 PM,1.75,8.14,
83,03/16/22 09:50:00 PM,1.74,8.12,
84,03/16/22 09:55:00 PM,1.72,8.12,
85,03/16/22 10:00:00 PM,1.71,8.10,
86,03/16/22 10:05:00 PM,1.70,8.10,
87,03/16/22 10:10:00 PM,1.69,8.10,
88,03/16/22 10:15:00 PM,1.67,8.08,
89,03/16/22 10:20:00 PM,1.66,8.08,
90,03/16/22 10:25:00 PM,1.65,8.08,
91,03/16/22 10:30:00 PM,1.64,8.06,
92,03/16/22 10:35:00 PM,1.61,8.06,
93,03/16/22 10:40:00 PM,1.60,8.06,
94,03/16/22 10:45:00 PM,1.59,8.06,
95,03/16/22 10:50:00 PM,1.58,8.04,
96,03/16/22 10:55:00 PM,1.57,8.04,
97,03/16/22 11:00:00 PM,1.56,8.04,
98,03/16/22 11:05:00 PM,1.55,8.02,
99,03/16/22 11:10:00 PM,1.54,8.02,
100,03/16/22 11:15:00 PM,1.53,8.02,
101,03/16/22 11:20:00 PM,1.52,8.00,
102,03/16/22 11:25:00 PM,1.51,8.00,
103,03/16/22 11:30:00 PM,1.50,7.98,
104,03/16/22 11:35:00 PM,1.49,7.98,
105,03/16/22 11:40:00 PM,1.48,7.96,
106,03/16/22 11:45:00 PM,1.48,7.96,
107,03/16/22 11:50:00 PM,1.47,7.96,
108,03/16/22 11:55:00 PM,1.46,7.96,
109,03/17/22 12:00:00 AM,1.45,7.96,
110,03/17/22 12:05:00 AM,1.44,7.96,
111,03/17/22 12:10:00 AM,1.43,7.94,
112,03/17/22 12:15:00 AM,1.43,7.94,
113,03/17/22 12:20:00 AM,1.42,7.94,
114,03/17/22 12:25:00 AM,1.40,7.94,
115,03/17/22 12:30:00 AM,1.40,7.92,
116,03/17/22 12:35:00 AM,1.39,7.92,
117,03/17/22 12:40:00 AM,1.38,7.92,
118,03/17/22 12:45:00 AM,1.38,7.90,
119,03/17/22 12:50:00 AM,1.37,7.90,
120,03/17/22 12:55:00 AM,1.36,7.90,
121,03/17/22 01:00:00 AM,1.35,7.88,
122,03/17/22 01:05:00 AM,1.35,7.88,
123,03/17/22 01:10:00 AM,1.34,7.86,
124,03/17/22 01:15:00 AM,1.33,7.84,
125,03/17/22 01:20:00 AM,1.33,7.82,
126,03/17/22 01:25:00 AM,1.32,7.80,
127,03/17/22 01:30:00 AM,1.32,7.78,
128,03/17/22 01:35:00 AM,1.31,7.76,
129,03/17/22 01:40:00 AM,1.30,7.76,
130,03/17/22 01:45:00 AM,1.29,7.76,
131,03/17/22 01:50:00 AM,1.29,7.76,
132,03/17/22 01:55:00 AM,1.28,7.76,
133,03/17/22 02:00:00 AM,1.28,7.74,
134,03/17/22 02:05:00 AM,1.27,7.74,
135,03/17/22 02:10:00 AM,1.26,7.72,
136,03/17/22 02:15:00 AM,1.26,7.70,
137,03/17/22 02:20:00 AM,1.25,7.68,
138,03/17/22 02:25:00 AM,1.24,7.68,
139,03/17/22 02:30:00 AM,1.24,7.66,
140,03/17/22 02:35:00 AM,1.23,7.64,
141,03/17/22 02:40:00 AM,1.23,7.62,
142,03/17/22 02:45:00 AM,1.22,7.60,
143,03/17/22 02:50:00 AM,1.21,7.58,
144,03/17/22 02:55:00 AM,1.21,7.56,
145,03/17/22 03:00:00 AM,1.19,7.54,
146,03/17/22 03:05:00 AM,1.19,7.50,
147,03/17/22 03:10:00 AM,1.18,7.48,
148,03/17/22 03:15:00 AM,1.17,7.46,
149,03/17/22 03:20:00 AM,1.17,7.44,
150,03/17/22 03:25:00 AM,1.16,7.42,
151,03/17/22 03:30:00 AM,1.15,7.40,
152,03/17/22 03:35:00 AM,1.15,7.38,
153,03/17/22 03:40:00 AM,1.14,7.36,
154,03/17/22 03:45:00 AM,1.13,7.34,
155,03/17/22 03:50:00 AM,1.13,7.32,
156,03/17/22 03:55:00 AM,1.12,7.30,
157,03/17/22 04:00:00 AM,1.11,7.30,
158,03/17/22 04:05:00 AM,1.11,7.28,
159,03/17/22 04:10:00 AM,1.10,7.28,
160,03/17/22 04:15:00 AM,1.10,7.26,
161,03/17/22 04:20:00 AM,1.09,7.26,
162,03/17/22 04:25:00 AM,1.08,7.24,
163,03/17/22 04:30:00 AM,1.08,7.24,
164,03/17/22 04:35:00 AM,1.07,7.24,
165,03/17/22 04:40:00 AM,1.07,7.24,
166,03/17/22 04:45:00 AM,1.06,7.24,
167,03/17/22 04:50:00 AM,1.05,7.24,
168,03/17/22 04:55:00 AM,1.05,7.26,
169,03/17/22 05:00:00 AM,1.04,7.26,
170,03/17/22 05:05:00 AM,1.03,7.26,
171,03/17/22 05:10:00 AM,1.03,7.26,
172,03/17/22 05:15:00 AM,1.02,7.26,
173,03/17/22 05:20:00 AM,1.02,7.26,
174,03/17/22 05:25:00 AM,1.01,7.26,
175,03/17/22 05:30:00 AM,1.00,7.26,
176,03/17/22 05:35:00 AM,0.99,7.26,
177,03/17/22 05:40:00 AM,0.99,7.24,
178,03/17/22 05:45:00 AM,0.97,7.24,
179,03/17/22 05:50:00 AM,0.97,7.24,
180,03/17/22 05:55:00 AM,0.96,7.24,
181,03/17/22 06:00:00 AM,0.95,7.24,
182,03/17/22 06:05:00 AM,0.95,7.24,
183,03/17/22 06:10:00 AM,0.94,7.26,
184,03/17/22 06:15:00 AM,0.93,7.26,
185,03/17/22 06:20:00 AM,0.93,7.26,
186,03/17/22 06:25:00 AM,0.92,7.26,
187,03/17/22 06:30:00 AM,0.92,7.26,
188,03/17/22 06:35:00 AM,0.91,7.26,
189,03/17/22 06:40:00 AM,0.90,7.26,
190,03/17/22 06:45:00 AM,0.90,7.26,
191,03/17/22 06:50:00 AM,0.89,7.26,
192,03/17/22 06:55:00 AM,0.89,7.26,
193,03/17/22 07:00:00 AM,0.88,7.28,
194,03/17/22 07:05:00 AM,0.87,7.28,
195,03/17/22 07:10:00 AM,0.87,7.28,
196,03/17/22 07:15:00 AM,0.86,7.30,
197,03/17/22 07:20:00 AM,0.85,7.30,
198,03/17/22 07:25:00 AM,0.85,7.30,
199,03/17/22 07:30:00 AM,0.84,7.32,
200,03/17/22 07:35:00 AM,0.84,7.34,
201,03/17/22 07:40:00 AM,0.83,7.36,
202,03/17/22 07:45:00 AM,0.82,7.36,
203,03/17/22 07:50:00 AM,0.81,7.38,
204,03/17/22 07:55:00 AM,0.80,7.40,
205,03/17/22 08:00:00 AM,0.79,7.44,
206,03/17/22 08:05:00 AM,0.78,7.46,
207,03/17/22 08:10:00 AM,0.77,7.50,
208,03/17/22 08:15:00 AM,0.75,7.52,
209,03/17/22 08:20:00 AM,0.74,7.54,
210,03/17/22 08:25:00 AM,0.73,7.56,
211,03/17/22 08:30:00 AM,0.71,7.56,
212,03/17/22 08:35:00 AM,0.70,7.58,
213,03/17/22 08:40:00 AM,0.69,7.58,
214,03/17/22 08:45:00 AM,0.67,7.58,
215,03/17/22 08:50:00 AM,0.66,7.58,
216,03/17/22 08:55:00 AM,0.65,7.58,
217,03/17/22 09:00:00 AM,0.64,7.58,
218,03/17/22 09:05:00 AM,0.63,7.58,
219,03/17/22 09:10:00 AM,0.62,7.60,
220,03/17/22 09:15:00 AM,0.61,7.60,
221,03/17/22 09:20:00 AM,0.60,7.62,
222,03/17/22 09:25:00 AM,0.59,7.64,
223,03/17/22 09:30:00 AM,0.59,7.66,
224,03/17/22 09:35:00 AM,0.58,7.68,
225,03/17/22 09:40:00 AM,0.57,7.72,
226,03/17/22 09:45:00 AM,0.56,7.76,
227,03/17/22 09:50:00 AM,0.55,7.80,
228,03/17/22 09:55:00 AM,0.53,7.84,
229,03/17/22 10:00:00 AM,0.52,7.88,
230,03/17/22 10:05:00 AM,0.51,7.94,
231,03/17/22 10:10:00 AM,0.50,7.98,
232,03/17/22 10:15:00 AM,0.50,8.04,
233,03/17/22 10:20:00 AM,0.49,8.08,
234,03/17/22 10:25:00 AM,0.48,8.12,
235,03/17/22 10:30:00 AM,0.47,8.16,
236,03/17/22 10:35:00 AM,0.46,8.22,
237,03/17/22 10:40:00 AM,0.46,8.28,
238,03/17/22 10:45:00 AM,0.45,8.36,
239,03/17/22 10:50:00 AM,0.44,8.42,
240,03/17/22 10:55:00 AM,0.44,8.48,
241,03/17/22 11:00:00 AM,0.43,8.54,
242,03/17/22 11:05:00 AM,0.42,8.58,
243,03/17/22 11:10:00 AM,0.42,8.62,
244,03/17/22 11:15:00 AM,0.41,8.64,
245,03/17/22 11:20:00 AM,0.40,8.66,
246,03/17/22 11:25:00 AM,0.40,8.68,
247,03/17/22 11:30:00 AM,0.39,8.68,
248,03/17/22 11:35:00 AM,0.38,8.68,
249,03/17/22 11:40:00 AM,0.38,8.68,
250,03/17/22 11:45:00 AM,0.38,8.70,
251,03/17/22 11:50:00 AM,0.37,8.72,
252,03/17/22 11:55:00 AM,0.37,8.74,
253,03/17/22 12:00:00 PM,0.37,8.76,
254,03/17/22 12:05:00 PM,0.36,8.76,
255,03/17/22 12:10:00 PM,0.36,8.78,
256,03/17/22 12:15:00 PM,0.36,8.78,
257,03/17/22 12:20:00 PM,0.35,8.80,
258,03/17/22 12:25:00 PM,0.35,8.84,
259,03/17/22 12:30:00 PM,0.34,8.86,
260,03/17/22 12:35:00 PM,0.32,8.90,
261,03/17/22 12:40:00 PM,0.32,8.98,
262,03/17/22 12:45:00 PM,0.31,9.04,
263,03/17/22 12:50:00 PM,0.31,9.12,
264,03/17/22 12:55:00 PM,0.30,9.22,
265,03/17/22 01:00:00 PM,0.29,9.32,
266,03/17/22 01:05:00 PM,0.28,9.44,
267,03/17/22 01:10:00 PM,0.28,9.56,
268,03/17/22 01:15:00 PM,0.27,9.66,
269,03/17/22 01:20:00 PM,0.27,9.76,
270,03/17/22 01:25:00 PM,0.26,9.82,
271,03/17/22 01:30:00 PM,0.26,9.86,
272,03/17/22 01:35:00 PM,0.26,9.90,
273,03/17/22 01:40:00 PM,0.25,9.94,
274,03/17/22 01:45:00 PM,0.25,9.94,
275,03/17/22 01:50:00 PM,0.25,9.94,
276,03/17/22 01:55:00 PM,0.24,9.92,
277,03/17/22 02:00:00 PM,0.24,9.88,
278,03/17/22 02:05:00 PM,0.24,9.84,
279,03/17/22 02:10:00 PM,0.23,9.78,
280,03/17/22 02:15:00 PM,0.23,9.72,
281,03/17/22 02:20:00 PM,0.23,9.68,
282,03/17/22 02:25:00 PM,0.23,9.62,
283,03/17/22 02:30:00 PM,0.22,9.56,
284,03/17/22 02:35:00 PM,0.22,9.52,
285,03/17/22 02:40:00 PM,0.22,9.48,
286,03/17/22 02:45:00 PM,0.22,9.44,
287,03/17/22 02:50:00 PM,0.21,9.40,
288,03/17/22 02:55:00 PM,0.21,9.38,
289,03/17/22 03:00:00 PM,0.21,9.38,
290,03/17/22 03:05:00 PM,0.20,9.36,
291,03/17/22 03:10:00 PM,0.20,9.36,
292,03/17/22 03:15:00 PM,0.20,9.36,
293,03/17/22 03:20:00 PM,0.19,9.34,
294,03/17/22 03:25:00 PM,0.19,9.34,
295,03/17/22 03:30:00 PM,0.19,9.32,
296,03/17/22 03:35:00 PM,0.18,9.30,
297,03/17/22 03:40:00 PM,0.18,9.28,
298,03/17/22 03:45:00 PM,0.17,9.26,
299,03/17/22 03:50:00 PM,0.17,9.26,
300,03/17/22 03:55:00 PM,0.16,9.24,
301,03/17/22 04:00:00 PM,0.16,9.26,
302,03/17/22 04:05:00 PM,0.15,9.28,
303,03/17/22 04:10:00 PM,0.15,9.30,
304,03/17/22 04:15:00 PM,0.14,9.32,
305,03/17/22 04:20:00 PM,0.14,9.34,
306,03/17/22 04:25:00 PM,0.14,9.36,
307,03/17/22 04:30:00 PM,0.13,9.38,
308,03/17/22 04:35:00 PM,0.13,9.38,
309,03/17/22 04:40:00 PM,0.12,9.38,
310,03/17/22 04:45:00 PM,0.12,9.36,
311,03/17/22 04:50:00 PM,0.10,9.36,
312,03/17/22 04:55:00 PM,0.10,9.34,
313,03/17/22 05:00:00 PM,0.09,9.32,
314,03/17/22 05:05:00 PM,0.09,9.30,
315,03/17/22 05:10:00 PM,0.09,9.28,
316,03/17/22 05:15:00 PM,0.09,9.26,
317,03/17/22 05:20:00 PM,0.08,9.22,
318,03/17/22 05:25:00 PM,0.08,9.20,
319,03/17/22 05:30:00 PM,0.08,9.18,
320,03/17/22 05:35:00 PM,0.08,9.14,
321,03/17/22 05:40:00 PM,0.07,9.12,
322,03/17/22 05:45:00 PM,0.07,9.10,
323,03/17/22 05:50:00 PM,0.06,9.08,
324,03/17/22 05:55:00 PM,0.07,9.04,
325,03/17/22 06:00:00 PM,0.08,9.02,
326,03/17/22 06:05:00 PM,0.09,9.00,
327,03/17/22 06:10:00 PM,0.10,8.98,
328,03/17/22 06:15:00 PM,0.12,8.96,
329,03/17/22 06:20:00 PM,0.13,8.94,
330,03/17/22 06:25:00 PM,0.15,8.90,
331,03/17/22 06:30:00 PM,0.16,8.88,
332,03/17/22 06:35:00 PM,0.17,8.86,
333,03/17/22 06:40:00 PM,0.18,8.84,
334,03/17/22 06:45:00 PM,0.19,8.82,
335,03/17/22 06:50:00 PM,0.20,8.80,
336,03/17/22 06:55:00 PM,0.20,8.76,
337,03/17/22 07:00:00 PM,0.21,8.74,
338,03/17/22 07:05:00 PM,0.21,8.70,
339,03/17/22 07:10:00 PM,0.21,8.68,
340,03/17/22 07:15:00 PM,0.20,8.66,
341,03/17/22 07:20:00 PM,0.20,8.62,
342,03/17/22 07:25:00 PM,0.20,8.60,
343,03/17/22 07:30:00 PM,0.19,8.60,
344,03/17/22 07:35:00 PM,0.19,8.58,
345,03/17/22 07:40:00 PM,0.19,8.58,
346,03/17/22 07:45:00 PM,0.18,8.56,
347,03/17/22 07:50:00 PM,0.18,8.56,
348,03/17/22 07:55:00 PM,0.17,8.56,
349,03/17/22 08:00:00 PM,0.17,8.54,
350,03/17/22 08:05:00 PM,0.16,8.54,
351,03/17/22 08:10:00 PM,0.16,8.52,
352,03/17/22 08:15:00 PM,0.16,8.50,
353,03/17/22 08:20:00 PM,0.15,8.48,
354,03/17/22 08:25:00 PM,0.15,8.46,
355,03/17/22 08:30:00 PM,0.14,8.44,
356,03/17/22 08:35:00 PM,0.14,8.40,
357,03/17/22 08:40:00 PM,0.14,8.38,
358,03/17/22 08:45:00 PM,0.13,8.34,
359,03/17/22 08:50:00 PM,0.13,8.32,
360,03/17/22 08:55:00 PM,0.13,8.28,
361,03/17/22 09:00:00 PM,0.13,8.26,
362,03/17/22 09:05:00 PM,0.12,8.24,
363,03/17/22 09:10:00 PM,0.12,8.22,
364,03/17/22 09:15:00 PM,0.12,8.20,
365,03/17/22 09:20:00 PM,0.12,8.16,
366,03/17/22 09:25:00 PM,0.10,8.14,
367,03/17/22 09:30:00 PM,0.10,8.12,
368,03/17/22 09:35:00 PM,0.10,8.10,
369,03/17/22 09:40:00 PM,0.09,8.08,
370,03/17/22 09:45:00 PM,0.09,8.08,
371,03/17/22 09:50:00 PM,0.09,8.06,
372,03/17/22 09:55:00 PM,0.08,8.06,
373,03/17/22 10:00:00 PM,0.08,8.06,
374,03/17/22 10:05:00 PM,0.08,8.06,
375,03/17/22 10:10:00 PM,0.08,8.08,
376,03/17/22 10:15:00 PM,0.06,8.08,
377,03/17/22 10:20:00 PM,0.06,8.10,
378,03/17/22 10:25:00 PM,0.06,8.10,
379,03/17/22 10:30:00 PM,0.06,8.10,
380,03/17/22 10:35:00 PM,0.06,8.10,
381,03/17/22 10:40:00 PM,0.06,8.10,
382,03/17/22 10:45:00 PM,0.06,8.10,
383,03/17/22 10:50:00 PM,0.06,8.10,
384,03/17/22 10:55:00 PM,0.06,8.08,
385,03/17/22 11:00:00 PM,0.06,8.08,
386,03/17/22 11:05:00 PM,0.06,8.10,
387,03/17/22 11:10:00 PM,0.06,8.08,
388,03/17/22 11:15:00 PM,0.06,8.08,
389,03/17/22 11:20:00 PM,0.06,8.08,
390,03/17/22 11:25:00 PM,0.06,8.08,
391,03/17/22 11:30:00 PM,0.06,8.06,
392,03/17/22 11:35:00 PM,0.06,8.04,
393,03/17/22 11:40:00 PM,0.06,8.02,
394,03/17/22 11:45:00 PM,0.06,8.02,
395,03/17/22 11:50:00 PM,0.06,8.00,
396,03/17/22 11:55:00 PM,0.06,7.98,
397,03/18/22 12:00:00 AM,0.06,7.96,
398,03/18/22 12:05:00 AM,0.06,7.96,
399,03/18/22 12:10:00 AM,0.06,7.94,
400,03/18/22 12:15:00 AM,0.06,7.92,
401,03/18/22 12:20:00 AM,0.06,7.90,
402,03/18/22 12:25:00 AM,0.05,7.90,
403,03/18/22 12:30:00 AM,0.05,7.88,
404,03/18/22 12:35:00 AM,0.05,7.88,
405,03/18/22 12:40:00 AM,0.05,7.86,
406,03/18/22 12:45:00 AM,0.05,7.86,
407,03/18/22 12:50:00 AM,0.05,7.84,
408,03/18/22 12:55:00 AM,0.05,7.84,
409,03/18/22 01:00:00 AM,0.05,7.82,
410,03/18/22 01:05:00 AM,0.05,7.82,
411,03/18/22 01:10:00 AM,0.05,7.80,
412,03/18/22 01:15:00 AM,0.05,7.80,
413,03/18/22 01:20:00 AM,0.05,7.78,
414,03/18/22 01:25:00 AM,0.05,7.78,
415,03/18/22 01:30:00 AM,0.04,7.76,
416,03/18/22 01:35:00 AM,0.04,7.76,
417,03/18/22 01:40:00 AM,0.04,7.74,
418,03/18/22 01:45:00 AM,0.04,7.74,
419,03/18/22 01:50:00 AM,0.04,7.72,
420,03/18/22 01:55:00 AM,0.04,7.72,
421,03/18/22 02:00:00 AM,0.04,7.72,
422,03/18/22 02:05:00 AM,0.04,7.70,
423,03/18/22 02:10:00 AM,0.03,7.70,
424,03/18/22 02:15:00 AM,0.03,7.68,
425,03/18/22 02:20:00 AM,0.03,7.68,
426,03/18/22 02:25:00 AM,0.03,7.68,
427,03/18/22 02:30:00 AM,0.03,7.68,
428,03/18/22 02:35:00 AM,0.03,7.68,
429,03/18/22 02:40:00 AM,0.03,7.68,
430,03/18/22 02:45:00 AM,0.03,7.66,
431,03/18/22 02:50:00 AM,0.03,7.66,
432,03/18/22 02:55:00 AM,0.03,7.66,
433,03/18/22 03:00:00 AM,0.03,7.66,
434,03/18/22 03:05:00 AM,0.03,7.66,
435,03/18/22 03:10:00 AM,0.03,7.66,
436,03/18/22 03:15:00 AM,0.03,7.64,
437,03/18/22 03:20:00 AM,0.03,7.64,
438,03/18/22 03:25:00 AM,0.03,7.64,
439,03/18/22 03:30:00 AM,0.03,7.62,
440,03/18/22 03:35:00 AM,0.03,7.62,
441,03/18/22 03:40:00 AM,0.03,7.60,
442,03/18/22 03:45:00 AM,0.03,7.60,
443,03/18/22 03:50:00 AM,0.03,7.60,
444,03/18/22 03:55:00 AM,0.03,7.60,
445,03/18/22 04:00:00 AM,0.03,7.60,
446,03/18/22 04:05:00 AM,0.03,7.58,
447,03/18/22 04:10:00 AM,0.03,7.58,
448,03/18/22 04:15:00 AM,0.03,7.58,
449,03/18/22 04:20:00 AM,0.03,7.56,
450,03/18/22 04:25:00 AM,0.03,7.56,
451,03/18/22 04:30:00 AM,0.03,7.56,
452,03/18/22 04:35:00 AM,0.03,7.56,
453,03/18/22 04:40:00 AM,0.03,7.54,
454,03/18/22 04:45:00 AM,0.03,7.54,
455,03/18/22 04:50:00 AM,0.03,7.54,
456,03/18/22 04:55:00 AM,0.03,7.52,
457,03/18/22 05:00:00 AM,0.03,7.52,
458,03/18/22 05:05:00 AM,0.03,7.52,
459,03/18/22 05:10:00 AM,0.03,7.52,
460,03/18/22 05:15:00 AM,0.03,7.52,
461,03/18/22 05:20:00 AM,0.03,7.52,
462,03/18/22 05:25:00 AM,0.03,7.52,
463,03/18/22 05:30:00 AM,0.03,7.52,
464,03/18/22 05:35:00 AM,0.03,7.50,
465,03/18/22 05:40:00 AM,0.03,7.50,
466,03/18/22 05:45:00 AM,0.03,7.48,
467,03/18/22 05:50:00 AM,0.03,7.46,
468,03/18/22 05:55:00 AM,0.03,7.46,
469,03/18/22 06:00:00 AM,0.03,7.44,
470,03/18/22 06:05:00 AM,0.03,7.42,
471,03/18/22 06:10:00 AM,0.03,7.40,
472,03/18/22 06:15:00 AM,0.02,7.40,
473,03/18/22 06:20:00 AM,0.02,7.38,
474,03/18/22 06:25:00 AM,0.02,7.36,
475,03/18/22 06:30:00 AM,0.02,7.34,
476,03/18/22 06:35:00 AM,0.02,7.32,
477,03/18/22 06:40:00 AM,0.02,7.32,
478,03/18/22 06:45:00 AM,0.02,7.30,
479,03/18/22 06:50:00 AM,0.02,7.30,
480,03/18/22 06:55:00 AM,0.02,7.30,
481,03/18/22 07:00:00 AM,0.02,7.30,
482,03/18/22 07:05:00 AM,0.02,7.30,
483,03/18/22 07:10:00 AM,0.02,7.30,
484,03/18/22 07:15:00 AM,0.02,7.30,
485,03/18/22 07:20:00 AM,0.01,7.32,
486,03/18/22 07:25:00 AM,0.01,7.32,
487,03/18/22 07:30:00 AM,0.01,7.34,
488,03/18/22 07:35:00 AM,0.01,7.36,
489,03/18/22 07:40:00 AM,0.01,7.36,
490,03/18/22 07:45:00 AM,0.01,7.38,
491,03/18/22 07:50:00 AM,0.01,7.40,
492,03/18/22 07:55:00 AM,0.01,7.42,
493,03/18/22 08:00:00 AM,0.01,7.46,
494,03/18/22 08:05:00 AM,0.01,7.48,
495,03/18/22 08:10:00 AM,0.00,7.52,
496,03/18/22 08:15:00 AM,0.00,7.56,
497,03/18/22 08:20:00 AM,0.00,7.60,
498,03/18/22 08:25:00 AM,0.00,7.64,
499,03/18/22 08:30:00 AM,0.00,7.68,
500,03/18/22 08:35:00 AM,0.00,7.74,
501,03/18/22 08:40:00 AM,0.00,7.78,
502,03/18/22 08:45:00 AM,0.00,7.82,
503,03/18/22 08:50:00 AM,0.00,7.84,
504,03/18/22 08:55:00 AM,0.00,7.86,
505,03/18/22 09:00:00 AM,0.00,7.88,
506,03/18/22 09:05:00 AM,0.00,7.90,
507,03/18/22 09:10:00 AM,0.00,7.90,
508,03/18/22 09:15:00 AM,-0.01,7.92,
509,03/18/22 09:20:00 AM,-0.01,7.92,
510,03/18/22 09:25:00 AM,-0.01,7.92,
511,03/18/22 09:30:00 AM,0.00,7.94,
512,03/18/22 09:35:00 AM,0.00,7.94,
513,03/18/22 09:40:00 AM,0.00,7.96,
514,03/18/22 09:45:00 AM,0.00,7.96,
515,03/18/22 09:50:00 AM,0.00,7.98,
516,03/18/22 09:55:00 AM,0.00,7.98,
517,03/18/22 10:00:00 AM,-0.01,7.98,
518,03/18/22 10:05:00 AM,-0.01,8.00,
519,03/18/22 10:10:00 AM,-0.01,8.00,
520,03/18/22 10:15:00 AM,-0.01,8.02,
521,03/18/22 10:20:00 AM,-0.01,8.06,
522,03/18/22 10:25:00 AM,-0.01,8.08,
523,03/18/22 10:30:00 AM,-0.01,8.12,
524,03/18/22 10:35:00 AM,-0.01,8.16,
525,03/18/22 10:40:00 AM,0.00,8.20,
526,03/18/22 10:45:00 AM,0.00,8.24,
527,03/18/22 10:50:00 AM,0.00,8.28,
528,03/18/22 10:55:00 AM,0.00,8.34,
529,03/18/22 11:00:00 AM,-0.01,8.38,
